diseases,#M,FNR_M,Gap_M,#F,FNR_F,Gap_F
Enlarged Cardiomediastinum,7800,0.135,-0.029062295455192233,5406,0.164,0.029062295455192233
Cardiomegaly,8836,0.217,-0.029374178009211993,6121,0.246,0.029374178009211993
Lung Opacity,10549,0.193,-0.034127899001524686,7431,0.227,0.034127899001524686
Lung Lesion,1935,0.453,-0.06151157277228264,1406,0.514,0.06151157277228264
Edema,6357,0.232,-0.01951416420484825,4540,0.252,0.01951416420484825
Consolidation,6001,0.22,0.003908876913199716,4156,0.217,-0.003908876913199716
Pneumonia,3664,0.435,-0.00220811901037421,2518,0.437,0.00220811901037421
Atelectasis,9050,0.196,-0.038282465443671754,6123,0.235,0.038282465443671754
Pneumothorax,1823,0.523,0.003976203392501598,1267,0.519,-0.003976203392501598
Pleural Effusion,8393,0.161,-0.018695610606428992,5881,0.18,0.018695610606428992
Pleural Other,1518,0.426,-0.025183547124714045,1076,0.451,0.025183547124714045
Fracture,3400,0.324,-0.008944903712906793,2462,0.333,0.008944903712906793
Support Devices,10920,0.086,-0.014391141711407679,7219,0.1,0.014391141711407679
No Finding,5335,0.245,0.048806900045395035,4701,0.197,-0.048806900045395035
