diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.088,-0.019530611265857492,3441,0.108,0.0,1194,0.127,0.01948568766529539,2600,0.073,-0.03435595645273064,79,0.152,0.04408123926294609
Cardiomegaly,4359,0.08,-0.008629880031847573,2857,0.103,0.015019868640490847,938,0.115,0.026903298632885986,2294,0.058,-0.029822042156008005,68,0.088,0.0
Lung Opacity,5407,0.05,-0.01847541182247789,3694,0.07,0.0008774713888318464,1353,0.084,0.015291688967046413,2535,0.042,-0.02675644426307556,87,0.069,0.0
Lung Lesion,1104,0.374,-0.05411092530657746,780,0.428,0.0,429,0.406,-0.02261072261072261,371,0.447,0.019234224894602303,23,0.522,0.09353400222965441
Edema,3378,0.135,-0.029532792437295924,2166,0.165,0.0,776,0.17,0.005283148185167202,1740,0.126,-0.038957875632820715,51,0.235,0.07047417304872086
Consolidation,3859,0.124,-0.010044701975433543,2539,0.134,0.0,939,0.149,0.015183793104460747,1755,0.12,-0.013683068350260147,55,0.145,0.011543556876365074
Pneumonia,1864,0.303,0.0,1340,0.281,-0.021231823714047804,596,0.272,-0.0307630267592246,802,0.344,0.0415645435766806,28,0.429,0.1259963212752912
Atelectasis,4480,0.074,-0.018923867479636064,2999,0.093,0.0,1021,0.103,0.009809342258715686,2076,0.07,-0.022703457350266396,70,0.1,0.006968989663221084
Pneumothorax,892,0.402,0.004137676905205057,628,0.376,-0.02253251246385035,359,0.398,0.0,226,0.518,0.11937042423644839,29,0.241,-0.15694938046297183
Pleural Effusion,3771,0.142,-0.012890780567908072,2479,0.154,0.0,793,0.169,0.014480781057732345,1770,0.138,-0.01607970226740782,59,0.169,0.014993744060275788
Pleural Other,945,0.333,-0.07971014492753625,709,0.353,-0.06043416937511498,257,0.428,0.014972085941465041,460,0.413,0.0,15,0.533,0.12028985507246376
Fracture,2191,0.224,-0.017032783071064983,1475,0.262,0.021019959659210635,612,0.255,0.014227005189287073,1126,0.241,0.0,39,0.205,-0.035546750466821514
Support Devices,4613,0.051,-0.002166353442391515,3630,0.053,0.0,1428,0.066,0.012933768548741814,1747,0.093,0.039837832979322294,107,0.019,-0.03420097319842434
No Finding,1022,0.217,0.04648942771228101,1167,0.159,-0.011348673898050055,640,0.116,-0.05510670731707318,350,0.363,0.1921254355400697,41,0.171,0.0
