diseases,diseases_abbr,Distance,#40-60,Gap_40-60_mean,CI_40-60,#60-80,Gap_60-80_mean,CI_60-80,#20-40,Gap_20-40_mean,CI_20-40,#80-,Gap_80-_mean,CI_80-,#0-20,Gap_0-20_mean,CI_0-20
Pleural Effusion,Effusion,0.029705738,2479,-0.000170613,0.000334402,3771,-0.009240639,0.003330093,793,0.009804018,0.00577039,1770,-0.007783488,0.006463901,59,0.020465099,0.006285971
Atelectasis,Atelectasis,0.039075145,2999,0,0,4480,-0.018004573,0.002254538,1021,0.009871459,0.006981936,2076,-0.018508289,0.003269531,70,0.020566856,0.012206914
Consolidation,Consolidation,0.039502462,2539,-0.005859902,0.006463685,3859,-0.009190642,0.005932638,939,0.012803832,0.00693357,1755,-0.002736614,0.005363763,55,0.030311819,0.021394559
Lung Opacity,Air. Opacity,0.043316059,3694,0.001596251,0.002719164,5407,-0.020519389,0.002691543,1353,0.016090541,0.001398217,2535,-0.027225518,0.002409339,87,0.008826989,0.009943806
Cardiomegaly,Cardiomegaly,0.052947059,2857,0.010899543,0.006463466,4359,-0.010804273,0.008524392,938,0.02326337,0.007191746,2294,-0.02968369,0.009656827,68,-5.91E-05,0.003802593
Enlarged Cardiomediastinum,Enlarged Card.,0.078220058,3441,0,0,5131,-0.018567402,0.001530564,1194,0.021141015,0.002001058,2600,-0.034029195,0.003906665,79,0.044190863,0.021199332
Support Devices,Sup. Devices,0.08724168,3630,0,0,4613,-0.001420038,0.000890524,1428,0.010811167,0.002766914,1747,0.042466314,0.003827165,107,-0.044775366,0.007544104
Fracture,Fracture,0.090049035,1475,0.004203992,0.008239824,2191,-0.029504322,0.007723189,612,0.0179605,0.006821481,1126,-0.014907306,0.010812916,39,0.060544713,0.051331826
Edema,Edema,0.104448952,2166,0.001744391,0.002890403,3378,-0.02581605,0.002460722,776,0.001866712,0.002272858,1740,-0.034207467,0.003220745,51,0.070241485,0.014044047
Lung Lesion,Lung Lesion,0.131702899,780,0,0,1104,-0.048871237,0.005074633,429,-0.037995338,0.010347268,371,0.022219918,0.010907342,23,0.082831661,0.008676716
Pleural Other,Pleural Other,0.188148148,709,-0.05620035,0.013014238,945,-0.077164671,0.012680241,257,0.01578244,0.019715678,460,0.005041448,0.006157022,15,0.110983477,0.029846697
Pneumonia,Pneumonia,0.195302013,1340,-0.032559413,0.005613701,1864,0,0,596,-0.038756949,0.005661299,802,0.04819095,0.006945257,28,0.156545064,0.043391913
Pneumothorax,Pneumothorax,0.266249619,628,-0.017678718,0.007755741,892,0.000866882,0.001604428,359,0.005166944,0.005085209,226,0.121786363,0.00415226,29,-0.144463255,0.023244492
,,,,5-,,,11-,,,2-,,,8-,,,3-,
