diseases,diseases_abbr,Distance,#40-60,Gap_40-60_mean,CI_40-60,#60-80,Gap_60-80_mean,CI_60-80,#20-40,Gap_20-40_mean,CI_20-40,#80-,Gap_80-_mean,CI_80-,#0-20,Gap_0-20_mean,CI_0-20
Pleural Effusion,Effusion,0.0297057382612173,2479.0,-0.00017061348111016,0.0003344024229759136,3771.0,-0.00924063887286816,0.0033300934941444616,793.0,0.00980401831882132,0.005770390439291803,1770.0,-0.00778348818227224,0.006463901334479412,59.0,0.020465099388349138,0.006285971233913473
Atelectasis,Atelectasis,0.03907514450867038,2999.0,0.0,0.0,4480.0,-0.018004572952889018,0.002254538202708746,1021.0,0.009871458948608022,0.006981936287306602,2076.0,-0.01850828889013094,0.003269530717095788,70.0,0.020566855618539444,0.012206913713528254
Consolidation,Consolidation,0.039502461777662506,2539.0,-0.005859901771678019,0.006463684898968115,3859.0,-0.00919064239928154,0.005932638307111931,939.0,0.01280383215793372,0.006933570170311786,1755.0,-0.00273661367005202,0.00536376279330196,55.0,0.030311819378380962,0.021394559180719724
Lung Opacity,Air. Opacity,0.04331605855058002,3694.0,0.0015962511435132199,0.002719164281127406,5407.0,-0.020519388521886662,0.002691542999064456,1353.0,0.01609054103891498,0.0013982171207537625,2535.0,-0.02722551751166504,0.0024093391740293508,87.0,0.008826988779567961,0.009943805830238038
Cardiomegaly,Cardiomegaly,0.052947059446818615,2857.0,0.01089954252108508,0.006463466242722265,4359.0,-0.01080427265361484,0.008524391999571043,938.0,0.02326336966766628,0.00719174588722904,2294.0,-0.02968368977915234,0.009656826532232902,68.0,-5.909364601732001e-05,0.0038025930746031595
Enlarged Cardiomediastinum,Enlarged Card.,0.07822005842258994,3441.0,0.0,0.0,5131.0,-0.018567402125911077,0.0015305641361861677,1194.0,0.021141014575931018,0.0020010581451826016,2600.0,-0.03402919544855022,0.003906665118430626,79.0,0.04419086297403972,0.021199331708934368
Support Devices,Sup. Devices,0.08724167999614818,3630.0,0.0,0.0,4613.0,-0.0014200376346878956,0.0008905236239469625,1428.0,0.01081116744218346,0.002766913584123427,1747.0,0.0424663137594396,0.0038271648729939797,107.0,-0.04477536623670858,0.007544104420899929
Fracture,Fracture,0.0900490350969583,1475.0,0.00420399193184212,0.008239824186410555,2191.0,-0.029504321739649043,0.007723188758603223,612.0,0.01796050018486078,0.006821480793152404,1126.0,-0.014907306499683859,0.010812916390688682,39.0,0.060544713357309266,0.05133182633034411
Edema,Edema,0.10444895199459081,2166.0,0.0017443908196970801,0.00289040285129938,3378.0,-0.025816049966291398,0.0024607216272986344,776.0,0.0018667123587590602,0.0022728576976065763,1740.0,-0.03420746704638366,0.0032207447021811576,51.0,0.07024148494820716,0.014044047123476427
Lung Lesion,Lung Lesion,0.1317028985507246,780.0,0.0,0.0,1104.0,-0.048871237458193925,0.0050746329081283,429.0,-0.03799533799533794,0.010347268358158706,371.0,0.022219918446333538,0.010907342182518234,23.0,0.08283166109253066,0.008676715882054906
Pleural Other,Pleural Other,0.18814814814814806,709.0,-0.056200349853336884,0.013014237679420254,945.0,-0.07716467101511928,0.012680240810866519,257.0,0.0157824395195398,0.01971567838834921,460.0,0.00504144814752154,0.006157022076239612,15.0,0.11098347713302877,0.029846696627317894
Pneumonia,Pneumonia,0.19530201342281872,1340.0,-0.03255941323425784,0.0056137013587860855,1864.0,0.0,0.0,596.0,-0.038756949045136366,0.005661299118752123,802.0,0.048190949664465396,0.0069452571396487655,28.0,0.15654506437768237,0.04339191286414573
Pneumothorax,Pneumothorax,0.266249618553555,628.0,-0.017678717607971777,0.007755741150203142,892.0,0.00086688234632822,0.00160442789939255,359.0,0.00516694355271866,0.005085209326005644,226.0,0.12178636327811121,0.004152259654778116,29.0,-0.14446325527544376,0.023244492352961655
