diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.335,0.09112270986495233,2496,0.244,0.0,1243,0.195,-0.048899478103017924,783,0.529,0.28514588859416445,87,0.195,-0.04818744473916886
Cardiomegaly,3189,0.394,0.10781491164840179,3080,0.286,0.0,1499,0.221,-0.06522508512168285,1089,0.553,0.2667617735799554,98,0.133,-0.15338589981447123
Lung Opacity,2141,0.345,0.11685063764122999,2243,0.224,-0.004040700463326108,1084,0.198,-0.029508617870988824,848,0.508,0.28040661571530934,79,0.228,0.0
Lung Lesion,6444,0.107,0.01112903977129312,5157,0.096,0.0,2008,0.107,0.011279585941670583,3012,0.081,-0.014450825744916407,143,0.084,-0.011876043289655858
Edema,4170,0.278,0.06054634553226987,3771,0.203,-0.014527342533983606,1661,0.179,-0.038583357327958534,1643,0.354,0.13623011987615444,115,0.217,0.0
Consolidation,3689,0.31,0.09441922927252505,3398,0.215,0.0,1498,0.181,-0.03451295861619691,1628,0.33,0.11443174406682355,111,0.189,-0.026231646596567126
Pneumonia,5684,0.196,0.03229932329559593,4597,0.155,-0.00872259581237414,1841,0.164,0.0,2581,0.206,0.04169292963390808,138,0.138,-0.02636012249171449
Atelectasis,3068,0.361,0.11845080822881934,2938,0.243,0.0,1416,0.21,-0.03327670154953791,1307,0.425,0.1816141080415816,96,0.219,-0.02427246426140231
Pneumothorax,6656,0.057,0.0,5309,0.055,-0.002767603905559496,2078,0.077,0.019605285685200265,3157,0.034,-0.023182134176798805,137,0.102,0.04479795409882089
Pleural Effusion,3777,0.284,0.09725028952904041,3458,0.187,0.0,1644,0.174,-0.013136434573238265,1613,0.332,0.1445777278811507,107,0.14,-0.04691545542504719
Pleural Other,6603,0.099,0.016262460283001823,5228,0.083,0.0,2180,0.066,-0.016576935765777775,2923,0.115,0.03231841179406868,151,0.033,-0.049519398855880456
Fracture,5357,0.167,0.035738874497840495,4462,0.13,-0.0014205804878947292,1825,0.131,0.0,2257,0.228,0.09722009456121289,127,0.094,-0.036470715133211096
Support Devices,2935,0.219,0.0,2307,0.179,-0.04015244323438996,1009,0.177,-0.04133598296760163,1636,0.22,0.0013095471149560667,59,0.22,0.0015996304103023107
No Finding,6526,0.063,-0.016588893579046166,4770,0.08,0.0,1797,0.096,0.016397349880828638,3033,0.058,-0.021845859072218178,125,0.08,0.0001257861635220181
