diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,18399,0.073,-0.015733600602343467,3956,0.024,-0.06565290975282209,1462,0.034,-0.05564577241861642,2122,0.134,0.044674499477266844,1631,0.174,0.08435167780411165,286,0.105,0.015733600602343467
Cardiomegaly,17245,0.224,-0.009191938902639696,3400,0.149,-0.08449134367469638,1262,0.176,-0.05740362110547853,2202,0.243,0.009191938902639724,1697,0.266,0.03244823828655008,299,0.351,0.1178556954754118
Lung Opacity,15058,0.169,0.0013060610085447455,3269,0.11,-0.05815321100344634,1254,0.106,-0.06191212161460534,1830,0.192,0.024376999100744895,1395,0.184,0.01553981712765598,276,0.167,-0.0013060610085447455
Lung Lesion,24823,0.046,0.0033119474330918774,4607,0.021,-0.02195212296675864,1758,0.014,-0.02835221206301198,3463,0.065,0.022688416693381383,2637,0.085,0.04199287705340819,433,0.039,-0.0033119474330918774
Edema,19793,0.14,-0.010363409220106284,3910,0.083,-0.06745056563684562,1454,0.087,-0.06271400681859313,2582,0.168,0.017640196495643523,2082,0.16,0.010363409220106312,344,0.18,0.03017329685051534
Consolidation,20245,0.089,-0.005531895526413894,4170,0.035,-0.05972711677593934,1576,0.044,-0.050957381295288325,2637,0.132,0.03722903843640957,1908,0.158,0.06301770623357758,369,0.1,0.0055318955264139075
Pneumonia,22949,0.084,0.00812247780479082,4348,0.04,-0.03589573096444001,1692,0.031,-0.04472128810763891,3152,0.126,0.05081488690526145,2338,0.149,0.0733910181815052,401,0.067,-0.008122477804790834
Atelectasis,16741,0.216,0.007339399193829921,3642,0.139,-0.07002127237571457,1328,0.191,-0.0184438754734432,2227,0.202,-0.007339399193829921,1639,0.231,0.021672508304499544,312,0.317,0.108351768641478
Pneumothorax,24765,0.036,0.004920564023925558,4658,0.019,-0.012501225702898605,1776,0.018,-0.013160751695185439,3580,0.045,0.01379329732590269,2736,0.06,0.028762750754632797,457,0.026,-0.004920564023925558
Pleural Effusion,17191,0.189,0.012895541189699017,3687,0.105,-0.07084446525396255,1339,0.141,-0.03465773809580863,2486,0.163,-0.012895541189699017,1763,0.212,0.03576333535958959,322,0.205,0.029161093979671815
Pleural Other,25409,0.04,-0.002885313590672761,4705,0.017,-0.026300874754976923,1802,0.011,-0.03220528371845002,3493,0.055,0.011949301017853083,2626,0.089,0.04580484803834385,433,0.046,0.002885313590672761
Fracture,23145,0.063,-0.004762253696653507,4547,0.027,-0.041271190409737264,1757,0.018,-0.0504583570405842,3101,0.103,0.03509045063101897,2252,0.121,0.05267945961969678,398,0.073,0.004762253696653493
Support Devices,14693,0.174,0.01123494225821986,3288,0.098,-0.0646936161711297,1143,0.116,-0.0465691709603577,2046,0.152,-0.010925715835063604,1507,0.174,0.010925715835063604,246,0.175,0.011867122063989877
No Finding,20900,0.116,-0.0061973579589046784,3225,0.196,0.07419654434442235,1256,0.174,0.05228053190182125,2941,0.102,-0.020416425457021548,2361,0.098,-0.02424262707486194,343,0.128,0.006197357958904692
