diseases,#M,FPR_M,Gap_M,#F,FPR_F,Gap_F
Enlarged Cardiomediastinum,15560,0.075,0.0008085058697793746,12296,0.075,-0.0008085058697793746
Cardiomegaly,14524,0.224,0.014923671382563286,11581,0.209,-0.014923671382563286
Lung Opacity,12811,0.17,0.02318984419279141,10271,0.147,-0.02318984419279141
Lung Lesion,21425,0.049,0.008019117160993045,16296,0.041,-0.008019117160993045
Edema,17003,0.136,0.005059007839039592,13162,0.131,-0.005059007839039592
Consolidation,17359,0.096,0.018861156885937633,13546,0.077,-0.018861156885937633
Pneumonia,19696,0.088,0.010375569563583542,15184,0.078,-0.010375569563583542
Atelectasis,14310,0.222,0.03783274366731404,11579,0.184,-0.03783274366731404
Pneumothorax,21537,0.039,0.007756756087496125,16435,0.031,-0.007756756087496125
Pleural Effusion,14967,0.184,0.022125138096017183,11821,0.162,-0.022125138096017183
Pleural Other,21842,0.043,0.0051151675760497395,16626,0.038,-0.0051151675760497395
Fracture,19960,0.066,0.006459112450623028,15240,0.06,-0.006459112450623028
Support Devices,12440,0.18,0.047724841904501325,10483,0.133,-0.047724841904501325
No Finding,18025,0.114,-0.024168937820957123,13001,0.138,0.024168937820957123
