diseases,diseases_abbr,Distance,#40-60,Gap_40-60_mean,CI_40-60,#60-80,Gap_60-80_mean,CI_60-80,#20-40,Gap_20-40_mean,CI_20-40,#80-,Gap_80-_mean,CI_80-,#0-20,Gap_0-20_mean,CI_0-20
Lung Lesion,Lung Lesion,0.033161758560164824,5157.0,0.0,0.0,6444.0,0.01050570738043312,0.0005950446006735332,2008.0,0.013347289531036161,0.002250632174829389,3012.0,-0.00620782335076984,0.004304878043470743,143.0,-0.019814469029128663,0.009130844627672543
Support Devices,Sup. Devices,0.039901899850497996,2307.0,-0.026861814560337177,0.00823632355247151,2935.0,0.007162652859388921,0.005164142612231784,1009.0,-0.03197350333621344,0.006898716127546432,1636.0,0.00289337931648918,0.0050538465895555865,59.0,0.00792839651428456,0.012506948314009067
Pneumothorax,Pneumothorax,0.061262077783352395,5309.0,-0.00448081405668162,0.0022842867446098824,6656.0,0.0,0.0,2078.0,0.01965734202635664,0.006380849083957506,3157.0,-0.02201051616066856,0.0027136545771415314,137.0,0.03925156162268384,0.005733760710000505
Pleural Other,Pleural Other,0.07740029408232937,5228.0,0.0,0.0,6603.0,0.014678583301439199,0.0018141981631437445,2180.0,-0.01576865572113456,0.0013650724198677833,2923.0,0.027164173752166298,0.003948529160734444,151.0,-0.05023612033016307,0.005817672709430481
Pneumonia,Pneumonia,0.0804305712312382,4597.0,-0.0130437901014016,0.003781841712460933,5684.0,0.032596468507423905,0.002277430912913674,1841.0,0.0,0.0,2581.0,0.04986117369209366,0.00789391120734855,138.0,-0.03056939753914454,0.006070759663478215
Consolidation,Consolidation,0.1361937128292268,3398.0,0.0,0.0,3689.0,0.092151539079244,0.004614662950369629,1498.0,-0.02109927224920648,0.006706843413801376,1628.0,0.1150944405800203,0.008733147447643941,111.0,-0.01922169373611394,0.007038389919229797
Fracture,Fracture,0.14736515268334022,4462.0,-0.006561392090284441,0.005091423338963721,5357.0,0.030747182664597018,0.003563206985534681,1825.0,0.0,0.0,2257.0,0.10058098700541991,0.007669139326269811,127.0,-0.04678416567792031,0.012564183083889291
Edema,Edema,0.16190006460187392,3771.0,-0.01849630475136332,0.01023388971855471,4170.0,0.051195912834949384,0.012923311804858796,1661.0,-0.043667774782085146,0.01070098179643728,1643.0,0.11823228981978877,0.01849716690334962,115.0,0.0,0.0
Pleural Effusion,Effusion,0.1806281903459623,3458.0,0.0,0.0,3777.0,0.09265204925921447,0.010399424064620641,1644.0,-0.011977585738630638,0.0020774661854424414,1613.0,0.13136520542139357,0.013167881780915732,107.0,-0.04926298492456874,0.013967029785622276
Atelectasis,Atelectasis,0.2045560843610458,2938.0,-0.0004694236442024,0.000920070342636704,3068.0,0.11126229746204994,0.007058243353243886,1416.0,-0.029632965467111222,0.004533488903300493,1307.0,0.17492311889393458,0.01439985863471985,96.0,-0.014979010664851338,0.0082365746674861
Enlarged Cardiomediastinum,Enlarged Card.,0.29399744572158354,2496.0,0.0,0.0,2417.0,0.08561730212278407,0.004242264805492891,1243.0,-0.03610410607092016,0.007807186904232299,783.0,0.24648970920522642,0.01988559323205103,87.0,-0.04750773651635714,0.006784627618032603
Lung Opacity,Air. Opacity,0.3066986353825802,2243.0,-0.00574501825651672,0.005107609049761339,2141.0,0.10978784614512052,0.005094051483436633,1084.0,-0.02845100144653142,0.007859281063846901,848.0,0.2782476339360488,0.010975678018247679,79.0,-0.00181267177209546,0.003552836673307101
Cardiomegaly,Cardiomegaly,0.3747043721069695,3080.0,0.0,0.0,3189.0,0.09671470110322412,0.007549751371763993,1499.0,-0.05610376614712833,0.005784553499451355,1089.0,0.22397153351698806,0.028266397088657167,98.0,-0.1507328385899814,0.01306052028376529
