diseases,diseases_abbr,Distance,#White,Gap_W_mean,CI_W,#Black,Gap_B_mean,CI_B,#Hisp,Gap_H_mean,CI_H,#Other,Gap_Ot_mean,CI_Ot,#Asian,Gap_As_mean,CI_As,#American,Gap_Am_mean,CI_Am
Pneumothorax,Pneumothorax,0.04106606606606597,24765.0,0.004215079073708559,0.0008633332286900215,24765.0,-0.0148757339504271,0.002813038018770458,1776.0,-0.018533637237999785,0.0037529685454178643,3580.0,0.010560051422727899,0.002485884446788798,2736.0,0.022532428828066182,0.0037559461849407394,457.0,-0.004215079073708559,0.0008633332286900215
Lung Lesion,Lung Lesion,0.06594615092908596,24823.0,0.00162135447839056,0.00210137240539692,24823.0,-0.02166285172803228,0.001648234841144798,1758.0,-0.02690281278052372,0.0015853379633958865,3463.0,0.02085631943368146,0.0031380128648721348,2637.0,0.039043338148562236,0.003818671668926408,433.0,-0.00162135447839056,0.00210137240539692
Pleural Other,Pleural Other,0.07339716469726021,25409.0,-0.005140997239035479,0.002065637496623404,25409.0,-0.025965457632356782,0.0020532908917292774,1802.0,-0.03328430633158221,0.0019268128596570094,3493.0,0.008491809718497879,0.0021829757858406683,2626.0,0.040112858365678,0.00404337822088784,433.0,0.006428560818851001,0.003185852520120242
Support Devices,Sup. Devices,0.07381110373811095,14693.0,0.0149358663720453,0.005147730724133752,14693.0,-0.058769340751925615,0.0067391800865581495,1143.0,-0.040817478895241656,0.009207281488702621,2046.0,-0.0099805343930698,0.001096007522002935,1507.0,0.015041762986185342,0.004806651937182691,246.0,0.010342284670897841,0.0010258967956428271
Lung Opacity,Air. Opacity,0.09132148833135237,15058.0,0.00098068518729294,0.004039185162766986,15058.0,-0.05951981007318672,0.006647633247325616,1254.0,-0.05903368137788412,0.0047041737287498156,1830.0,0.031801678258165655,0.009756934837272703,1395.0,0.0197034351181457,0.009280751762648183,276.0,-0.0005599278240390603,0.004561298612148383
Edema,Edema,0.09895884137274723,19793.0,-0.009949643070913578,0.003623181292183432,19793.0,-0.06178749734345281,0.006839300529495994,1454.0,-0.06034872890503264,0.007829206247220773,2582.0,0.01654239225223316,0.0012943677753382752,2082.0,0.00994964307091362,0.0036231812921834238,344.0,0.037171344029294416,0.006991836054797574
Fracture,Fracture,0.10529922937026306,23145.0,-0.0057513208731060595,0.0025413604608167774,23145.0,-0.04356110888067708,0.0035860222037503793,1757.0,-0.05100457013572287,0.0034792691463323483,3101.0,0.033128937754676055,0.0034074268068621915,2252.0,0.0542946592345402,0.004705635869303736,398.0,0.0057513208731060205,0.0025413604608167835
Pleural Effusion,Effusion,0.1090379175595263,17191.0,0.012379435945945039,0.00036597873336280943,17191.0,-0.07065585713487152,0.005036416267985463,1339.0,-0.03279524318192582,0.0047448468101743725,2486.0,-0.012379435945945061,0.000365978733362807,1763.0,0.03838206042465478,0.0032952417087685755,322.0,0.028923662648419356,0.0045277557689529105
Pneumonia,Pneumonia,0.11477298695415648,22949.0,0.00758343150359748,0.0018865616428458388,22949.0,-0.03386501365677024,0.0012026043508611267,1692.0,-0.040731353660380484,0.0022938752709405594,3152.0,0.04460288569832148,0.004338592027397201,2338.0,0.074041633293776,0.0012785163779014473,401.0,-0.00758343150359748,0.0018865616428458388
Consolidation,Consolidation,0.11901527834336295,20245.0,-0.00733882567277136,0.0025726976625107304,20245.0,-0.0570182740133333,0.0018249540892560398,1576.0,-0.05021313944078828,0.0012255470082823288,2637.0,0.030152999206998175,0.004732059059881269,1908.0,0.06199700433002966,0.005453099421589021,369.0,0.0073388256727713805,0.002572697662510716
Enlarged Cardiomediastinum,Enlarged Card.,0.13817030251218326,18399.0,-0.01543472832401572,0.001756300835340582,18399.0,-0.0616803204290511,0.0033574952688588595,1462.0,-0.0517029219873691,0.003044151139742718,2122.0,0.041055761390854664,0.00411859957011919,1631.0,0.07648998208313215,0.004447579951408463,286.0,0.01543472832401572,0.001756300835340582
Cardiomegaly,Cardiomegaly,0.1661361400747589,17245.0,-0.01328960282555008,0.004654700503535282,17245.0,-0.08024728877032522,0.005309546377828031,1262.0,-0.05165308722282826,0.005262747299998981,2202.0,0.013289602825550102,0.004654700503535272,1697.0,0.029947518675340033,0.006443692028116601,299.0,0.0858888513044337,0.02359495110261243
Atelectasis,Atelectasis,0.16866155535842514,16741.0,0.00392842086843194,0.0031470579562574035,16741.0,-0.0698183390928491,0.004055419592462844,1328.0,-0.02355792676809704,0.004611652001728115,2227.0,-0.00392842086843194,0.0031470579562574035,1639.0,0.02462152073515566,0.004011188778829173,312.0,0.09884321626557604,0.008905139938467524
