diseases,diseases_abbr,Distance,#M,Gap_M_mean,CI_M,#F,Gap_F_mean,CI_F
Enlarged Cardiomediastinum,Enlarged Card.,0.0008334434422212801,15560.0,0.00041672172111064006,0.0011577369184304156,12296.0,-0.00041672172111064006,0.0011577369184304156
Pleural Other,Pleural Other,0.0099466579049896,21842.0,0.0049733289524948,0.0007812856287030754,16626.0,-0.0049733289524948,0.0007812856287030754
Fracture,Fracture,0.01068567581356928,19960.0,0.00534283790678464,0.001686964595028918,15240.0,-0.00534283790678464,0.001686964595028918
Lung Lesion,Lung Lesion,0.0119902377773156,21425.0,0.0059951188886578,0.001311125271544391,16296.0,-0.0059951188886578,0.001311125271544391
Edema,Edema,0.01249623503340028,17003.0,0.00624811751670014,0.0011325161257042665,13162.0,-0.00624811751670014,0.0011325161257042665
Pneumothorax,Pneumothorax,0.01401398480528592,21537.0,0.00700699240264296,0.0007614091121147188,16435.0,-0.00700699240264296,0.0007614091121147188
Pneumonia,Pneumonia,0.01951821533462464,19696.0,0.00975910766731232,0.0025248193403032758,15184.0,-0.00975910766731232,0.0025248193403032758
Cardiomegaly,Cardiomegaly,0.027823712240471275,14524.0,0.013911856120235638,0.0037186344994018555,11581.0,-0.013911856120235638,0.0037186344994018555
Consolidation,Consolidation,0.036608444523514236,17359.0,0.018304222261757118,0.0011854426352590319,13546.0,-0.018304222261757118,0.0011854426352590319
Lung Opacity,Air. Opacity,0.03845950375151088,12811.0,0.01922975187575544,0.003050398561128915,10271.0,-0.01922975187575544,0.003050398561128915
Pleural Effusion,Effusion,0.05103930561907816,14967.0,0.02551965280953908,0.005605653775095734,11821.0,-0.02551965280953908,0.005605653775095734
Atelectasis,Atelectasis,0.07630828575961837,14310.0,0.038154142879809186,0.003049718161791969,11579.0,-0.038154142879809186,0.003049718161791969
Support Devices,Sup. Devices,0.09820077093122435,12440.0,0.04910038546561218,0.0015639156226441965,10483.0,-0.04910038546561218,0.0015639156226441965
