,diseases,%60-80,Gap_60-80,%40-60,Gap_40-60,%20-40,Gap_20-40,%80+,Gap_80+,%0-20,Gap_0-20
0,Enlarged Cardiomediastinum,0.3885355141602302,0.015844904195914222,0.2605633802816901,0.0,0.09041344843253067,-0.02406686147973225,0.19688020596698472,0.03298828605280213,0.005982129335150689,-0.02167091550513356
1,Cardiomegaly,0.2914354482850839,0.005647544633820556,0.1910142408236946,-0.015369886141365918,0.06271311091796483,-0.029035494794932837,0.15337300260747477,0.026334683829939975,0.004546366249916427,0.0
2,Lung Opacity,0.30072302558398223,0.016995848293718918,0.20545050055617353,-0.007103784328734375,0.07525027808676307,-0.01603078726712026,0.14098998887652947,0.02320614840508739,0.004838709677419355,0.0
3,Lung Lesion,0.33043998802753666,0.05358138238573029,0.23346303501945526,0.0,0.12840466926070038,0.037878787878787956,0.11104459742592038,-0.026038426981823126,0.006884166417240347,-0.09225195094760308
4,Edema,0.30999357621363677,0.022015558526060075,0.1987703037533266,-0.007618918430095878,0.07121226025511608,0.0,0.1596769753143067,0.029858395544495764,0.0046801872074883,-0.08295431574691736
5,Consolidation,0.3799350201831249,0.005587412117601276,0.24997538643300188,0.0001438527629941122,0.09244855764497391,-0.010837133520839592,0.17278724032686818,0.0,0.005414984739588461,-0.008184408184408243
6,Pneumonia,0.30152054351342605,0.0,0.21675833063733418,0.03589936583178521,0.09640892914914267,0.03553374427513889,0.1297314784859269,-0.0522794408827717,0.004529278550630864,-0.13297057020232994
7,Atelectasis,0.2952613194490213,0.021980020125756172,0.1976537270150926,0.0,0.06729058195478811,-0.005869733267275912,0.13682198642325183,0.02058955425732789,0.004613458116390958,-0.004582479874243872
8,Pneumothorax,0.28867313915857606,0.0,0.20323624595469256,0.023649710091114273,0.11618122977346278,-0.0032695454488677056,0.07313915857605179,-0.12001468312234609,0.009385113268608414,0.09969846915107472
9,Pleural Effusion,0.26418663303909207,0.008728958360276762,0.17367241137732942,0.0,0.05555555555555555,-0.006398768571511337,0.12400168137873056,0.008102410530945847,0.004133389379291019,-0.030315668565099374
10,Pleural Other,0.3643022359290671,0.055256498734759574,0.2733230531996916,0.033519347519470166,0.09907478797224364,-0.05433936728133992,0.17733230531996916,0.0,0.005782575173477255,-0.12463768115942031
11,Fracture,0.37376322074377344,0.03750319102027555,0.25162060730126234,0.0,0.10440122824974411,-0.006591337099811634,0.19208461276015013,0.03051148508293955,0.006653019447287615,-0.08778791829639276
12,Support Devices,0.2543139092562986,0.000653142783091698,0.20012128562765313,0.0,0.07872539831302718,-0.007642891867490786,0.09631181432273003,-0.04338283180454172,0.005898891890401896,0.05373960505651243
13,No Finding,0.10183339976086091,-0.053177146479255866,0.11628138700677561,0.0,0.06377042646472698,0.05761969794344468,0.03487445197289757,-0.22233565919941245,0.004085292945396573,0.05285597843124956
