,diseases,%White,Gap_White,%Black,Gap_Black,%Hisp,Gap_Hisp,%Other,Gap_Other,%Asian,Gap_Asian,%American,Gap_American
0,Enlarged Cardiomediastinum,0.6525821596244131,0.025631864488659284,0.06769650159018628,-0.032154943518929,0.02968347720733,-0.025631864488659173,0.1312282295926094,0.06741634729461154,0.10457367863092534,0.07235059424429091,0.014235953354535816,-0.03154806075439953
1,Cardiomegaly,0.6533395734438724,-0.01188293082275893,0.09694457444674734,-0.09215647804423621,0.03958012970515478,-0.12167884523901729,0.11051681486929198,0.07866021887046426,0.08791870027411915,0.09633703185480658,0.011700207260814334,0.01188293082275882
2,Lung Opacity,0.6651279199110123,0.0077410952066023775,0.08793103448275862,-0.1157279849771734,0.03337041156840934,-0.10365018611569332,0.11262513904338153,0.11023870277319558,0.08993325917686318,0.12831332656210515,0.011012235817575083,-0.0077410952066023775
3,Lung Lesion,0.6566896138880575,-0.036540983759045964,0.07273271475606106,-0.09217531757630293,0.02873391200239449,-0.136928403996056,0.11733014067644418,0.03654098375904602,0.11224184375935349,0.04273826267061065,0.012271774917689314,0.1466081813697977
4,Edema,0.662934752684225,0.020715669988925822,0.08626227402037258,-0.07949226573360657,0.036707350646967056,-0.02071566998892571,0.11682114343397265,0.06896422003464064,0.0853445902541984,0.08371981388204197,0.011929888960264293,-0.02744643921969503
5,Consolidation,0.6667323028453284,0.011952577841532364,0.06694890223491189,-0.16867526691716261,0.027370286501919857,-0.06395668883844918,0.11991729841488628,0.08032985237193235,0.1086935118637393,0.07259711159946136,0.010337698139214336,-0.011952577841532364
6,Pneumonia,0.6580394694273698,-0.04887797847550546,0.08120349401488192,-0.18708229003947574,0.026205111614364285,-0.22188136534319913,0.11371724361048205,0.11522767352022567,0.10902620511161436,0.1772467439728429,0.01180847622128761,0.04887797847550546
7,Atelectasis,0.6772556514861926,0.012935570837478205,0.07961510578000396,-0.14471138638812808,0.034666842417452055,-0.07257505823361954,0.1072958544783497,0.0533579954560881,0.09048968562578263,0.10908703443348844,0.010676860212219074,-0.012935570837478094
8,Pneumothorax,0.7288025889967638,6.435503385071595e-05,0.062135922330097085,-0.06165855793240149,0.02524271844660194,-0.16422266049650408,0.0889967637540453,0.023795987522143958,0.08932038834951456,-6.435503385071595e-05,0.005501618122977346,0.0854002655970103
9,Pleural Effusion,0.6883844752697211,0.017892739122878254,0.08147681098500771,-0.04617771883177524,0.03607958525991313,-0.01504464317374321,0.09590864508897295,0.0150446431737431,0.08750175143617767,0.04806448490541915,0.01064873196020737,-0.02600529723608347
10,Pleural Other,0.6198920585967618,-0.011932739616833055,0.0558982266769468,-0.14472567150909582,0.020046260601387818,-0.16156917283535577,0.1395528141865844,0.011932739616832944,0.14880493446414803,0.12370384430294634,0.015805705474171164,0.019950526977026928
11,Fracture,0.6605254179460934,0.02460308829926061,0.05168884339815762,-0.025818999364051187,0.016547253497099967,-0.06855316968830005,0.12862504264756056,0.04673573621560756,0.12964858410098942,0.1517127011744237,0.012964858410098942,-0.0246030882992605
12,Support Devices,0.679420034180495,-0.007857566543566952,0.0861127956337174,-0.017562353347658433,0.03919730966425933,0.024518285452538313,0.09972986382931805,0.007857566543566952,0.08297039528088648,-0.021393373293974727,0.012569601411323668,0.013414576813852941
13,No Finding,0.6095057791948983,-0.04585065644071795,0.16191709844559585,0.02947354722875295,0.05958549222797927,0.05233642348293355,0.09107214029493822,0.0031352203477564844,0.06486648066958947,-0.0031352203477565954,0.013053009166998805,-0.058376129811763766
