,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5906406179009541,0.02497083013176249,0.4093593820990459,-0.02497083013176249
1,Cardiomegaly,0.5907601791803169,0.03418862284505564,0.4092398208196831,-0.03418862284505564
2,Lung Opacity,0.5867074527252503,0.02668021641998286,0.41329254727474973,-0.02668021641998286
3,Lung Lesion,0.579167913798264,0.053897839087557575,0.420832086201736,-0.053897839087557575
4,Edema,0.5833715701569239,0.021493771131618766,0.4166284298430761,-0.021493771131618766
5,Consolidation,0.5908240622230974,-0.012796030626271993,0.40917593777690264,0.012796030626271993
6,Pneumonia,0.5926884503396959,-0.02177618092962119,0.4073115496603041,0.02177618092962119
7,Atelectasis,0.5964542279048309,0.03816110435880293,0.40354577209516906,-0.03816110435880293
8,Pneumothorax,0.5899676375404531,-0.017748310308385307,0.41003236245954694,0.017748310308385307
9,Pleural Effusion,0.587992153565924,0.015296651793596516,0.41200784643407595,-0.015296651793596516
10,Pleural Other,0.5851966075558982,0.0284308251416705,0.41480339244410175,-0.0284308251416705
11,Fracture,0.5800068236096895,-0.003492856118889387,0.4199931763903105,0.003492856118889387
12,Support Devices,0.602017751805502,0.010794697752725124,0.39798224819449807,-0.010794697752725124
13,No Finding,0.5315862893583101,-0.04580727903512927,0.4684137106416899,0.04580727903512927
