,diseases,diseases_abbr,Distance,%White,Gap_W_mean,CI_W,%Black,Gap_B_mean,CI_B,%Hisp,Gap_H_mean,CI_H,%Other,Gap_Ot_mean,CI_Ot,%Asian,Gap_As_mean,CI_As,%American,Gap_Am_mean,CI_Am
12,Support Devices,Sup. Devices,0.037816187018424235,0.679420034180495,-0.00679573031736264,0.0017729541222213205,0.679420034180495,-0.02107173778288696,0.005203549402142868,0.0391973096642593,0.015513043890145678,0.006452012325461147,0.099729863829318,0.0074324902588646605,0.0020686100059972546,0.0829703952808864,-0.02230314312827856,0.002942472530864886,0.0125696014113236,0.014950455985785621,0.00555259286846122
8,Pleural Effusion,Effusion,0.09400318190924184,0.6883844752697211,0.02385796494835602,0.0043313066791037065,0.6883844752697211,-0.041423521917083636,0.004246106574525752,0.0360795852599131,-0.019623189666209198,0.005986777500291679,0.0959086450889729,0.016378427274793682,0.00244392473310432,0.0875017514361776,0.052579659992158204,0.006486380130341389,0.0106487319602073,-0.03243361378475794,0.011039370283759472
5,Enlarged Cardiomediastinum,Enlarged Card.,0.1167213396251783,0.6525821596244131,0.02339520746799524,0.0016535576592870422,0.6525821596244131,-0.0423321110885039,0.005606421052394612,0.02968347720733,-0.023395207467995283,0.0016535576592869874,0.1312282295926094,0.06391328199818924,0.003090152642386702,0.1045736786309253,0.0743892285366744,0.0016775543653950026,0.014235953354535803,-0.03641083925262404,0.004961349624132902
4,Edema,Edema,0.14377630325416582,0.662934752684225,0.013047342192691,0.006407254304215453,0.662934752684225,-0.08535585283098884,0.004825970239706992,0.036707350646967,-0.013047342192691,0.006407254304215387,0.11682114343397258,0.05842045042317697,0.012513296129723248,0.0853445902541984,0.056076313721287394,0.020813107361394956,0.0119298889602642,-0.030855034500383304,0.009189037998985237
2,Cardiomegaly,Cardiomegaly,0.20308627068132762,0.6533395734438724,-0.006330331559557921,0.005634955557232515,0.6533395734438724,-0.09327557977049132,0.00941576820875181,0.0395801297051547,-0.11703839430916792,0.009836590816406655,0.11051681486929191,0.07256834037469914,0.010573771479770885,0.0879187002741191,0.08604787637215969,0.011733741429291471,0.0117002072608143,0.00633033155955786,0.005634955557232486
6,Fracture,Fracture,0.2232962561041779,0.6605254179460934,0.02780834453062528,0.007897688453453544,0.6605254179460934,-0.0373706165473006,0.008076103094969627,0.0165472534970999,-0.08281990374406156,0.01948447756092262,0.1286250426475605,0.04572066340297548,0.006324996718330095,0.1296485841009894,0.14047635236011632,0.012393630577322958,0.0129648584100989,-0.03347101606093624,0.0174360477506324
0,Lung Opacity,Air. Opacity,0.24959614344271425,0.6651279199110123,0.00536804621176222,0.0031681746369730274,0.6651279199110123,-0.12548573160458987,0.00882345682438591,0.0333704115684093,-0.11001451085822682,0.010908026463682155,0.11262513904338149,0.10593610642572371,0.005718584815656128,0.0899332591768631,0.1241104118381244,0.006404034030226893,0.011012235817575,-0.00536804621176218,0.0031681746369730092
1,Atelectasis,Atelectasis,0.2531553421472773,0.6772556514861926,0.00724221366819002,0.004132942351638391,0.6772556514861926,-0.15216290698844182,0.008130424208657587,0.034666842417452,-0.07542040453332635,0.003481890966173523,0.1072958544783497,0.04717280741349764,0.005276401958290147,0.0904896856257826,0.10099243515883552,0.004301739238658559,0.010676860212219,-0.00724221366818998,0.004132942351638338
3,Consolidation,Consolidation,0.2543030690537083,0.6667323028453284,0.01827283393098192,0.0077679269618784125,0.6667323028453284,-0.16846911388181116,0.007070548184089895,0.027370286501919798,-0.04028037075866262,0.012024184808845926,0.11991729841488621,0.08562245377973608,0.010421897157150781,0.1086935118637393,0.08583395517189714,0.008800833387002674,0.0103376981392143,-0.018581158699738358,0.008209321813012201
7,Lung Lesion,Lung Lesion,0.26544715447154466,0.6566896138880575,-0.03602589622904762,0.005948502079385653,0.6566896138880575,-0.09965059659030222,0.00902327589937751,0.0287339120023944,-0.1459468928865985,0.01048679271382679,0.1173301406764441,0.03602589622904764,0.005948502079385634,0.1122418437593534,0.05471977378006804,0.011072849688931425,0.0122717749176893,0.11950026158494613,0.015546818368496735
11,Pneumothorax,Pneumothorax,0.2855203619909502,0.7288025889967638,-0.0019242155121373568,0.003581879399352666,0.7288025889967638,-0.05328411782119592,0.008992983265825955,0.0252427184466019,-0.1698706562827344,0.004103371390021189,0.0889967637540453,0.02204542763334944,0.007837678457306149,0.0893203883495145,0.0019242155121373967,0.0035818793993526304,0.0055016181229773,0.11564970570821578,0.06276095826568925
9,Pleural Other,Pleural Other,0.2910380561014828,0.6198920585967618,0.00463487373803396,0.01454685105253198,0.6198920585967618,-0.14428089225956414,0.026790432873459512,0.0200462606013878,-0.12839229809510794,0.028644069904891968,0.1395528141865844,0.0148503708381687,0.012958463004060916,0.148804934464148,0.1467571638419187,0.019937248109332072,0.0158057054741711,0.025172429859863843,0.057597606651751565
10,Pneumonia,Pneumonia,0.3763600395647873,0.6580394694273698,-0.0364933123206853,0.007515273273990472,0.6580394694273698,-0.17635392885161172,0.016179679129456243,0.0262051116143642,-0.19136056895785344,0.015848745456022165,0.113717243610482,0.1167949549871441,0.006282304848374685,0.10902620511161429,0.18499947060693386,0.010548901516524661,0.0118084762212876,0.03649331232068532,0.007515273273990439
