diseases,#M,FNR_M,Gap_M,#F,FNR_F,Gap_F
Enlarged Cardiomediastinum,7800,0.148,-0.019329662198696612,5406,0.167,0.019329662198696612
Cardiomegaly,8836,0.219,-0.012570602551280424,6121,0.231,0.012570602551280424
Lung Opacity,10549,0.212,-0.03590203697762584,7431,0.248,0.03590203697762584
Lung Lesion,1935,0.476,-0.023319770198595213,1406,0.499,0.023319770198595213
Edema,6357,0.214,-0.016836655142376616,4540,0.231,0.016836655142376616
Consolidation,6001,0.21,0.015880574283496846,4156,0.194,-0.015880574283496846
Pneumonia,3664,0.464,0.004482139078980707,2518,0.459,-0.004482139078980707
Atelectasis,9050,0.201,-0.02525465525782236,6123,0.226,0.02525465525782236
Pneumothorax,1823,0.456,0.011485270426424443,1267,0.444,-0.011485270426424443
Pleural Effusion,8393,0.158,0.0031340640969846623,5881,0.155,-0.0031340640969846623
Pleural Other,1518,0.383,-0.03760450798595294,1076,0.421,0.03760450798595294
Fracture,3400,0.336,0.0099068189420366,2462,0.327,-0.0099068189420366
Support Devices,10920,0.107,-0.011064501135840663,7219,0.118,0.011064501135840663
No Finding,5335,0.234,0.04120194570658059,4701,0.193,-0.04120194570658059
