diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.081,-0.024321056271062874,3441,0.105,0.0,1194,0.116,0.010375913277518078,2600,0.072,-0.033663514631256566,79,0.127,0.021380302311294563
Cardiomegaly,4359,0.076,-0.025570227811688828,2857,0.102,0.0,938,0.111,0.009369125172676546,2294,0.069,-0.03219382852316112,68,0.103,0.0014361012168255388
Lung Opacity,5407,0.057,-0.023793926920416084,3694,0.081,0.0,1353,0.09,0.009227924390283915,2535,0.062,-0.0190091293627173,87,0.103,0.022506207643335885
Lung Lesion,1104,0.349,-0.012806577480490522,780,0.362,0.0,429,0.273,-0.08881118881118882,371,0.383,0.02121086460709104,23,0.478,0.11672240802675588
Edema,3378,0.15,-0.023207031320471888,2166,0.174,0.0,776,0.188,0.014552455474007853,1740,0.135,-0.038534403158531544,51,0.196,0.022486556949649655
Consolidation,3859,0.107,-0.009475906029417308,2539,0.116,-5.184085530679505e-05,939,0.122,0.0062313972857103855,1755,0.116,0.0,55,0.2,0.08376068376068377
Pneumonia,1864,0.289,0.0,1340,0.264,-0.02444750496444814,596,0.223,-0.0654722470259527,802,0.333,0.044291096293600785,28,0.393,0.10423053341508276
Atelectasis,4480,0.084,-0.016994876268279904,2999,0.101,0.0,1021,0.125,0.0246670535624183,2076,0.085,-0.015440117804200626,70,0.157,0.0564426237317201
Pneumothorax,892,0.41,0.018594156122361538,628,0.392,0.0,359,0.382,-0.010104146337136077,226,0.451,0.059607688405388604,29,0.207,-0.18482319349879203
Pleural Effusion,3771,0.107,-0.00925079442129724,2479,0.115,-0.0018218572734130523,793,0.141,0.024851632576000468,1770,0.116,0.0,59,0.153,0.03615819209039549
Pleural Other,945,0.377,-0.07464229098470343,709,0.391,-0.06067075345886408,257,0.451,0.0,460,0.465,0.013855523600067643,15,0.533,0.08197146562905316
Fracture,2191,0.282,-0.03538689171089093,1475,0.315,-0.0024171928658469066,612,0.317,0.0,1126,0.323,0.00627474198678879,39,0.41,0.09326294620412268
Support Devices,4613,0.05,0.0,3630,0.048,-0.0021419882366219764,1428,0.052,0.0017448557571738896,1747,0.099,0.048951030728593484,107,0.009,-0.040730078141619275
No Finding,1022,0.236,0.08585497797386377,1167,0.15,0.0,640,0.13,-0.020269655098543254,350,0.286,0.13575713061574243,41,0.122,-0.028005935586348146
