diseases,diseases_abbr,Distance,#White,Gap_W_mean,CI_W,#Black,Gap_B_mean,CI_B,#Hisp,Gap_H_mean,CI_H,#Other,Gap_Ot_mean,CI_Ot,#Asian,Gap_As_mean,CI_As,#American,Gap_Am_mean,CI_Am
Support Devices,Sup. Devices,0.07660556641283094,12324.0,0.01211491257062628,0.004583869471211168,12324.0,0.03210950168627084,0.008354805399274192,711.0,-0.01191408234444448,0.009984134632343523,1809.0,-0.01171115884660318,0.006920493874625765,1505.0,0.00580818426801928,0.0038283595139395176,228.0,-0.0444960647265601,0.016015951430896767
Enlarged Cardiomediastinum,Enlarged Card.,0.09788293274609311,8618.0,-0.01470615661064304,0.008870168267822826,8618.0,0.035233073646199244,0.012206350605527376,392.0,0.04569625220621384,0.0056424358615744415,1733.0,-0.05218668053987928,0.010886894164519498,1381.0,-0.04856736924526312,0.011854856953565578,188.0,0.01787384664824598,0.012652542893847322
Pleural Effusion,Effusion,0.09803210989844498,9826.0,-0.019218126209711382,0.005911812652082825,9826.0,0.041146124040427653,0.01139916508227076,515.0,0.01555579437743694,0.011581362145177056,1369.0,-0.016787848136764438,0.010401130214935168,1249.0,-0.04817892155064526,0.01444232249229879,152.0,0.04985318834779972,0.025304839905183344
Edema,Edema,0.11070949842055111,7224.0,-0.00633782690178038,0.011194537251975313,7224.0,0.053366468472975104,0.019888738724746495,400.0,0.022568596132549558,0.01378819761841037,1273.0,-0.05734302994757601,0.019000205030029697,930.0,-0.03632925332981594,0.020972636160028507,130.0,0.02429936536331884,0.026588355144451237
No Finding,No Finding,0.1494319487349689,6117.0,0.05464714385103988,0.011008652866514208,6117.0,-0.02546792512445082,0.010786445095440262,598.0,-0.0333689284689324,0.009039403144779511,914.0,-0.00019635468176442024,0.004658399372488904,651.0,-0.0006007149153052001,0.0061011897638209266,131.0,0.1160630202660365,0.03541764204055975
Cardiomegaly,Cardiomegaly,0.18196685796504297,9772.0,0.004443716741710999,0.00913429626560862,9772.0,0.06162524877553034,0.02390178419116058,592.0,0.10320493190693758,0.012431378026965454,1653.0,-0.07876192605810538,0.006938306731390722,1315.0,-0.07185056084817484,0.010002603823078562,175.0,-0.004443716741710999,0.00913429626560862
Pneumothorax,Pneumothorax,0.18816287878787868,2252.0,-0.01767456841650622,0.021841691440325186,2252.0,0.14563767255448248,0.03950281572356211,78.0,0.12344215973396963,0.06257547660805163,275.0,-0.042525206233396215,0.016825202388263884,276.0,-0.04054892164841594,0.026048926097533554,17.0,0.00881169216232566,0.07503472820656115
Fracture,Fracture,0.2085252735799895,3872.0,-0.027014250157700887,0.015323664457810634,3872.0,0.061951976010370426,0.01107342049633541,97.0,0.04676365305436344,0.012909765604401706,754.0,-0.03206540981309248,0.02205117527235204,760.0,-0.1465732975696191,0.020280655897687537,76.0,0.025005649798801877,0.03162437371954437
Lung Lesion,Lung Lesion,0.22433943089430888,2194.0,0.02971154292163532,0.007138594886575929,2194.0,0.08022716540119984,0.02120901446560607,96.0,0.14748539585387482,0.019063317341818407,392.0,-0.035975488499866606,0.014167163193447923,375.0,-0.05749793747945846,0.018163871178092476,41.0,-0.07685403504043406,0.032073018925928516
Atelectasis,Atelectasis,0.2398350641269902,10276.0,-0.021082805914776837,0.011086566107280961,10276.0,0.13320977836183756,0.013557838800884075,526.0,0.06068755641940058,0.01974057153128881,1628.0,-0.07223020406489976,0.015148763146468507,1373.0,-0.10662528576515265,0.017888607716452953,162.0,0.0210828059147768,0.011086566107280982
Lung Opacity,Air. Opacity,0.24540232515293497,11959.0,-0.00415725952560136,0.009867098886730733,11959.0,0.13236725320049061,0.020448606748822443,600.0,0.1181572595256013,0.016900898718107515,2025.0,-0.09594150590649736,0.008000104647170174,1617.0,-0.11303507195244437,0.008665170556126851,198.0,0.00415725952560134,0.00986709888673073
Consolidation,Consolidation,0.24776641091219087,6772.0,-0.022797794841504203,0.0035006043936337654,6772.0,0.16034681444934734,0.00938283462322798,278.0,0.03924863417004136,0.005127990111496375,1218.0,-0.08537954505997356,0.0044241187612159266,1104.0,-0.08741959646284354,0.010400709104503289,105.0,0.022797794841504182,0.0035006043936337537
Pleural Other,Pleural Other,0.26408790423441125,1608.0,-0.004562125700831499,0.010490256890023756,1608.0,0.13941196934119973,0.018232217128128683,52.0,0.08092390568072223,0.025674817872517807,362.0,-0.026067169542397163,0.02212891433147013,386.0,-0.12467593489321153,0.0032183091329529945,41.0,-0.0049109911297843005,0.019235924709325346
Pneumonia,Pneumonia,0.3099601593625497,4068.0,0.011489271426839618,0.009711918079450325,4068.0,0.154635271497354,0.019674097430428465,162.0,0.13356400102369312,0.02484052035048302,703.0,-0.12189672285808335,0.023430028415159034,674.0,-0.1553248878651957,0.014580923145081739,73.0,-0.01148927142683956,0.00971191807945037
