diseases,diseases_abbr,Distance,#M,Gap_M_mean,CI_M,#F,Gap_F_mean,CI_F
Pleural Effusion,Effusion,0.00647980085103828,8393.0,0.00323990042551914,0.004980115572005112,5881.0,-0.00323990042551914,0.004980115572005112
Support Devices,Sup. Devices,0.01473716337686408,10920.0,-0.00736858168843204,0.005627700568214743,7219.0,0.00736858168843204,0.005627700568214743
Edema,Edema,0.02401247644727544,6357.0,-0.01200623822363772,0.0028505466799236116,4540.0,0.01200623822363772,0.0028505466799236116
Cardiomegaly,Cardiomegaly,0.030191256173875042,8836.0,-0.015095628086937521,0.007609933504687737,6121.0,0.015095628086937521,0.007609933504687737
Fracture,Fracture,0.030245137860180554,3400.0,0.015122568930090277,0.011533568497100053,2462.0,-0.015122568930090277,0.011533568497100053
Pneumothorax,Pneumothorax,0.030927277127608642,1823.0,0.015463638563804321,0.013671704092641722,1267.0,-0.015463638563804321,0.013671704092641722
Pneumonia,Pneumonia,0.03576823291515056,3664.0,0.01788411645757528,0.013977062279020392,2518.0,-0.01788411645757528,0.013977062279020392
Enlarged Cardiomediastinum,Enlarged Card.,0.04065294971399288,7800.0,-0.02032647485699644,0.004261667355095092,5406.0,0.02032647485699644,0.004261667355095092
Consolidation,Consolidation,0.04638800174305232,6001.0,0.02319400087152616,0.008633379990755065,4156.0,-0.02319400087152616,0.008633379990755065
Lung Lesion,Lung Lesion,0.0471553070818676,1935.0,-0.0235776535409338,0.008459806804629042,1406.0,0.0235776535409338,0.008459806804629042
Atelectasis,Atelectasis,0.0489411773198238,9050.0,-0.0244705886599119,0.0017387909170285623,6123.0,0.0244705886599119,0.0017387909170285623
Pleural Other,Pleural Other,0.049868492587096,1518.0,-0.024934246293548,0.013925002735766235,1076.0,0.024934246293548,0.013925002735766235
Lung Opacity,Air. Opacity,0.061674421456238915,10549.0,-0.030837210728119457,0.006130751372182663,7431.0,0.030837210728119457,0.006130751372182663
