diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.313,0.09042867429426182,2496,0.222,0.0,1243,0.195,-0.026860998514759565,783,0.451,0.22847437125454367,87,0.126,-0.0959189876215738
Cardiomegaly,3189,0.337,0.09326509959153417,3080,0.244,0.0,1499,0.199,-0.044364857957252896,1089,0.466,0.22265184310638853,98,0.102,-0.14179035250463823
Lung Opacity,2141,0.297,0.10131619197032732,2243,0.195,0.0,1084,0.18,-0.015384887464567898,848,0.415,0.2198201532650847,79,0.152,-0.04337545218034164
Lung Lesion,6444,0.079,0.010905478025823465,5157,0.067,-0.0018815565737824308,2008,0.082,0.013778220451527226,3012,0.068,0.0,143,0.063,-0.005456031352445684
Edema,4170,0.19,0.02447085809613181,3771,0.128,-0.03739983627915555,1661,0.119,-0.046012093291102785,1643,0.245,0.08006562756357671,115,0.165,0.0
Consolidation,3689,0.258,0.08823402740656103,3398,0.167,-0.0021079705253463366,1498,0.17,0.0,1628,0.269,0.09948235649170226,111,0.126,-0.04343328642394065
Pneumonia,5684,0.173,0.03188992917214087,4597,0.126,-0.01549341923747119,1841,0.141,0.0,2581,0.179,0.0377727937476495,138,0.116,-0.02528556471356934
Atelectasis,3068,0.31,0.09690380865572104,2938,0.213,0.0,1416,0.187,-0.025923223069615753,1307,0.351,0.13811580623370104,96,0.156,-0.056820115724982995
Pneumothorax,6656,0.07,0.0,5309,0.059,-0.011732729798455452,2078,0.083,0.012459396053897981,3157,0.044,-0.025966601995565407,137,0.153,0.08297217153284672
Pleural Effusion,3777,0.276,0.09740464376558189,3458,0.179,0.0,1644,0.172,-0.006864086099583583,1613,0.305,0.12601649337708332,107,0.112,-0.06685567261071441
Pleural Other,6603,0.083,0.018340704608892505,5228,0.065,0.0,2180,0.059,-0.005477562595200158,2923,0.092,0.027376863076552183,151,0.02,-0.04478432485293149
Fracture,5357,0.177,0.03943047248383244,4462,0.13,-0.007547693460147498,1825,0.138,0.0,2257,0.229,0.09153088412913249,127,0.094,-0.043046057598964516
Support Devices,2935,0.254,0.03349406635290039,2307,0.217,-0.0031738335059839917,1009,0.204,-0.016176445885337037,1636,0.236,0.015602337242551084,59,0.22,0.0
No Finding,6526,0.051,-0.004716986374924362,4770,0.061,0.005375461122619732,1797,0.079,0.02297047447471249,3033,0.056,0.0,125,0.056,-5.011539729640746e-05
