diseases,diseases_abbr,Distance,#40-60,Gap_40-60_mean,CI_40-60,#60-80,Gap_60-80_mean,CI_60-80,#20-40,Gap_20-40_mean,CI_20-40,#80-,Gap_80-_mean,CI_80-,#0-20,Gap_0-20_mean,CI_0-20
Lung Lesion,Lung Lesion,0.03647786476471724,5157.0,-0.0008038043675598,0.0009680203269940697,6444.0,0.01468802048838794,0.002179648851134107,2008.0,0.014717820592750138,0.0013267620153973455,3012.0,-0.0017496428866654403,0.0023521640915320414,143.0,-0.021760044171967103,0.01209302523308877
Support Devices,Sup. Devices,0.05738871451654014,2307.0,-0.007192553246199801,0.007966333343046349,2935.0,0.0348014668792017,0.0016909219846215561,1009.0,-0.022587247637338437,0.012939103238904473,1636.0,0.02968569441717816,0.01708700528621125,59.0,-0.01063381161241026,0.013506671438899697
Pneumonia,Pneumonia,0.060247937255861764,4597.0,-0.00769359157249076,0.005349899654035934,5684.0,0.03048544756771272,0.005436362983823726,1841.0,0.00132253814014206,0.002592174754678437,2581.0,0.030345096967960998,0.017719281834655428,138.0,-0.02976248968814904,0.022218438683976414
Pleural Other,Pleural Other,0.06851529205456598,5228.0,0.00121133206516778,0.0023742108477288484,6603.0,0.013216059461226299,0.0034113607249879217,2180.0,-0.01004387104019988,0.007678595994381744,2923.0,0.015139505345127419,0.010151640191326874,151.0,-0.053375786709438565,0.017915367633839174
Pneumothorax,Pneumothorax,0.08691703525244551,5309.0,-0.0069214796374218405,0.004614156004877506,6656.0,0.0007777217368771601,0.0015243346042792337,2078.0,0.014602324257792221,0.009993665202538905,3157.0,-0.02955461741787046,0.0030444911743489934,137.0,0.05736241783457506,0.022196649065842258
Fracture,Fracture,0.10717522737659554,4462.0,-0.00741489867035762,0.007730618215362772,5357.0,0.027419419158574942,0.015415523709475179,1825.0,-0.00226018581353934,0.00855833341781809,2257.0,0.07245856437612928,0.03280135316545009,127.0,-0.03471666300046626,0.024540450368543326
Consolidation,Consolidation,0.13296478296478287,3398.0,-0.00042159410506926,0.0008263244459357495,3689.0,0.08728629012705677,0.005429449474768361,1498.0,-0.01663595407963998,0.01109074479906985,1628.0,0.10212731094530718,0.006178014147056263,111.0,-0.030837472019475676,0.015171096323937767
Edema,Edema,0.150145894702976,3771.0,-0.024421154577842295,0.011084139374166975,4170.0,0.045123553331248,0.01685650430294441,1661.0,-0.03839803156820138,0.005617741068759761,1643.0,0.11174786313477462,0.02773502106932934,115.0,0.0,0.0
Pleural Effusion,Effusion,0.18320074627298058,3458.0,0.0,0.0,3777.0,0.08892859018689872,0.011256741816396887,1644.0,-0.0138241448652512,0.0049525788018281265,1613.0,0.1250784455535328,0.01879290484239769,107.0,-0.05812230071944776,0.011703657421038469
Atelectasis,Atelectasis,0.1869676103034939,2938.0,0.0,0.0,3068.0,0.09129351224746449,0.005943856691843508,1416.0,-0.031653032732978696,0.009090595205688539,1307.0,0.13893039677955477,0.015536044121608378,96.0,-0.048037213523939123,0.018907425578031795
Lung Opacity,Air. Opacity,0.26099265473786804,2243.0,0.0,0.0,2141.0,0.1006455498168259,0.007138783177313668,1084.0,-0.03159522121302346,0.012623224886802897,848.0,0.2293974335248446,0.011081970788050437,79.0,-0.024408991122874504,0.016340779407846874
Enlarged Cardiomediastinum,Enlarged Card.,0.2929757343550446,2496.0,0.0,0.0,2417.0,0.08571675790076694,0.005570747368896981,1243.0,-0.039199904078222596,0.016293281029432848,783.0,0.22289947440809507,0.022981871436642883,87.0,-0.07007625994694953,0.017158727234252196
Cardiomegaly,Cardiomegaly,0.34693127939881174,3080.0,0.0,0.0,3189.0,0.09866206073637866,0.003552274310671526,1499.0,-0.049403368479419146,0.011039373493373458,1089.0,0.21872163190345004,0.015676079758961407,98.0,-0.12820964749536173,0.013563514501036763
