diseases,diseases_abbr,Distance,#White,Gap_W_mean,CI_W,#Black,Gap_B_mean,CI_B,#Hisp,Gap_H_mean,CI_H,#Other,Gap_Ot_mean,CI_Ot,#Asian,Gap_As_mean,CI_As,#American,Gap_Am_mean,CI_Am
Lung Lesion,Lung Lesion,0.0547081451541276,24823.0,0.00069750182330154,0.0017711036192332417,24823.0,-0.023849036965877524,0.0038343445258490227,1758.0,-0.023141650249368324,0.0042339522941227115,3463.0,0.01698677384844834,0.005845226271220539,2637.0,0.03085910818825008,0.004638375152738855,433.0,-0.00069750182330154,0.0017711036192332417
Pneumothorax,Pneumothorax,0.05547455350086922,24765.0,0.006953388106405859,0.003272719824153705,24765.0,-0.015288780593672783,0.004251281445239621,1776.0,-0.020335314890958477,0.005161839921848445,3580.0,0.013464322735494721,0.002816005447833171,2736.0,0.035139238609910736,0.007517122489724215,457.0,-0.006953388106405859,0.003272719824153705
Pleural Other,Pleural Other,0.06858369265595553,25409.0,-0.0046750805265591,0.0007316683829614644,25409.0,-0.02563355252822504,0.002615105117319015,1802.0,-0.02962500847338458,0.004192499278944669,3493.0,0.0046750805265591,0.0007316683829614644,2626.0,0.038958684182570945,0.006210364281429658,433.0,0.013929881781989801,0.005273059676067239
Pneumonia,Pneumonia,0.08645980581895973,22949.0,0.007645436063421079,0.0025379876835483063,22949.0,-0.02947242333305748,0.004373546234381193,1692.0,-0.03627569257344625,0.002376040905490977,3152.0,0.034570091108496744,0.003611066570942197,2338.0,0.050184113245513494,0.005659342806031834,401.0,-0.0076454360634211,0.00253798768354829
Pleural Effusion,Effusion,0.08773767829557255,17191.0,0.015944656293948877,0.004349067995172791,17191.0,-0.05965150349074606,0.007302625438312344,1339.0,-0.0346458167156833,0.0044735714442969655,2486.0,-0.01280767547724992,0.002901976283835694,1763.0,0.026954915622813925,0.008440366088174146,322.0,0.02808617480482648,0.010740853629248823
Lung Opacity,Air. Opacity,0.08828791345953807,15058.0,-6.741818506619899e-06,0.004621549206640131,15058.0,-0.05288756348568839,0.007250434380285363,1254.0,-0.06301347198869593,0.007732716844582362,1830.0,0.00618202046822868,0.00992535610156625,1395.0,0.005137305737633499,0.004299296765548751,276.0,0.02527444147084214,0.01577456337607401
Edema,Edema,0.09263059403090101,19793.0,-0.0005558875802471798,0.007714085185999915,19793.0,-0.04005421702917396,0.011794077155141114,1454.0,-0.0425887544372237,0.010224914063315941,2582.0,0.013532823687493182,0.00969708295764648,2082.0,0.0022529291095722,0.006485240422780949,344.0,0.05004183959367732,0.013890528233695723
Support Devices,Sup. Devices,0.09275602742756017,14693.0,0.01430907196183,0.00630646768151136,14693.0,-0.06503576891196268,0.006497557126775856,1143.0,-0.04998860783629424,0.012896246845991116,2046.0,0.00416994492525566,0.0026428890005294474,1507.0,0.027720258515597496,0.004410052263840688,246.0,-0.00416994492525566,0.0026428890005294457
Fracture,Fracture,0.09661096795259949,23145.0,-0.01212573138513076,0.004468348979614138,23145.0,-0.04626266835648056,0.006504347938491467,1757.0,-0.054588033520600224,0.006503092024954897,3101.0,0.02226932260793294,0.0052234478098515955,2252.0,0.042022934431999275,0.004205358589138663,398.0,0.01602170269605494,0.010781886164634654
Cardiomegaly,Cardiomegaly,0.10120598072004712,17245.0,-0.012548171426132581,0.004885665550099428,17245.0,-0.058484930589061304,0.013948336562026957,1262.0,-0.056893618945544934,0.014443240662586421,2202.0,0.0131969628767718,0.0058592506957879835,1697.0,0.02025921998808166,0.003427944891518243,299.0,0.042721050130985816,0.009542817496050697
Consolidation,Consolidation,0.1120293199402741,20245.0,0.0021790920304856198,0.002781296785620099,20245.0,-0.043440911842928295,0.0011255567064906845,1576.0,-0.04029005182028652,0.00207815744273343,2637.0,0.03584823022225904,0.0049232421939213065,1908.0,0.0685884080973458,0.01042664018444774,369.0,-0.0021790920304856198,0.002781296785620099
Enlarged Cardiomediastinum,Enlarged Card.,0.1210308798376252,18399.0,-0.013920203933248082,0.002721032365174226,18399.0,-0.05689265358335051,0.0054317935958922885,1462.0,-0.05090621451834128,0.004338684365650306,2122.0,0.04183686785368204,0.0025971111105122,1631.0,0.06413822625427469,0.0038057025367230083,286.0,0.013920203933248082,0.002721032365174226
Atelectasis,Atelectasis,0.12598213154226323,16741.0,0.00996971139254218,0.004759429720132378,16741.0,-0.05396158992942666,0.00456274948872314,1328.0,-0.02597914945914352,0.011794065895714034,2227.0,-0.0093499925080342,0.0034605586077613194,1639.0,0.016439824790509018,0.006048777847242762,312.0,0.07202054161283658,0.02994737908358556
