,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5906406179009541,0.019329662198696584,0.4093593820990459,-0.019329662198696584
1,Cardiomegaly,0.5907601791803169,0.012570602551280396,0.4092398208196831,-0.012570602551280396
2,Lung Opacity,0.5867074527252503,0.03590203697762573,0.41329254727474973,-0.03590203697762573
3,Lung Lesion,0.579167913798264,0.023319770198595213,0.420832086201736,-0.023319770198595213
4,Edema,0.5833715701569239,0.016836655142376644,0.4166284298430761,-0.016836655142376644
5,Consolidation,0.5908240622230974,-0.015880574283496873,0.40917593777690264,0.015880574283496873
6,Pneumonia,0.5926884503396959,-0.0044821390789807625,0.4073115496603041,0.0044821390789807625
7,Atelectasis,0.5964542279048309,0.025254655257822445,0.40354577209516906,-0.025254655257822445
8,Pneumothorax,0.5899676375404531,-0.011485270426424443,0.41003236245954694,0.011485270426424443
9,Pleural Effusion,0.587992153565924,-0.00313406409698469,0.41200784643407595,0.00313406409698469
10,Pleural Other,0.5851966075558982,0.03760450798595294,0.41480339244410175,-0.03760450798595294
11,Fracture,0.5800068236096895,-0.0099068189420366,0.4199931763903105,0.0099068189420366
12,Support Devices,0.602017751805502,0.011064501135840676,0.39798224819449807,-0.011064501135840676
13,No Finding,0.5315862893583101,-0.041201945706580645,0.4684137106416899,0.041201945706580645
