,diseases,%White,Gap_White,%Black,Gap_Black,%Hisp,Gap_Hisp,%Other,Gap_Other,%Asian,Gap_Asian,%American,Gap_American
0,Enlarged Cardiomediastinum,0.6525821596244131,0.004412461794462863,0.06769650159018628,-0.03974255841971874,0.02968347720733,-0.05125353865073734,0.1312282295926094,0.04161214195503071,0.10457367863092534,0.038830177674315514,0.014235953354535816,-0.004412461794462863
1,Cardiomegaly,0.6533395734438724,-0.019541547277937,0.09694457444674734,-0.04902988129349162,0.03958012970515478,-0.11869204345565376,0.11051681486929198,0.08214979202774253,0.08791870027411915,0.08192068904871375,0.011700207260814334,0.019541547277937
2,Lung Opacity,0.6651279199110123,0.005483381350928851,0.08793103448275862,-0.1330781142587546,0.03337041156840934,-0.1280591389266863,0.11262513904338153,0.1050890092214618,0.08993325917686318,0.12191303175977009,0.011012235817575083,-0.00548338135092874
3,Lung Lesion,0.6566896138880575,-0.02418702211969559,0.07273271475606106,-0.06279962439076037,0.02873391200239449,-0.12568542685989614,0.11733014067644418,0.0241870221196957,0.11224184375935349,0.07339790647343714,0.012271774917689314,0.1022109146035185
4,Edema,0.662934752684225,-0.009052091319533218,0.08626227402037258,-0.08734725401598242,0.036707350646967056,-0.049794062526620775,0.11682114343397265,0.07924364367919234,0.0853445902541984,0.07671131381746532,0.011929888960264293,0.009052091319533107
5,Consolidation,0.6667323028453284,0.020516552752229078,0.06694890223491189,-0.142015152192005,0.027370286501919857,-0.04268167779505194,0.11991729841488628,0.09081349650885473,0.1086935118637393,0.09485611805522431,0.010337698139214336,-0.020516552752229078
6,Pneumonia,0.6580394694273698,-0.003268072897725016,0.08120349401488192,-0.1188734978057625,0.026205111614364285,-0.08518110687565578,0.11371724361048205,0.14274857719437917,0.10902620511161436,0.17856582502162233,0.01180847622128761,0.003268072897724905
7,Atelectasis,0.6772556514861926,0.031607869709595504,0.07961510578000396,-0.14929039771221164,0.034666842417452055,-0.07847920238574424,0.1072958544783497,0.08845916702410805,0.09048968562578263,0.1299110174708602,0.010676860212219074,-0.03160786970959539
8,Pneumothorax,0.7288025889967638,0.0535592294029239,0.062135922330097085,-0.0808028191465136,0.02524271844660194,-0.05355922940292385,0.0889967637540453,0.07245475661106215,0.08932038834951456,0.08133486201290674,0.005501618122977346,-0.12369497600925866
9,Pleural Effusion,0.6883844752697211,0.019823556186985725,0.08147681098500771,-0.02592413025530449,0.03607958525991313,-0.018063642230527588,0.09590864508897295,0.018063642230527588,0.08750175143617767,0.06458266899320875,0.01064873196020737,-0.09901663149981732
10,Pleural Other,0.6198920585967618,-0.0058581402380363246,0.0558982266769468,-0.12870082337408023,0.020046260601387818,-0.10708278623880174,0.1395528141865844,0.0058581402380363246,0.14880493446414803,0.12677532456231422,0.015805705474171164,0.011585131209603583
11,Fracture,0.6605254179460934,0.03787652240104389,0.05168884339815762,-0.04916712514552901,0.016547253497099967,-0.03950430319323073,0.12862504264756056,0.06885250175084767,0.12964858410098942,0.16475505654632439,0.012964858410098942,-0.037876522401044
12,Support Devices,0.679420034180495,-0.015208943777391015,0.0861127956337174,-0.03616936743883081,0.03919730966425933,0.005698770168297673,0.09972986382931805,0.0006326800842593183,0.08297039528088648,-0.0006326800842594293,0.012569601411323668,0.02992336118169614
13,No Finding,0.6095057791948983,-0.04280057674897164,0.16191709844559585,0.04291856662196181,0.05958549222797927,0.047038967959754485,0.09107214029493822,0.004135196818898401,0.06486648066958947,-0.004135196818898401,0.013053009166998805,-0.124959295973458
