,diseases,diseases_abbr,Distance,%White,Gap_W_mean,CI_W,%Black,Gap_B_mean,CI_B,%Hisp,Gap_H_mean,CI_H,%Other,Gap_Ot_mean,CI_Ot,%Asian,Gap_As_mean,CI_As,%American,Gap_Am_mean,CI_Am
12,Support Devices,Sup. Devices,0.076605566412831,0.679420034180495,-0.01211491257062628,0.004583869471211174,0.679420034180495,-0.03210950168627088,0.00835480539927419,0.0391973096642593,0.01191408234444446,0.009984134632343489,0.099729863829318,0.01171115884660318,0.006920493874625823,0.0829703952808864,-0.00580818426801932,0.003828359513939543,0.0125696014113236,0.04449606472656013,0.0160159514308968
0,Enlarged Cardiomediastinum,Enlarged Card.,0.09788293274609317,0.6525821596244131,0.014706156610643001,0.008870168267822803,0.6525821596244131,-0.03523307364619924,0.01220635060552739,0.02968347720733,-0.045696252206213886,0.0056424358615744154,0.1312282295926094,0.05218668053987928,0.01088689416451947,0.1045736786309253,0.0485673692452631,0.011854856953565559,0.014235953354535803,-0.01787384664824598,0.012652542893847322
9,Pleural Effusion,Effusion,0.09803210989844502,0.6883844752697211,0.019218126209711462,0.00591181265208285,0.6883844752697211,-0.041146124040427653,0.01139916508227076,0.0360795852599131,-0.015555794377436922,0.011581362145177087,0.0959086450889729,0.016787848136764438,0.010401130214935168,0.0875017514361776,0.04817892155064531,0.014442322492298789,0.0106487319602073,-0.049853188347799705,0.025304839905183413
4,Edema,Edema,0.11070949842055117,0.662934752684225,0.006337826901780361,0.01119453725197534,0.662934752684225,-0.05336646847297514,0.01988873872474652,0.036707350646967,-0.0225685961325496,0.013788197618410403,0.11682114343397258,0.05734302994757603,0.019000205030029676,0.0853445902541984,0.0363292533298159,0.020972636160028525,0.0119298889602642,-0.02429936536331884,0.026588355144451237
1,Cardiomegaly,Cardiomegaly,0.18196685796504303,0.6533395734438724,-0.00444371674171108,0.009134296265608615,0.6533395734438724,-0.061625248775530383,0.023901784191160607,0.0395801297051547,-0.10320493190693766,0.01243137802696542,0.11051681486929191,0.07876192605810536,0.00693830673139074,0.0879187002741191,0.07185056084817483,0.010002603823078608,0.0117002072608143,0.004443716741710979,0.009134296265608645
8,Pneumothorax,Pneumothorax,0.18816287878787868,0.7288025889967638,0.01767456841650626,0.021841691440325186,0.7288025889967638,-0.14563767255448248,0.03950281572356211,0.0252427184466019,-0.12344215973396966,0.06257547660805167,0.0889967637540453,0.042525206233396215,0.016825202388263943,0.0893203883495145,0.040548921648415996,0.026048926097533606,0.0055016181229773,-0.008811692162325616,0.0750347282065611
11,Fracture,Fracture,0.20852527357998946,0.6605254179460934,0.027014250157700863,0.01532366445781061,0.6605254179460934,-0.06195197601037046,0.011073420496335402,0.0165472534970999,-0.046763653054363495,0.012909765604401706,0.1286250426475605,0.03206540981309248,0.022051175272351994,0.1296485841009894,0.146573297569619,0.020280655897687544,0.0129648584100989,-0.02500564979880196,0.03162437371954438
3,Lung Lesion,Lung Lesion,0.2243394308943089,0.6566896138880575,-0.02971154292163532,0.00713859488657597,0.6566896138880575,-0.08022716540119987,0.021209014465606087,0.0287339120023944,-0.1474853958538748,0.019063317341818462,0.1173301406764441,0.03597548849986664,0.014167163193447917,0.1122418437593534,0.05749793747945846,0.018163871178092424,0.0122717749176893,0.07685403504043412,0.03207301892592854
7,Atelectasis,Atelectasis,0.23983506412699013,0.6772556514861926,0.02108280591477684,0.011086566107280971,0.6772556514861926,-0.13320977836183753,0.01355783880088409,0.034666842417452,-0.06068755641940058,0.019740571531288824,0.1072958544783497,0.07223020406489974,0.015148763146468541,0.0904896856257826,0.1066252857651526,0.01788860771645297,0.010676860212219,-0.02108280591477682,0.01108656610728095
2,Lung Opacity,Air. Opacity,0.24540232515293497,0.6651279199110123,0.00415725952560138,0.009867098886730711,0.6651279199110123,-0.13236725320049061,0.020448606748822398,0.0333704115684093,-0.11815725952560127,0.01690089871810748,0.11262513904338149,0.09594150590649736,0.008000104647170202,0.0899332591768631,0.11303507195244436,0.008665170556126795,0.011012235817575,-0.00415725952560138,0.00986709888673077
5,Consolidation,Consolidation,0.24776641091219087,0.6667323028453284,0.022797794841504182,0.0035006043936337537,0.6667323028453284,-0.16034681444934734,0.009382834623227965,0.027370286501919798,-0.039248634170041395,0.005127990111496304,0.11991729841488621,0.08537954505997356,0.004424118761215888,0.1086935118637393,0.08741959646284354,0.010400709104503289,0.0103376981392143,-0.022797794841504203,0.0035006043936337814
10,Pleural Other,Pleural Other,0.2640879042344112,0.6198920585967618,0.004562125700831509,0.010490256890023761,0.6198920585967618,-0.13941196934119965,0.018232217128128704,0.0200462606013878,-0.08092390568072219,0.025674817872517852,0.1395528141865844,0.026067169542397163,0.022128914331470146,0.148804934464148,0.12467593489321156,0.0032183091329530014,0.0158057054741711,0.0049109911297843326,0.019235924709325378
6,Pneumonia,Pneumonia,0.3099601593625497,0.6580394694273698,-0.01148927142683958,0.009711918079450354,0.6580394694273698,-0.15463527149735395,0.019674097430428465,0.0262051116143642,-0.13356400102369306,0.024840520350483,0.113717243610482,0.1218967228580834,0.023430028415159065,0.10902620511161429,0.15532488786519577,0.014580923145081697,0.0118084762212876,0.011489271426839557,0.0097119180794503
