diseases,#M,FNR_M,Gap_M,#F,FNR_F,Gap_F
Enlarged Cardiomediastinum,7378,0.082,-0.01687453185594412,5067,0.099,0.01687453185594412
Cardiomegaly,6285,0.104,-0.018999591415936504,4231,0.123,0.018999591415936504
Lung Opacity,7732,0.086,-0.022700105479676963,5344,0.109,0.022700105479676963
Lung Lesion,1638,0.358,-0.01268630548331201,1069,0.37,0.01268630548331201
Edema,4812,0.166,-0.023823751221118683,3299,0.189,0.023823751221118683
Consolidation,5380,0.139,0.003726797871951959,3767,0.135,-0.003726797871951959
Pneumonia,2705,0.312,-0.013329812516503836,1925,0.326,0.013329812516503836
Atelectasis,6348,0.117,-0.015342418316809173,4298,0.132,0.015342418316809173
Pneumothorax,1229,0.445,0.006403265467590347,905,0.439,-0.006403265467590347
Pleural Effusion,5286,0.138,-0.009138620595205788,3586,0.147,0.009138620595205788
Pleural Other,1392,0.42,-0.037487858183584244,994,0.458,0.037487858183584244
Fracture,3161,0.287,-0.0065457325128975286,2282,0.293,0.0065457325128975286
Support Devices,6975,0.074,0.0019000354484225435,4550,0.072,-0.0019000354484225435
No Finding,1868,0.217,0.002312380421423399,1352,0.214,-0.002312380421423399
