diseases,#White,FNR_White,Gap_White,#Black,FNR_Black,Gap_Black,#Hisp,FNR_Hisp,Gap_Hisp,#Other,FNR_Other,Gap_Other,#Asian,FNR_Asian,Gap_Asian,#American,FNR_American,Gap_American
Enlarged Cardiomediastinum,8075,0.098,-0.0007524655034547856,798,0.122,0.02296860187086336,338,0.068,-0.030537945562809574,1701,0.097,-0.0015835191724857534,1359,0.099,0.0007524655034547717,174,0.155,0.05658713095218737
Cardiomegaly,6800,0.109,-0.007911322810046459,705,0.138,0.020412623789870105,281,0.089,-0.028208057162150288,1431,0.125,0.007911322810046445,1155,0.105,-0.012414123930494639,144,0.181,0.06337952686315615
Lung Opacity,8514,0.089,0.0011379565094437744,809,0.138,0.05066809853103374,348,0.069,-0.01880890585923095,1766,0.087,-0.0011379565094437882,1485,0.084,-0.004272739598926753,154,0.117,0.02910869378250662
Lung Lesion,1743,0.408,0.0022295852822570295,169,0.42,0.01443054465652499,58,0.397,-0.009136074400810212,349,0.384,-0.021733643810947556,347,0.403,-0.002229585282257085,41,0.439,0.03333659170516118
Edema,5259,0.149,-0.020396779701727624,548,0.181,0.011752833821422809,239,0.1,-0.06848569044330553,1101,0.159,-0.009957688132739645,861,0.179,0.009957688132739645,103,0.214,0.04468813252456219
Consolidation,6072,0.129,0.0027853048639691347,508,0.215,0.08807028406370357,228,0.123,-0.003689627526295064,1176,0.119,-0.007449026022535665,1067,0.124,-0.0027853048639691347,96,0.219,0.0922533549298453
Pneumonia,2972,0.359,-0.021518233928351227,251,0.402,0.02151823392835117,88,0.409,0.02821870477224836,626,0.297,-0.08374760367968315,627,0.265,-0.11611941325008024,66,0.424,0.0433702199237635
Atelectasis,7016,0.115,-0.012292427318368854,615,0.187,0.06010423165392212,263,0.122,-0.00521463446249569,1408,0.132,0.005214634462495676,1233,0.118,-0.009288287088783542,111,0.189,0.06230155092441214
Pneumothorax,1531,0.472,-0.0545388834265198,89,0.517,-0.009272148752112908,40,0.55,0.023873918663617433,226,0.535,0.009272148752113019,232,0.496,-0.0304364261639688,16,0.562,0.03637391866361739
Pleural Effusion,5883,0.134,-0.03406377911670133,493,0.223,0.05528466841613902,212,0.175,0.006689238051410168,1148,0.161,-0.00668923805141014,1050,0.148,-0.020220016216334652,86,0.221,0.053091168722757265
Pleural Other,1475,0.383,-0.02149460708782741,104,0.433,0.028146853146853168,40,0.4,-0.004545454545454519,352,0.409,0.004545454545454575,374,0.278,-0.1264705882352941,41,0.415,0.010088691796008853
Fracture,3545,0.256,-0.02705378613816245,270,0.3,0.016528724440116827,79,0.278,-0.004990262901655329,728,0.288,0.0049902629016552735,746,0.189,-0.09446323266444082,75,0.387,0.1031953911067835
Support Devices,7702,0.064,-0.0004277583218118136,649,0.063,-0.0012629925214814042,331,0.033,-0.031204478144261513,1480,0.065,0.0004277583218118136,1247,0.088,0.023774601556385597,116,0.069,0.0045284106983262545
No Finding,1888,0.231,0.06246933366044094,227,0.176,0.007748584015103838,56,0.161,-0.007748584015103838,584,0.147,-0.02120259575678682,389,0.203,0.03462196317549476,76,0.145,-0.0237260276241264
