diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.091,-0.015349032336225935,3441,0.106,0.0,1194,0.116,0.010050981440185514,2600,0.079,-0.027133659714304884,79,0.152,0.04553430523214108
Cardiomegaly,4359,0.104,0.0,2857,0.124,0.01940384929317583,938,0.126,0.021647245045052985,2294,0.088,-0.01653245057325603,68,0.103,-0.0012111520451263819
Lung Opacity,5407,0.093,-0.02219540552266913,3694,0.116,0.0,1353,0.138,0.022618528838239116,2535,0.103,-0.012634273393925213,87,0.149,0.033832434080739826
Lung Lesion,1104,0.405,-0.04254804875190438,780,0.449,0.0012785956182182479,429,0.41,-0.037182942843320244,371,0.447,0.0,23,0.478,0.03082151646548692
Edema,3378,0.137,-0.008259172449994828,2166,0.156,0.010429458072745618,776,0.146,0.0,1740,0.133,-0.012285223367697606,51,0.235,0.08967556094602788
Consolidation,3859,0.13,-0.01262376255897893,2539,0.132,-0.010902288964518198,939,0.151,0.008774564685107816,1755,0.142,0.0,55,0.145,0.0030044030044029946
Pneumonia,1864,0.338,0.0,1340,0.299,-0.039475369931458615,596,0.307,-0.030935852752253967,802,0.389,0.051044598803420604,28,0.536,0.19773145309625995
Atelectasis,4480,0.116,-0.024308698137474383,2999,0.14,0.0,1021,0.151,0.010452390431155811,2076,0.127,-0.013212496651099498,70,0.186,0.04533415900538276
Pneumothorax,892,0.418,0.0,628,0.414,-0.004148696124075257,359,0.426,0.008022409033563604,226,0.509,0.09068812254454545,29,0.276,-0.14229936601206122
Pleural Effusion,3771,0.147,-0.011079436933460363,2479,0.158,0.0,793,0.173,0.015036775496770599,1770,0.151,-0.006312459689641559,59,0.203,0.04566494144030195
Pleural Other,945,0.341,-0.07447665056360708,709,0.37,-0.04568283559207703,257,0.451,0.036144476399932346,460,0.415,0.0,15,0.533,0.11811594202898551
Fracture,2191,0.24,-0.03924900788278704,1475,0.279,0.0,612,0.327,0.04747535172260997,1126,0.241,-0.03864707830327843,39,0.385,0.10529335071707957
Support Devices,4613,0.072,0.0,3630,0.07,-0.002156141554679289,1428,0.078,0.006027297110042795,1747,0.129,0.05638813978712509,107,0.019,-0.05371248665393008
No Finding,1022,0.205,0.043525724548367783,1167,0.162,0.0,640,0.113,-0.04945372750642672,350,0.349,0.18661770106500186,41,0.146,-0.015612264091792588
