diseases,diseases_abbr,Distance,#40-60,Gap_40-60_mean,CI_40-60,#60-80,Gap_60-80_mean,CI_60-80,#20-40,Gap_20-40_mean,CI_20-40,#80-,Gap_80-_mean,CI_80-,#0-20,Gap_0-20_mean,CI_0-20
Consolidation,Consolidation,0.03702325143112902,2539.0,-0.010719521897150839,0.005918062167098123,3859.0,-0.012660958726969502,0.005001275253089261,939.0,0.011524651112524362,0.007770131834008576,1755.0,-0.00104045269858582,0.002039287289228207,55.0,0.02436229270415952,0.019612781350357877
Cardiomegaly,Cardiomegaly,0.0447800231623052,2857.0,0.0183385912477411,0.0032800048807834926,4359.0,-0.00196483273281782,0.0038510721563229265,938.0,0.024608083826847642,0.0067077902587135895,2294.0,-0.02017193933545756,0.004265445367453853,68.0,-0.0023453841274981603,0.0020792121009753787
Pleural Effusion,Effusion,0.04520942608398608,2479.0,0.0,0.0,3771.0,-0.01100892150655262,0.0040244115848374834,793.0,0.0107965675863889,0.00512897976021777,1770.0,-0.0093023202813235,0.006414240511271439,59.0,0.03420050457743346,0.010876151158316704
Lung Opacity,Air. Opacity,0.05893892336243561,3694.0,0.0,0.0,5407.0,-0.020879068611954883,0.0010687780375229555,1353.0,0.019618077856222722,0.004399648608049737,2535.0,-0.0176158576891574,0.00562119391580018,87.0,0.03805985475048072,0.0038657622800974552
Enlarged Cardiomediastinum,Enlarged Card.,0.06753456669912354,3441.0,0.0,0.0,5131.0,-0.01521709813748712,0.0005748299456377211,1194.0,0.01315163437063254,0.004537481711780712,2600.0,-0.028839603871861862,0.002833129288359786,79.0,0.03869496282726168,0.006199061494659624
Atelectasis,Atelectasis,0.08370535714285703,2999.0,0.0,0.0,4480.0,-0.022818394822083497,0.003112639593332108,1021.0,0.01132770668903996,0.0019336251478962142,2076.0,-0.0135831725539855,0.007978533653213236,70.0,0.06088696232077353,0.013729630215836248
Support Devices,Sup. Devices,0.10029262447239314,3630.0,-0.00086245662187168,0.0010351635379463537,4613.0,-0.0020023421651231997,0.0018164041420302738,1428.0,0.00566970996377072,0.0020035537765209868,1747.0,0.04925535257800018,0.005970188360764304,107.0,-0.05103727189439296,0.002542967786547806
Edema,Edema,0.11422582826233932,2166.0,0.008927568514340619,0.004409554951487711,3378.0,-0.01225790896827864,0.004030228230890763,776.0,0.0,0.0,1740.0,-0.016742505036141702,0.005681826212820308,51.0,0.09748332322619761,0.011497922111070908
Fracture,Fracture,0.12581305808142862,1475.0,0.0,0.0,2191.0,-0.03364791249255424,0.006170346527940235,612.0,0.0358805804807798,0.011984898719543521,1126.0,-0.023556492157630077,0.014159397875599493,39.0,0.09216514558887437,0.014935454409963599
Lung Lesion,Lung Lesion,0.1549812506334245,780.0,0.00069458843043746,0.0005707518335925267,1104.0,-0.043073527511591436,0.0011574430092568017,429.0,-0.045156227420378336,0.00850608546283305,371.0,0.005195936139332361,0.0062895855723872785,23.0,0.10982502321304617,0.07507011671992138
Pleural Other,Pleural Other,0.18835978835978825,709.0,-0.06654639971042006,0.02201366723178622,945.0,-0.08482626329352765,0.015821848865362333,257.0,0.023792928438504456,0.01517993586824738,460.0,0.00034511926915918,0.0006764337675519927,15.0,0.10353352506626061,0.018104658160308602
Pneumonia,Pneumonia,0.21193672099712357,1340.0,-0.039364550637371064,0.005258574201602288,1864.0,0.0,0.0,596.0,-0.041642423020422245,0.008956254642800624,802.0,0.05625796024959055,0.007712300704802156,28.0,0.17029429797670134,0.03453632428225378
Pneumothorax,Pneumothorax,0.2510527921879767,628.0,-0.0032632163596176002,0.0055977617847339095,892.0,-0.0005583521740759598,0.004992363836451054,359.0,0.00269370573466408,0.004362378554450924,226.0,0.1071899711720885,0.015359693688272683,29.0,-0.14386282101588818,0.019165868761700258
