diseases,diseases_abbr,Distance,#White,Gap_W_mean,CI_W,#Black,Gap_B_mean,CI_B,#Hisp,Gap_H_mean,CI_H,#Other,Gap_Ot_mean,CI_Ot,#Asian,Gap_As_mean,CI_As,#American,Gap_Am_mean,CI_Am
Lung Lesion,Lung Lesion,0.03562842271239881,1743.0,0.009786091421533919,0.007261780960556288,1743.0,0.02018712072895804,0.008698259796933876,58.0,-0.0011146544189709,0.006840649250779538,349.0,-0.015441301983440778,0.009840053510847097,347.0,-0.0022673921711323,0.006872102829712883,41.0,0.0037633943615169403,0.014819366658887787
Support Devices,Sup. Devices,0.0536141119351094,7702.0,-0.00514768530285078,0.0033859881461072673,7702.0,0.002507781289981811,0.0025465055067501016,331.0,-0.034703079946687136,0.005052941882271375,1480.0,-0.0026748281299157303,0.002319910524015584,1247.0,0.018911031988422262,0.003534225879657,116.0,0.00748360616644954,0.0021369914361946823
Lung Opacity,Air. Opacity,0.06539931517553944,8514.0,-0.0016236983333825401,0.001408806080107226,8514.0,0.05060137239285234,0.0037647846997395577,348.0,-0.014797942782687099,0.0023855617560425402,1766.0,0.0006652769098448601,0.0016364595817872677,1485.0,-0.00286714050705726,0.002681405400610791,154.0,0.02552150788159106,0.011531879446063018
Atelectasis,Atelectasis,0.08257219271166476,7016.0,-0.021111078977644658,0.0066696278788271265,7016.0,0.0614611137340201,0.0013481991205973002,263.0,-0.0044784825440718195,0.0022379814303205353,1408.0,0.00447848254407186,0.0022379814303205695,1233.0,-0.019320640068919297,0.006254092191922398,111.0,0.060160300725890035,0.005039991499502193
Cardiomegaly,Cardiomegaly,0.08603202846975078,6800.0,-0.00520283926415998,0.0019305086714262092,6800.0,0.023996785266503277,0.0024127366499481933,281.0,-0.02320545596920496,0.003334052524738407,1431.0,0.005087229383844241,0.0021177271140326434,1155.0,-0.010701566027592622,0.0047715149296329645,144.0,0.06282657250054582,0.011485934924780297
Edema,Edema,0.08876792460494773,5259.0,-0.017843283005448518,0.005133621923675628,5259.0,0.01657154704605852,0.008155785626554203,239.0,-0.06851839584249778,0.011082588294553107,1101.0,-0.008245308234807522,0.005391663827292731,861.0,0.00820663440840242,0.004317053008757505,103.0,0.02024952876244996,0.01573794580246298
Pleural Effusion,Effusion,0.0896505105368641,5883.0,-0.03226643414172172,0.004022408353174782,5883.0,0.04913840442948364,0.007593166044481155,212.0,0.00959996055486156,0.0017190785654626892,1148.0,-0.00959996055486156,0.0017190785654626892,1050.0,-0.02739554708215542,0.0043761547111349644,86.0,0.05738407639514238,0.0027927674699876033
Consolidation,Consolidation,0.0901681932615565,6072.0,0.00327553353249874,0.0003042282985404342,6072.0,0.08442743252931385,0.00452341768234298,228.0,-0.00475615636417962,0.0010357749544039167,1176.0,-0.00574076073224266,0.0014599560236805292,1067.0,-0.00359697913338004,0.0008886957138364535,96.0,0.0658578787235396,0.015488730060454717
Enlarged Cardiomediastinum,Enlarged Card.,0.09471536421138532,8075.0,0.00052987027100662,0.0006716922632999936,8075.0,0.023953134313465664,0.003710198943866743,338.0,-0.029434773325454,0.0037377401545328195,1701.0,-0.00292269724072836,0.0012995770101872537,1359.0,-0.0010663680849142799,0.0014674893298070085,174.0,0.06528059088593133,0.006475254815978077
Pneumothorax,Pneumothorax,0.12126061397779228,1531.0,-0.040673537897655924,0.009892956552977557,1531.0,-0.0042443845940209005,0.00286443488443299,40.0,0.08058707608013635,0.030241111070263952,226.0,0.005808315018189359,0.0023772097723157287,232.0,0.00041466228703287977,0.017787599144282656,16.0,-0.0069129239198637005,0.04192591653630906
Pneumonia,Pneumonia,0.15135566188197763,2972.0,-0.019609912241405077,0.007725631545126966,2972.0,0.02500650767784112,0.002432856407779775,88.0,0.03409741676875024,0.010361546656181402,626.0,-0.08042480222631217,0.004726036710896501,627.0,-0.11725824511322738,0.0008753188231974091,66.0,0.025006507677841155,0.01266697120382823
Pleural Other,Pleural Other,0.15812422871246395,1475.0,-0.012895171746401538,0.004443832614658644,1475.0,0.03620521938788782,0.005298535522294924,40.0,0.00735906554173398,0.021903015700612313,352.0,0.00451815645082486,0.006299854924944326,374.0,-0.12191900932457614,0.00882955752353932,41.0,0.006749309444173041,0.014370760240888862
Fracture,Fracture,0.1863413762287756,3545.0,-0.031705535274566314,0.009713396022012702,3545.0,0.02673984946136842,0.013353752529837176,79.0,-0.0005737932953122799,0.005406348653235572,728.0,0.0005737932953122198,0.00540634865323554,746.0,-0.093379304545185,0.008635307585455434,75.0,0.09296207168359061,0.01287267565917414
