diseases,diseases_abbr,Distance,#M,Gap_M_mean,CI_M,#F,Gap_F_mean,CI_F
Pneumonia,Pneumonia,0.0008446119499723601,2705.0,0.00042230597498618005,0.006907296856470888,1925.0,-0.00042230597498618005,0.006907296856470888
Support Devices,Sup. Devices,0.0013864271928788348,6975.0,-0.0006932135964394174,0.002045610302364312,4550.0,0.0006932135964394174,0.002045610302364312
Pleural Effusion,Effusion,0.0033525930812198963,5286.0,-0.0016762965406099482,0.00417304038679301,3586.0,0.0016762965406099482,0.00417304038679301
Consolidation,Consolidation,0.009181830472613322,5380.0,0.004590915236306661,0.0036325046606771293,3767.0,-0.004590915236306661,0.0036325046606771293
Lung Lesion,Lung Lesion,0.0158574820876036,1638.0,-0.0079287410438018,0.005289051963336696,1069.0,0.0079287410438018,0.005289051963336696
Fracture,Fracture,0.01984994043032664,3161.0,0.00992497021516332,0.008292874842476023,2282.0,-0.00992497021516332,0.008292874842476023
Atelectasis,Atelectasis,0.02181774146208284,6348.0,-0.01090887073104142,0.0031231658050610207,4298.0,0.01090887073104142,0.0031231658050610207
Lung Opacity,Air. Opacity,0.03520318390637236,7732.0,-0.01760159195318618,0.003235772567732572,5344.0,0.01760159195318618,0.003235772567732572
Pneumothorax,Pneumothorax,0.039016583576460116,1229.0,0.019508291788230058,0.008856076344036888,905.0,-0.019508291788230058,0.008856076344036888
Enlarged Cardiomediastinum,Enlarged Card.,0.03938880695615576,7378.0,-0.01969440347807788,0.0018825529020119166,5067.0,0.01969440347807788,0.0018825529020119166
Cardiomegaly,Cardiomegaly,0.04069256596996772,6285.0,-0.02034628298498386,0.0024964741912337383,4231.0,0.02034628298498386,0.0024964741912337383
Pleural Other,Pleural Other,0.047992553019264916,1392.0,-0.023996276509632458,0.006684306230151615,994.0,0.023996276509632458,0.006684306230151615
Edema,Edema,0.04939936205762237,4812.0,-0.024699681028811184,0.0037120357037219026,3299.0,0.024699681028811184,0.0037120357037219026
