diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,2417,0.3,0.08039424933430933,2496,0.219,0.0,1243,0.191,-0.02767839645605133,783,0.453,0.23423377787601923,87,0.172,-0.04673684792219274
Cardiomegaly,3189,0.306,0.08559750848085751,3080,0.22,0.0,1499,0.186,-0.03433046273273091,1089,0.412,0.19185032139577596,98,0.082,-0.138821892393321
Lung Opacity,2141,0.246,0.06893147056562945,2243,0.165,-0.012703375339311623,1084,0.153,-0.02407865850810406,848,0.367,0.18953009314545022,79,0.177,0.0
Lung Lesion,6444,0.11,0.011673128567451299,5157,0.099,0.0,2008,0.107,0.008564829300212379,3012,0.09,-0.008533444272164778,143,0.07,-0.028576813917128047
Edema,4170,0.216,0.015827338129496382,3771,0.152,-0.04752055157783083,1661,0.133,-0.06694762191450934,1643,0.264,0.063542300669507,115,0.2,0.0
Consolidation,3689,0.262,0.08528512698059912,3398,0.177,0.0,1498,0.162,-0.014358167177582676,1628,0.276,0.09983832085068103,111,0.171,-0.00540328439092419
Pneumonia,5684,0.155,0.019935219400465054,4597,0.125,-0.009845355300442143,1841,0.135,0.0,2581,0.161,0.026080994254381817,138,0.065,-0.06949200576246368
Atelectasis,3068,0.277,0.0796402487567929,2938,0.197,0.0,1416,0.17,-0.02721546614976944,1307,0.333,0.13541005310984525,96,0.156,-0.04116320626276379
Pneumothorax,6656,0.051,0.0,5309,0.047,-0.004104004719851631,2078,0.068,0.016471493947582738,3157,0.033,-0.018122788035135597,137,0.095,0.04350829941044357
Pleural Effusion,3777,0.244,0.08127378383638575,3458,0.163,0.0,1644,0.16,-0.003124388737143241,1613,0.29,0.1270425336076134,107,0.131,-0.03225893634157284
Pleural Other,6603,0.069,0.013318034590708516,5228,0.056,0.0,2180,0.051,-0.005126945241922462,2923,0.071,0.014773276661551094,151,0.013,-0.042799343322000236
Fracture,5357,0.141,0.018022763712055162,4462,0.109,-0.014367904312213325,1825,0.123,0.0,2257,0.195,0.07121831015835059,127,0.071,-0.05242152950059324
Support Devices,2935,0.196,0.020483541108699932,2307,0.169,-0.006810621018416341,1009,0.173,-0.0019888242977020854,1636,0.175,0.0,59,0.22,0.04491111019021177
No Finding,6526,0.053,-0.0029813055470426023,4770,0.062,0.0064737945492662485,1797,0.071,0.014673344462993877,3033,0.052,-0.0035766567754698317,125,0.056,0.0
