diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,4434,0.274,0.01715886729418531,367,0.226,-0.030927569073786243,124,0.339,0.0816240701984296,1092,0.24,-0.01715886729418528,893,0.281,0.023989420774595482,116,0.216,-0.041568365841614885
Cardiomegaly,5709,0.275,0.025013079183377973,460,0.248,-0.0023403749355951353,181,0.365,0.11447442208578368,1362,0.242,-0.008609927384040539,1097,0.253,0.00234037493559508,146,0.233,-0.017289749563349777
Lung Opacity,3995,0.234,0.02760205471963814,356,0.146,-0.05987245695928636,114,0.298,0.09230574134546427,1027,0.177,-0.028724682816205716,767,0.206,5.751974844697694e-05,136,0.206,-5.751974844697694e-05
Lung Lesion,10766,0.106,0.0198452728650714,996,0.079,-0.007190792630423493,404,0.057,-0.029577368637421782,2444,0.094,0.007190792630423493,1905,0.115,0.028977502597733226,249,0.072,-0.014218905080222694
Edema,7250,0.199,0.013532045961868994,617,0.173,-0.012220594735610463,223,0.242,0.05651209853647857,1692,0.164,-0.021928783906884575,1391,0.168,-0.018134976026777216,187,0.198,0.01222059473561049
Consolidation,6437,0.234,0.02614392508227134,657,0.192,-0.016345875960927125,234,0.248,0.03973654998451254,1617,0.177,-0.030637520389557832,1185,0.224,0.016345875960927125,194,0.17,-0.03802360509523017
Pneumonia,9537,0.144,0.014358975504838112,914,0.121,-0.00826728559181436,374,0.075,-0.05484517674429684,2167,0.138,0.00826728559181436,1625,0.178,0.048750051556813806,224,0.103,-0.02703291547615322
Atelectasis,5493,0.254,0.028773427596154755,550,0.227,0.0019045200609446311,199,0.296,0.07111420484851888,1385,0.204,-0.02175809890853353,1019,0.215,-0.010451622324638365,179,0.223,-0.0019045200609446589
Pneumothorax,10978,0.052,0.009655182509624265,1076,0.044,0.0017778191312961336,422,0.024,-0.01820579580201841,2567,0.04,-0.0017778191312961336,2020,0.059,0.017008412822635523,274,0.026,-0.016355033010998932
Pleural Effusion,6626,0.224,0.023274247242622587,672,0.188,-0.012739184692179717,250,0.26,0.05976081530782029,1645,0.164,-0.036105446090356014,1202,0.213,0.01273918469217969,204,0.167,-0.03357251802551306
Pleural Other,11034,0.063,0.0041608603481963075,1061,0.055,-0.004160860348196314,422,0.026,-0.032759919627870775,2441,0.05,-0.009256421915993698,1878,0.087,0.028500673218204264,249,0.088,0.02952714331584723
Fracture,8964,0.138,0.004945123512613808,895,0.113,-0.02042525932226387,383,0.065,-0.06800026989740572,2065,0.128,-0.004945123512613808,1506,0.17,0.03671229845407953,215,0.14,0.006260462387493171
Support Devices,4807,0.196,0.03200396462278993,516,0.172,0.008936425842942075,131,0.137,-0.026139614159424923,1313,0.155,-0.008936425842942075,1005,0.173,0.00959013404611228,174,0.086,-0.07733729776037254
No Finding,10621,0.054,-0.008525027991010237,938,0.076,0.013124060420350053,406,0.032,-0.03054919889881766,2209,0.066,0.003524351534140213,1863,0.059,-0.003524351534140213,214,0.107,0.04490773218170349
