diseases,#M,FPR_M,Gap_M,#F,FPR_F,Gap_F
Enlarged Cardiomediastinum,4069,0.237,-0.024254587732596783,2957,0.261,0.024254587732596783
Cardiomegaly,5162,0.257,-0.019033818389122603,3793,0.276,0.019033818389122603
Lung Opacity,3715,0.231,0.004463048150900956,2680,0.226,-0.004463048150900956
Lung Lesion,9809,0.083,0.0012988702477566005,6955,0.081,-0.0012988702477566005
Edema,6635,0.207,-0.006371534630765979,4725,0.214,0.006371534630765979
Consolidation,6067,0.238,0.029081644446504268,4257,0.209,-0.029081644446504268
Pneumonia,8742,0.124,-0.009595056088382903,6099,0.133,0.009595056088382903
Atelectasis,5099,0.242,0.008390023535078978,3726,0.233,-0.008390023535078978
Pneumothorax,10218,0.037,-0.0013119391285979151,7119,0.038,0.0013119391285979151
Pleural Effusion,6161,0.214,0.012971153571152444,4438,0.201,-0.012971153571152444
Pleural Other,10055,0.078,-0.002299231891736281,7030,0.08,0.002299231891736281
Fracture,8286,0.15,-0.010491945346748216,5742,0.161,0.010491945346748216
Support Devices,4472,0.206,0.029270852321822305,3474,0.176,-0.029270852321822305
No Finding,9579,0.057,-0.00703117430890865,6672,0.064,0.00703117430890865
