diseases,diseases_abbr,Distance,#40-60,Gap_40-60_mean,CI_40-60,#60-80,Gap_60-80_mean,CI_60-80,#20-40,Gap_20-40_mean,CI_20-40,#80-,Gap_80-_mean,CI_80-,#0-20,Gap_0-20_mean,CI_0-20
Lung Lesion,Lung Lesion,0.044483604045356916,5157.0,0.0,0.0,6444.0,0.012526933614125341,0.000819934015805587,2008.0,0.013499579344054779,0.002835796141932228,3012.0,-0.0037646968843647608,0.0031467836476018816,143.0,-0.030984024701302137,0.007876949498059923
Support Devices,Sup. Devices,0.04483714367304419,2307.0,-0.0084450110909393,0.00806981064275083,2935.0,0.017448421902047657,0.006815787292103034,1009.0,-0.01338589209987362,0.009674600748834196,1636.0,-0.00173427741443864,0.0020815664215259096,59.0,0.03145125157317057,0.009597201194342963
Pneumothorax,Pneumothorax,0.055094807275686636,5309.0,-0.00654550011229114,0.0019648498377997036,6656.0,0.0,0.0,2078.0,0.01110564198193526,0.003921952755065466,3157.0,-0.01730573161594496,0.0023952933377602063,137.0,0.037789075659741676,0.004844058166816639
Pleural Other,Pleural Other,0.0742383426263046,5228.0,0.0,0.0,6603.0,0.0163366249441925,0.002085057039595972,2180.0,-0.00705881527133356,0.0023380626663792666,2923.0,0.029851014079559417,0.009941563916856072,151.0,-0.044387328546745194,0.0041900101473618225
Pneumonia,Pneumonia,0.09021781244209348,4597.0,-0.009754655428516102,0.004219600801814989,5684.0,0.02254450488730954,0.005547367478100246,1841.0,0.0,0.0,2581.0,0.040174121631333784,0.011397365660652126,138.0,-0.0500436908107597,0.010128059225111511
Consolidation,Consolidation,0.12412094094337077,3398.0,-0.00038284311386132,0.00045950743744425313,3689.0,0.08840499008127467,0.005815219958229919,1498.0,-0.01863995029463442,0.004992570596440813,1628.0,0.10548099064873635,0.011337550426315596,111.0,-0.0061488209810752,0.007115209898785188
Fracture,Fracture,0.13006534351571136,4462.0,-0.01405947329964444,0.002524506866539203,5357.0,0.023101521246045958,0.005759232192912987,1825.0,0.0,0.0,2257.0,0.09321322400325319,0.0167197291929065,127.0,-0.03685211951245816,0.008200320359126516
Edema,Edema,0.13480677883623543,3771.0,-0.02747281888093342,0.009889460839131434,4170.0,0.03414868105515584,0.009155820803791742,1661.0,-0.05069235400361223,0.008429977708945758,1643.0,0.0841144248326232,0.01128746145672077,115.0,0.0,0.0
Atelectasis,Atelectasis,0.16025886253506752,2938.0,-0.00044105967778532005,0.0008644769684592273,3068.0,0.08223826789429756,0.0021555883837066285,1416.0,-0.023248476999226938,0.003069036231591514,1307.0,0.1293832668917728,0.010892289787572972,96.0,-0.03087559564329474,0.01668712325593709
Pleural Effusion,Effusion,0.17810778082287015,3458.0,0.0,0.0,3777.0,0.08544644742546163,0.004755883489350711,1644.0,-0.007769212475320761,0.003802972314330314,1613.0,0.1282745348755072,0.013480612747140807,107.0,-0.049833245947362964,0.011904376818174363
Lung Opacity,Air. Opacity,0.20850187983011895,2243.0,-0.0264315987290981,0.017619423630212294,2141.0,0.057020557056622,0.011706780331635785,1084.0,-0.03729039189126062,0.01504286795290293,848.0,0.17121148793885832,0.018697139359037305,79.0,0.0,0.0
Enlarged Cardiomediastinum,Enlarged Card.,0.2587484035759897,2496.0,0.0,0.0,2417.0,0.07639407163998596,0.0035914979291185897,1243.0,-0.02721954483569522,0.0041699693429341905,783.0,0.22253874398270948,0.005768989941019247,87.0,-0.03620965959328022,0.013757186364206028
Cardiomegaly,Cardiomegaly,0.3173047731489289,3080.0,0.0,0.0,3189.0,0.08137729940175849,0.0027890653123409004,1499.0,-0.039969156927128865,0.002890542200195685,1089.0,0.18672963400236123,0.003006220432927509,98.0,-0.13057513914656765,0.00715896248081054
