diseases,diseases_abbr,Distance,#White,Gap_W_mean,CI_W,#Black,Gap_B_mean,CI_B,#Hisp,Gap_H_mean,CI_H,#Other,Gap_Ot_mean,CI_Ot,#Asian,Gap_As_mean,CI_As,#American,Gap_Am_mean,CI_Am
Pneumothorax,Pneumothorax,0.039585170195851616,10978.0,0.01128657717739234,0.0022898968387727353,10978.0,0.00034759884898839994,0.0015166523737479211,422.0,-0.02018394680896892,0.002325244798055445,2567.0,-0.00034759884898839994,0.0015166523737479211,2020.0,0.016028337926613578,0.002040567298183647,274.0,-0.02355683226923804,0.003800670230266492
Lung Lesion,Lung Lesion,0.0505329903069046,10766.0,0.01328080126531822,0.0033805497576595896,10766.0,-0.0061356719841723405,0.001648869664842147,404.0,-0.024072766898483,0.0029663322570273156,2444.0,0.0035252302171040403,0.0019994131320952503,1905.0,0.0264602234084216,0.003579150888200965,249.0,-0.004930852707063881,0.0046351388985711
Pleural Other,Pleural Other,0.07251184834123214,11034.0,0.00634263598298474,0.0015877805092185961,11034.0,-0.007848407825228878,0.002998038573458181,422.0,-0.04030370574233294,0.007912186789476512,2441.0,-0.00847190656128096,0.0010191568747709013,1878.0,0.032208142598899196,0.001825980228173957,249.0,0.0221679819563289,0.005343765350902961
Pleural Effusion,Effusion,0.07814468085106374,6626.0,0.02734168391832436,0.003089748668897792,6626.0,-0.0138640460343871,0.0030389456928845288,250.0,0.04311928729894614,0.010843431293692446,1645.0,-0.035025393552117604,0.002630678038179189,1202.0,0.013864046034387078,0.003038945692884536,204.0,-0.02771208525007336,0.009165361696672798
Edema,Edema,0.08308762609085306,7250.0,0.016723393139514958,0.0037565800206278486,7250.0,-0.014373594509286162,0.0026262602243371613,223.0,0.06194535077056494,0.0031708062984234886,1692.0,-0.015561566508320598,0.0032436921828366207,1391.0,-0.02114227532028812,0.005963416671602566,187.0,0.01431100147438496,0.0032614725956767567
Pneumonia,Pneumonia,0.08464566022213071,9537.0,0.02263521327596448,0.004403723826460609,9537.0,-0.006368352015865561,0.003294191901296093,374.0,-0.0398896897333675,0.007330225784358943,2167.0,0.006368352015865561,0.003294191901296093,1625.0,0.044755970488763216,0.004198742923787372,224.0,-0.025651721818929003,0.0031230714989238894
Consolidation,Consolidation,0.08751431844215342,6437.0,0.032144757459791076,0.004155329198281576,6437.0,-0.02172862343438772,0.0037813064619372483,234.0,0.04448142222771266,0.007806036907886943,1617.0,-0.02752434977805926,0.002740265035094181,1185.0,0.02116215359198832,0.003441673228158975,194.0,-0.04303289621444076,0.008014936494987957
Atelectasis,Atelectasis,0.08848284745024751,5493.0,0.02422869403704794,0.0034633795598738846,5493.0,-0.0048127636860045,0.005085096595615125,199.0,0.058776089671692996,0.015023322232293725,1385.0,-0.029706757778554506,0.005875727993521607,1019.0,-0.01222859025394096,0.003519244500068319,179.0,0.00418469695391422,0.0045279193660120115
Fracture,Fracture,0.0922315958099715,8964.0,0.01202687738620466,0.003783469570885781,8964.0,-0.012703428069011502,0.004615586318457253,383.0,-0.062277942706466485,0.003696913986283574,2065.0,0.00233897862948826,0.0036974696792990164,1506.0,0.029953653103505017,0.0042125100256796,215.0,-0.004222201617147181,0.007087174606652728
Support Devices,Sup. Devices,0.1135594881984844,4807.0,0.032741636633825025,0.002169505824102428,4807.0,0.006912701763327661,0.004207451068719628,131.0,-0.023100908509469435,0.0032012110733460617,1313.0,-0.00665584650473694,0.0038532619141035257,1005.0,0.011966502526951441,0.0013969562719075707,174.0,-0.08081785156465937,0.0026934511091049255
Cardiomegaly,Cardiomegaly,0.1303015552364494,5709.0,0.0228273395860653,0.004097449015493053,5709.0,-0.014887024461548201,0.007303013072534789,181.0,0.1146445633357133,0.0018901707388831925,1362.0,-0.0156569919007361,0.005574480362724211,1097.0,-0.00266079482340472,0.007305055084772372,146.0,0.00227795469271022,0.014722123063264446
Enlarged Cardiomediastinum,Enlarged Card.,0.1326473859844271,4434.0,0.01667861614962608,0.0005682433972864614,4434.0,-0.0254759511707702,0.008529034407229892,124.0,0.1032486686762896,0.01734311387798947,1092.0,-0.017778153963436183,0.0010651380565327025,893.0,0.022856370153730536,0.0030020783462856764,116.0,-0.0293987173081375,0.008766882558944757
Lung Opacity,Air. Opacity,0.16635127143701944,3995.0,0.0247142737091507,0.004134392411733543,3995.0,-0.05773738637156807,0.004763931531985509,114.0,0.10861388506545136,0.011176953182912385,1027.0,-0.02723401120882722,0.0034215504257997065,767.0,-0.009000881969476144,0.0047682872054720295,136.0,0.009000881969476125,0.004768287205472021
