diseases,diseases_abbr,Distance,#M,Gap_M_mean,CI_M,#F,Gap_F_mean,CI_F
Pleural Other,Pleural Other,0.0018366410064701998,10055.0,0.0009183205032350999,0.004059482850495581,7030.0,-0.0009183205032350999,0.004059482850495581
Pneumothorax,Pneumothorax,0.00230374382911028,10218.0,0.00115187191455514,0.0020600580397065263,7119.0,-0.00115187191455514,0.0020600580397065263
Lung Lesion,Lung Lesion,0.00515429755050424,9809.0,0.00257714877525212,0.0016322292948903853,6955.0,-0.00257714877525212,0.0016322292948903853
Pneumonia,Pneumonia,0.007292013058837079,8742.0,-0.0036460065294185396,0.006531152784148972,6099.0,0.0036460065294185396,0.006531152784148972
Fracture,Fracture,0.009692974590974521,8286.0,-0.0048464872954872605,0.005257541802162949,5742.0,0.0048464872954872605,0.005257541802162949
Lung Opacity,Air. Opacity,0.01115204596131048,3715.0,0.00557602298065524,0.005137570301995693,2680.0,-0.00557602298065524,0.005137570301995693
Edema,Edema,0.01377055298381592,6635.0,-0.00688527649190796,0.002033082713676694,4725.0,0.00688527649190796,0.002033082713676694
Cardiomegaly,Cardiomegaly,0.026396511528966084,5162.0,-0.013198255764483042,0.005488649129406275,3793.0,0.013198255764483042,0.005488649129406275
Atelectasis,Atelectasis,0.02658673350852256,5099.0,0.01329336675426128,0.0044428189936359585,3726.0,-0.01329336675426128,0.0044428189936359585
Pleural Effusion,Effusion,0.0320681218898712,6161.0,0.0160340609449356,0.0031127595177500604,4438.0,-0.0160340609449356,0.0031127595177500604
Enlarged Cardiomediastinum,Enlarged Card.,0.03740149316412271,4069.0,-0.018700746582061355,0.0030414303649697974,2957.0,0.018700746582061355,0.0030414303649697974
Support Devices,Sup. Devices,0.05833624275605233,4472.0,0.029168121378026164,0.0036796886472914565,3474.0,-0.029168121378026164,0.0036796886472914565
Consolidation,Consolidation,0.06492765636129845,6067.0,0.032463828180649225,0.002565946458191911,4257.0,-0.032463828180649225,0.002565946458191911
