,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5928485335476095,0.01687453185594412,0.40715146645239053,-0.01687453185594412
1,Cardiomegaly,0.5976607074933434,0.018999591415936545,0.4023392925066565,-0.018999591415936545
2,Lung Opacity,0.5913123279290303,0.022700105479676935,0.40868767207096973,-0.022700105479676935
3,Lung Lesion,0.6050978943479867,0.012686305483312066,0.3949021056520133,-0.012686305483312066
4,Edema,0.5932684009369992,0.023823751221118683,0.4067315990630009,-0.023823751221118683
5,Consolidation,0.5881709850224117,-0.003726797871951959,0.4118290149775883,0.003726797871951959
6,Pneumonia,0.5842332613390929,0.013329812516503892,0.41576673866090713,-0.013329812516503892
7,Atelectasis,0.5962802930678189,0.015342418316809159,0.4037197069321811,-0.015342418316809159
8,Pneumothorax,0.5759137769447048,-0.006403265467590291,0.4240862230552952,0.006403265467590291
9,Pleural Effusion,0.5958070333633905,0.00913862059520576,0.4041929666366096,-0.00913862059520576
10,Pleural Other,0.5834031852472757,0.037487858183584244,0.4165968147527242,-0.037487858183584244
11,Fracture,0.5807459121807826,0.006545732512897473,0.41925408781921736,-0.006545732512897473
12,Support Devices,0.6052060737527115,-0.0019000354484226545,0.3947939262472885,0.0019000354484226545
13,No Finding,0.5801242236024845,-0.0023123804214233434,0.41987577639751555,0.0023123804214233434
