,diseases,%60-80,Gap_60-80,%40-60,Gap_40-60,%20-40,Gap_20-40,%80+,Gap_80+,%0-20,Gap_0-20
0,Enlarged Cardiomediastinum,0.41229409401366013,0.015349032336225976,0.2764965849738851,0.0,0.09594214543993572,-0.010050981440185458,0.20891924467657694,0.027133659714304925,0.006347930895942145,-0.04553430523214108
1,Cardiomegaly,0.41451122099657667,0.0,0.2716812476226702,-0.019403849293175846,0.0891974134651959,-0.021647245045052887,0.2181437809052872,0.01653245057325603,0.006466337010270064,0.0012111520451264512
2,Lung Opacity,0.413505659223004,0.022195405522669076,0.2825022942795962,0.0,0.10347200978892628,-0.022618528838239116,0.19386662587947384,0.0126342733939252,0.006653410828999694,-0.03383243408073988
3,Lung Lesion,0.4078315478389361,0.04254804875190443,0.28814185445142226,-0.0012785956182181923,0.15847801994828223,0.037182942843320244,0.1370520871813816,0.0,0.008496490579977835,-0.03082151646548692
4,Edema,0.41647145851313033,0.008259172449994856,0.26704475403772654,-0.010429458072745534,0.09567254345949945,0.0,0.21452348662310441,0.012285223367697662,0.006287757366539267,-0.08967556094602791
5,Consolidation,0.4218869574723953,0.012623762558978902,0.2775773477642943,0.01090228896451817,0.10265660872417186,-0.008774564685107844,0.1918661856346343,0.0,0.006012900404504209,-0.003004403004403078
6,Pneumonia,0.40259179265658745,0.0,0.2894168466522678,0.039475369931458615,0.1287257019438445,0.030935852752253967,0.1732181425485961,-0.051044598803420604,0.006047516198704104,-0.19773145309625995
7,Atelectasis,0.42081532970129626,0.024308698137474383,0.28170204771745255,0.0,0.09590456509487132,-0.010452390431155756,0.1950028179597971,0.01321249665109947,0.006575239526582754,-0.045334159005382735
8,Pneumothorax,0.41799437675726336,0.0,0.2942830365510778,0.004148696124075313,0.1682286785379569,-0.008022409033563549,0.10590440487347703,-0.09068812254454539,0.01358950328022493,0.14229936601206128
9,Pleural Effusion,0.4250450856627592,0.011079436933460363,0.27941839495040577,0.0,0.08938232642019837,-0.015036775496770627,0.19950405770964832,0.006312459689641559,0.006650135256988278,-0.045664941440301976
10,Pleural Other,0.39606035205364626,0.07447665056360708,0.29715004191114835,0.04568283559207709,0.1077116512992456,-0.036144476399932235,0.19279128248113997,0.0,0.006286672254819782,-0.11811594202898545
11,Fracture,0.40253536652581295,0.03924900788278707,0.27099026272276316,0.0,0.11243799375344479,-0.04747535172260986,0.20687121072937717,0.038647078303278515,0.007165166268601874,-0.10529335071707946
12,Support Devices,0.4002603036876356,0.0,0.3149674620390456,0.0021561415546792473,0.12390455531453362,-0.006027297110042906,0.15158351409978307,-0.05638813978712509,0.009284164859002169,0.053712486653930025
13,No Finding,0.3173913043478261,-0.043525724548367783,0.3624223602484472,0.0,0.19875776397515527,0.04945372750642674,0.10869565217391304,-0.18661770106500175,0.012732919254658385,0.015612264091792616
