,diseases,diseases_abbr,Distance,%White,Gap_W_mean,CI_W,%Black,Gap_B_mean,CI_B,%Hisp,Gap_H_mean,CI_H,%Other,Gap_Ot_mean,CI_Ot,%Asian,Gap_As_mean,CI_As,%American,Gap_Am_mean,CI_Am
3,Lung Lesion,Lung Lesion,0.03562842271239881,0.643886220908755,-0.0097860914215339,0.007261780960556311,0.643886220908755,-0.02018712072895802,0.008698259796933885,0.0214259327669006,0.00111465441897088,0.006840649250779493,0.1289250092353158,0.015441301983440797,0.00984005351084713,0.1281861839674916,0.0022673921711323605,0.006872102829712958,0.0151459179903952,-0.0037633943615169004,0.014819366658887802
12,Support Devices,Sup. Devices,0.05361411193510944,0.6682863340563991,0.005147685302850739,0.003385988146107229,0.6682863340563991,-0.0025077812899818074,0.0025465055067500756,0.028720173535791697,0.03470307994668716,0.005052941882271361,0.1284164859002169,0.0026748281299157446,0.0023199105240155646,0.1081995661605206,-0.018911031988422283,0.003534225879657018,0.0100650759219088,-0.00748360616644954,0.0021369914361946394
2,Lung Opacity,Air. Opacity,0.06539931517553949,0.6511165494034873,0.0016236983333825401,0.001408806080107226,0.6511165494034873,-0.050601372392852374,0.003764784699739575,0.0266136433159987,0.014797942782687118,0.0023855617560425727,0.1350565922300397,-0.00066527690984488,0.0016364595817872632,0.11356684001223609,0.0028671405070572597,0.002681405400610869,0.0117773019271948,-0.025521507881591077,0.01153187944606301
7,Atelectasis,Atelectasis,0.08257219271166479,0.6590268645500658,0.021111078977644582,0.006669627878827105,0.6590268645500658,-0.061461113734020204,0.0013481991205973,0.0247041142213037,0.00447848254407178,0.002237981430320534,0.1322562464775502,-0.00447848254407194,0.0022379814303205747,0.1158181476610933,0.0193206400689192,0.006254092191922397,0.0104264512492955,-0.060160300725890035,0.005039991499502193
1,Cardiomegaly,Cardiomegaly,0.0860320284697508,0.6466337010270065,0.00520283926415998,0.0019305086714262092,0.6466337010270065,-0.0239967852665032,0.0024127366499481755,0.026721186763027698,0.023205455969204983,0.003334052524738448,0.1360783567896538,-0.0050872293838442,0.002117727114032648,0.10983263598326358,0.010701566027592601,0.0047715149296329645,0.013693419551160099,-0.06282657250054582,0.011485934924780297
4,Edema,Edema,0.08876792460494773,0.6483787449143139,0.01784328300544858,0.005133621923675657,0.6483787449143139,-0.016571547046058482,0.008155785626554233,0.0294661570706448,0.06851839584249778,0.011082588294553134,0.1357415855011712,0.008245308234807541,0.0053916638272927305,0.1061521390703982,-0.0082066344084024,0.004317053008757509,0.0126988040932067,-0.02024952876244996,0.01573794580246298
9,Pleural Effusion,Effusion,0.08965051053686413,0.66309738503156,0.03226643414172174,0.004022408353174809,0.66309738503156,-0.0491384044294836,0.007593166044481146,0.0238954012623985,-0.00959996055486156,0.0017190785654626613,0.1293958521190261,0.009599960554861581,0.001719078565462676,0.1183498647430117,0.02739554708215542,0.0043761547111349644,0.0096934174932371,-0.05738407639514238,0.0027927674699876033
5,Consolidation,Consolidation,0.09016819326155646,0.6638242046572647,-0.0032755335324988,0.0003042282985404345,0.6638242046572647,-0.08442743252931387,0.004523417682342995,0.0249262053132174,0.00475615636417958,0.0010357749544038692,0.12856674319449,0.0057407607322426,0.0014599560236805739,0.1166502678473816,0.0035969791333800407,0.0008886957138364417,0.0104952443424073,-0.0658578787235396,0.015488730060454696
0,Enlarged Cardiomediastinum,Enlarged Card.,0.09471536421138535,0.648854961832061,-0.0005298702710066,0.0006716922632999656,0.648854961832061,-0.023953134313465664,0.003710198943866743,0.027159501807955,0.029434773325454015,0.0037377401545328304,0.1366813981518682,0.0029226972407283397,0.0012995770101872236,0.10920048212133379,0.00106636808491432,0.0014674893298070055,0.013981518682201603,-0.06528059088593134,0.006475254815978012
8,Pneumothorax,Pneumothorax,0.12126061397779223,0.7174320524835989,0.040673537897655945,0.00989295655297757,0.7174320524835989,0.0042443845940209005,0.00286443488443299,0.0187441424554826,-0.08058707608013628,0.03024111107026399,0.105904404873477,-0.00580831501818936,0.002377209772315701,0.1087160262417994,-0.00041466228703286037,0.017787599144282656,0.007497656982193001,0.006912923919863661,0.04192591653630905
6,Pneumonia,Pneumonia,0.15135566188197763,0.6419006479481641,0.019609912241405077,0.007725631545126982,0.6419006479481641,-0.02500650767784112,0.002432856407779775,0.0190064794816414,-0.03409741676875026,0.010361546656181407,0.1352051835853131,0.08042480222631208,0.004726036710896515,0.1354211663066954,0.11725824511322736,0.0008753188231974325,0.014254859611231099,-0.025006507677841162,0.012666971203828217
10,Pleural Other,Pleural Other,0.15812422871246393,0.6181894383906119,0.012895171746401559,0.004443832614658648,0.6181894383906119,-0.03620521938788782,0.005298535522294924,0.016764459346186,-0.007359065541734,0.021903015700612337,0.1475272422464375,-0.0045181564508249,0.006299854924944348,0.1567476948868399,0.12191900932457611,0.008829557523539396,0.0171835708298407,-0.00674930944417306,0.014370760240888866
11,Fracture,Fracture,0.18634137622877558,0.6512952415947088,0.031705535274566383,0.00971339602201274,0.6512952415947088,-0.02673984946136842,0.013353752529837176,0.014514054749219098,0.0005737932953122799,0.005406348653235564,0.1337497703472349,-0.0005737932953122198,0.00540634865323554,0.1370567701635127,0.09337930454518498,0.008635307585455406,0.0137791659011574,-0.09296207168359061,0.01287267565917414
