,diseases,diseases_abbr,Distance,%M,Gap_M_mean,CI_M,%F,Gap_F_mean,CI_F
6,Pneumonia,Pneumonia,0.0008446119499724003,0.5842332613390929,-0.00042230597498620016,0.006907296856470901,0.4157667386609071,0.00042230597498620016,0.006907296856470901
12,Support Devices,Sup. Devices,0.0013864271928787993,0.6052060737527115,0.0006932135964393996,0.002045610302364345,0.3947939262472885,-0.0006932135964393996,0.002045610302364345
9,Pleural Effusion,Effusion,0.003352593081219879,0.5958070333633905,0.0016762965406099395,0.004173040386793031,0.40419296663660964,-0.0016762965406099395,0.004173040386793031
5,Consolidation,Consolidation,0.00918183047261328,0.5881709850224117,-0.00459091523630664,0.003632504660677103,0.4118290149775882,0.00459091523630664,0.003632504660677103
3,Lung Lesion,Lung Lesion,0.0158574820876036,0.6050978943479867,0.0079287410438018,0.005289051963336696,0.3949021056520133,-0.0079287410438018,0.005289051963336696
11,Fracture,Fracture,0.0198499404303268,0.5807459121807826,-0.0099249702151634,0.008292874842476016,0.41925408781921736,0.0099249702151634,0.008292874842476016
7,Atelectasis,Atelectasis,0.021817741462082922,0.5962802930678189,0.010908870731041461,0.0031231658050609786,0.4037197069321811,-0.010908870731041461,0.0031231658050609786
2,Lung Opacity,Air. Opacity,0.03520318390637236,0.5913123279290303,0.01760159195318618,0.003235772567732572,0.4086876720709697,-0.01760159195318618,0.003235772567732572
8,Pneumothorax,Pneumothorax,0.039016583576460116,0.5759137769447048,-0.019508291788230058,0.008856076344036908,0.4240862230552952,0.019508291788230058,0.008856076344036908
0,Enlarged Cardiomediastinum,Enlarged Card.,0.039388806956155833,0.5928485335476095,0.019694403478077917,0.0018825529020119597,0.4071514664523905,-0.019694403478077917,0.0018825529020119597
1,Cardiomegaly,Cardiomegaly,0.04069256596996772,0.5976607074933434,0.02034628298498386,0.0024964741912337383,0.4023392925066565,-0.02034628298498386,0.0024964741912337383
10,Pleural Other,Pleural Other,0.047992553019264916,0.5834031852472757,0.023996276509632458,0.006684306230151615,0.41659681475272425,-0.023996276509632458,0.006684306230151615
4,Edema,Edema,0.04939936205762228,0.5932684009369992,0.02469968102881114,0.0037120357037218592,0.4067315990630009,-0.02469968102881114,0.0037120357037218592
