diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,434,0.804,0.0036866359447005337,310,0.797,-0.0036866359447004227,138,0.717,-0.08306952514526145,,,,11,0.909,0.10863007959782156
Cardiomegaly,1078,0.384,0.003016239354449335,664,0.378,-0.003016239354449335,301,0.415,0.03425410447935767,,,,14,0.286,-0.0953140018329347
Lung Opacity,4317,0.106,-0.0706958975453641,3071,0.144,-0.03286103160865367,1140,0.21,0.032861031608653696,,,,84,0.226,0.04940238499211233
Lung Lesion,378,0.632,-0.16663943355119826,238,0.739,-0.05941876750700281,120,0.858,0.0594187675070027,,,,1,1.0,0.20108543417366942
Edema,2212,0.301,-0.07521375797458318,1408,0.363,-0.013372612569355513,426,0.39,0.013372612569355569,,,,38,0.395,0.018438093172271297
Consolidation,533,0.644,0.007874713362518215,466,0.644,0.008124332894038688,180,0.628,-0.007874713362518326,,,,21,0.238,-0.397557253045058
Pneumonia,228,0.667,0.029279279279279202,172,0.727,0.08935679865912416,74,0.608,-0.029279279279279313,,,,13,0.538,-0.09892584892584899
Atelectasis,1395,0.35,-0.031182795698924737,1085,0.344,-0.037224782386072686,279,0.412,0.031182795698924737,,,,27,0.667,0.28566308243727595
Pneumothorax,806,0.442,0.004194825463719909,557,0.442,0.004159186116098168,357,0.378,-0.05934125894522979,,,,30,0.433,-0.0041591861160981125
Pleural Effusion,3698,0.141,-0.04997127605206969,2626,0.151,-0.04021857219658617,816,0.232,0.0402185721965862,,,,64,0.297,0.10547592513776266
Pleural Other,113,0.858,-0.01310415248468344,78,0.885,0.01310415248468344,50,0.54,-0.3315112321307011,,,,3,1.0,0.12848876786929886
Fracture,325,0.84,0.17582328615527987,291,0.591,-0.07311142174850016,118,0.737,0.07311142174850027,,,,6,0.167,-0.49751004717805347
Support Devices,4561,0.131,0.02841344575468173,3697,0.106,0.003385004613862111,1497,0.1,-0.003385004613862111,,,,118,0.059,-0.04359536884514955
No Finding,624,0.508,0.2195037374213446,886,0.267,-0.021014726432333652,595,0.166,-0.12212252846962715,,,,42,0.31,0.021014726432333652
