diseases,diseases_abbr,Distance,#M,Gap_M_mean,CI_M,#F,Gap_F_mean,CI_F
Edema,Edema,0.00026026360184311923,2956.0,0.00013013180092155962,0.010396185622336643,2270.0,-0.00013013180092155962,0.010396185622336643
Pneumonia,Pneumonia,0.004108146067415721,356.0,-0.0020540730337078603,0.008252663053223194,256.0,0.0020540730337078603,0.008252663053223194
Fracture,Fracture,0.013210832882964003,671.0,0.006605416441482001,0.016215961137808394,273.0,-0.006605416441482001,0.016215961137808394
Support Devices,Sup. Devices,0.014883442272837883,6774.0,0.007441721136418941,0.0054492150117344835,4658.0,-0.007441721136418941,0.0054492150117344835
Atelectasis,Atelectasis,0.026999593744883844,1987.0,-0.013499796872441922,0.014910242299431324,1328.0,0.013499796872441922,0.014910242299431324
Lung Opacity,Air. Opacity,0.04244459768489036,6284.0,0.02122229884244518,0.005921972425074158,4320.0,-0.02122229884244518,0.005921972425074158
Lung Lesion,Lung Lesion,0.04718184418230076,497.0,-0.02359092209115038,0.01848028278658346,401.0,0.02359092209115038,0.01848028278658346
Pleural Effusion,Effusion,0.054460768503586596,5138.0,0.027230384251793298,0.010839136215354327,3675.0,-0.027230384251793298,0.010839136215354327
Pneumothorax,Pneumothorax,0.06429367352497599,1249.0,-0.032146836762487994,0.018359974874570126,679.0,0.032146836762487994,0.018359974874570126
Pleural Other,Pleural Other,0.09195402298850557,225.0,-0.04597701149425278,0.026794277270740602,87.0,0.04597701149425278,0.026794277270740602
Enlarged Cardiomediastinum,Enlarged Card.,0.12487804878048772,656.0,-0.06243902439024386,0.017597670071234386,420.0,0.06243902439024386,0.017597670071234386
Cardiomegaly,Cardiomegaly,0.12815813991169428,1638.0,-0.06407906995584714,0.023114241211006623,1055.0,0.06407906995584714,0.023114241211006623
Consolidation,Consolidation,0.13920188869533318,839.0,0.06960094434766659,0.013698857408697359,624.0,-0.06960094434766659,0.013698857408697359
