diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,8180,0.038,0.0027810925677336923,6526,0.03,-0.004807024027386676,2794,0.038,0.0025865611495532737,,,,216,0.032,-0.0025865611495532806
Cardiomegaly,7536,0.105,0.044586284776352375,6172,0.073,0.012238637088623522,2631,0.048,-0.012238637088623529,,,,213,0.019,-0.04172991390191682
Lung Opacity,4297,0.622,0.1349630429472105,3765,0.498,0.011108944176673241,1792,0.357,-0.12949056255829167,,,,143,0.476,-0.011108944176673297
Lung Lesion,8236,0.046,0.0016672976496344971,6598,0.036,-0.007762834165074978,2812,0.042,-0.001667297649634504,,,,226,0.053,0.009111413059211274
Edema,6402,0.216,0.029962796524496432,5428,0.182,-0.004412745201249263,2506,0.115,-0.07074022101316949,,,,189,0.19,0.004412745201249235
Consolidation,8081,0.162,0.0028633457514253835,6370,0.156,-0.0028633457514253557,2752,0.156,-0.002863688017133076,,,,206,0.291,0.13251181999822026
Pneumonia,8386,0.039,-0.0014120106719922587,6664,0.034,-0.006580438644182805,2858,0.048,0.007291555219842857,,,,214,0.042,0.0014120106719922587
Atelectasis,7219,0.333,0.039005056101953206,5751,0.334,0.0403715740493249,2653,0.245,-0.048999402125322916,,,,200,0.255,-0.03900505610195315
Pneumothorax,7808,0.046,-0.018529423079014284,6279,0.059,-0.005134730191716265,2575,0.07,0.005134730191716258,,,,197,0.122,0.05744757825243284
Pleural Effusion,4916,0.283,0.09148210253432784,4210,0.211,0.019692377191320692,2116,0.172,-0.019921423777656766,,,,163,0.172,-0.019692377191320692
Pleural Other,8501,0.022,0.003436924834391817,6758,0.015,-0.0034369248343918187,2882,0.023,0.0038756616413690922,,,,224,0.013,-0.0052852633115405955
Fracture,8289,0.025,-0.017464468662302068,6545,0.033,-0.008856025449528522,2814,0.051,0.008856025449528522,,,,221,0.072,0.0300815076056516
Support Devices,4053,0.232,-0.005058256847959186,3139,0.242,0.005058256847959186,1435,0.217,-0.019316890922086744,,,,109,0.257,0.020142240235410946
No Finding,7990,0.061,-0.07632291329412733,5950,0.124,-0.013826936179877375,2337,0.197,0.0597370311271995,,,,185,0.151,0.013826936179877347
