diseases,#M,FPR_M,Gap_M,#F,FPR_F,Gap_F
Enlarged Cardiomediastinum,12503,0.039,0.010763613397534445,8695,0.028,-0.010763613397534445
Cardiomegaly,11521,0.096,-0.001656323774279489,8060,0.097,0.001656323774279489
Lung Opacity,6875,0.554,-0.010592397383638263,4795,0.564,0.010592397383638263
Lung Lesion,12662,0.039,-0.004428246827246955,8714,0.044,0.004428246827246955
Edema,10203,0.195,-0.011921814771533062,6845,0.207,0.011921814771533062
Consolidation,12320,0.15,-0.03805285810644424,8491,0.188,0.03805285810644424
Pneumonia,12803,0.042,0.0023225698535828815,8859,0.04,-0.0023225698535828815
Atelectasis,11172,0.325,0.030979674047067085,7787,0.294,-0.030979674047067085
Pneumothorax,11910,0.057,0.015492437950345946,8436,0.041,-0.015492437950345946
Pleural Effusion,8021,0.24,-0.010674759088275615,5440,0.251,0.010674759088275615
Pleural Other,12934,0.024,0.008870141235086088,9028,0.015,-0.008870141235086088
Fracture,12488,0.041,0.01100978223872117,8842,0.03,-0.01100978223872117
Support Devices,6385,0.241,0.04635159003926673,4457,0.195,-0.04635159003926673
No Finding,11842,0.086,-0.005165446986790473,8149,0.091,0.005165446986790473
