diseases,diseases_abbr,Distance,#M,Gap_M_mean,CI_M,#F,Gap_F_mean,CI_F
Pneumonia,Pneumonia,0.00304813774871468,12803.0,-0.00152406887435734,0.0028958713164628745,8859.0,0.00152406887435734,0.0028958713164628745
Lung Lesion,Lung Lesion,0.00534240530083792,12662.0,0.00267120265041896,0.005071986187782823,8714.0,-0.00267120265041896,0.005071986187782823
Pleural Effusion,Effusion,0.00928493770030136,8021.0,0.00464246885015068,0.010130691829891344,5440.0,-0.00464246885015068,0.010130691829891344
Cardiomegaly,Cardiomegaly,0.0108739311512928,11521.0,0.0054369655756464,0.007726079282909578,8060.0,-0.0054369655756464,0.007726079282909578
Pleural Other,Pleural Other,0.012241981871906199,12934.0,0.0061209909359530995,0.0021217892677059314,9028.0,-0.0061209909359530995,0.0021217892677059314
Lung Opacity,Air. Opacity,0.012630550763105519,6875.0,-0.006315275381552759,0.01313819993042904,4795.0,0.006315275381552759,0.01313819993042904
Pneumothorax,Pneumothorax,0.01842008520518388,11910.0,0.00921004260259194,0.0046820239376951876,8436.0,-0.00921004260259194,0.0046820239376951876
Fracture,Fracture,0.02700353751046372,12488.0,0.01350176875523186,0.0035018724328498623,8842.0,-0.01350176875523186,0.0035018724328498623
Enlarged Cardiomediastinum,Enlarged Card.,0.03921670690926056,12503.0,0.01960835345463028,0.006481448020063773,8695.0,-0.01960835345463028,0.006481448020063773
Consolidation,Consolidation,0.052753610775045166,12320.0,-0.026376805387522583,0.011823854035421022,8491.0,0.026376805387522583,0.011823854035421022
Edema,Edema,0.053807357107976087,10203.0,-0.026903678553988043,0.008634532870912807,6845.0,0.026903678553988043,0.008634532870912807
Atelectasis,Atelectasis,0.06718649528846964,11172.0,0.03359324764423482,0.009265904079832762,7787.0,-0.03359324764423482,0.009265904079832762
Support Devices,Sup. Devices,0.07696578231492111,6385.0,0.03848289115746056,0.009147098546338063,4457.0,-0.03848289115746056,0.009147098546338063
