,diseases,%60-80,Gap_60-80,%40-60,Gap_40-60,%20-40,Gap_20-40,%80+,Gap_80+,%0-20,Gap_0-20
0,Enlarged Cardiomediastinum,0.4033457249070632,-0.0036866359447004504,0.28810408921933084,0.0036866359447004504,0.12825278810408922,0.08306952514526145,0,,0.010223048327137546,-0.10863007959782153
1,Cardiomegaly,0.40029706646862234,-0.0030162393544493904,0.24656516895655403,0.0030162393544492794,0.1117712588191608,-0.03425410447935762,0,,0.0051986632008912,0.0953140018329347
2,Lung Opacity,0.40711052433044137,0.0706958975453641,0.289607695209355,0.032861031608653724,0.10750660128253489,-0.03286103160865361,0,,0.007921539041870993,-0.04940238499211225
3,Lung Lesion,0.4209354120267261,0.16663943355119826,0.2650334075723831,0.05941876750700281,0.133630289532294,-0.05941876750700281,0,,0.0011135857461024498,-0.20108543417366948
4,Edema,0.42326827401454264,0.07521375797458318,0.26942212016838885,0.013372612569355513,0.08151549942594719,-0.013372612569355513,0,,0.007271335629544585,-0.018438093172271297
5,Consolidation,0.3643198906356801,-0.00787471336251827,0.31852358168147643,-0.0081243328940388,0.12303485987696514,0.007874713362518215,0,,0.014354066985645933,0.39755725304505785
6,Pneumonia,0.37254901960784315,-0.029279279279279258,0.28104575163398693,-0.08935679865912421,0.12091503267973856,0.029279279279279313,0,,0.021241830065359478,0.09892584892584899
7,Atelectasis,0.42081447963800905,0.03118279569892468,0.3273001508295626,0.03722478238607263,0.08416289592760182,-0.031182795698924792,0,,0.008144796380090498,-0.28566308243727606
8,Pneumothorax,0.41804979253112035,-0.004194825463719853,0.2889004149377593,-0.0041591861160981125,0.18516597510373445,0.05934125894522979,0,,0.015560165975103735,0.0041591861160981125
9,Pleural Effusion,0.4196073981618064,0.049971276052069746,0.2979689095654147,0.0402185721965862,0.09259049131964144,-0.04021857219658609,0,,0.007261999319187563,-0.1054759251377626
10,Pleural Other,0.36217948717948717,0.01310415248468344,0.25,-0.013104152484683468,0.16025641025641027,0.33151123213070116,0,,0.009615384615384616,-0.12848876786929886
11,Fracture,0.3442796610169492,-0.1758232861552799,0.3082627118644068,0.07311142174850016,0.125,-0.07311142174850022,0,,0.006355932203389831,0.49751004717805347
12,Support Devices,0.3989678096571029,-0.028413445754681743,0.32339048285514344,-0.0033850046138621526,0.1309482155353394,0.0033850046138621526,0,,0.010321903428971308,0.043595368845149585
13,No Finding,0.2733245729303548,-0.2195037374213447,0.38808585194918965,0.021014726432333597,0.2606219886114761,0.12212252846962712,0,,0.018396846254927726,-0.021014726432333708
