,diseases,diseases_abbr,Distance,%M,Gap_M_mean,CI_M,%F,Gap_F_mean,CI_F
4,Edema,Edema,0.00026026360184319973,0.5656333716035209,-0.00013013180092159987,0.010396185622336598,0.4343666283964791,0.00013013180092159987,0.010396185622336598
6,Pneumonia,Pneumonia,0.00410814606741568,0.5816993464052288,0.00205407303370784,0.008252663053223228,0.4183006535947712,-0.00205407303370784,0.008252663053223228
11,Fracture,Fracture,0.013210832882963961,0.7108050847457628,-0.0066054164414819806,0.016215961137808398,0.2891949152542373,0.0066054164414819806,0.016215961137808398
12,Support Devices,Sup. Devices,0.014883442272837883,0.5925472358292512,-0.007441721136418941,0.0054492150117344835,0.4074527641707487,0.007441721136418941,0.0054492150117344835
7,Atelectasis,Atelectasis,0.026999593744883837,0.5993966817496229,0.013499796872441919,0.014910242299431357,0.4006033182503771,-0.013499796872441919,0.014910242299431357
2,Lung Opacity,Air. Opacity,0.04244459768489032,0.5926065635609205,-0.02122229884244516,0.005921972425074146,0.4073934364390796,0.02122229884244516,0.005921972425074146
3,Lung Lesion,Lung Lesion,0.04718184418230072,0.5534521158129176,0.02359092209115036,0.018480282786583428,0.44654788418708236,-0.02359092209115036,0.018480282786583428
9,Pleural Effusion,Effusion,0.054460768503586686,0.5830023828435266,-0.027230384251793343,0.010839136215354317,0.41699761715647343,0.027230384251793343,0.010839136215354317
8,Pneumothorax,Pneumothorax,0.064293673524976,0.6478215767634855,0.032146836762488,0.0183599748745701,0.3521784232365145,-0.032146836762488,0.0183599748745701
10,Pleural Other,Pleural Other,0.09195402298850561,0.7211538461538461,0.045977011494252804,0.026794277270740588,0.2788461538461538,-0.045977011494252804,0.026794277270740588
0,Enlarged Cardiomediastinum,Enlarged Card.,0.12487804878048774,0.6096654275092936,0.06243902439024387,0.01759767007123435,0.3903345724907063,-0.06243902439024387,0.01759767007123435
1,Cardiomegaly,Cardiomegaly,0.12815813991169425,0.6082435945042703,0.06407906995584713,0.023114241211006633,0.3917564054957296,-0.06407906995584713,0.023114241211006633
5,Consolidation,Consolidation,0.13920188869533318,0.5734791524265208,-0.06960094434766659,0.013698857408697317,0.4265208475734791,0.06960094434766659,0.013698857408697317
