diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,326,0.831,-0.007842091224326553,230,0.839,0.0,71,0.831,-0.008144519289650987,132,0.894,0.054808959156785186,2.0,1.0,0.16086956521739126
Cardiomegaly,2113,0.334,-0.06560835540345589,1077,0.399,0.0,280,0.407,0.007885661228279606,955,0.288,-0.11129908073133143,16.0,0.438,0.038242804085422466
Lung Opacity,2196,0.279,0.0,1293,0.292,0.012426094269690935,383,0.287,0.008062368322180824,1024,0.252,-0.027190772996357027,8.0,0.25,-0.029143897996357027
Lung Lesion,338,0.639,-0.03761622992392222,152,0.638,-0.03851158962494994,42,0.714,0.03761622992392222,102,0.725,0.048820711716639265,2.0,,
Edema,1303,0.311,-0.039679533419631374,699,0.351,0.0,127,0.52,0.16918432406249645,655,0.308,-0.04210376874269678,3.0,0.5,0.14949928469241774
Consolidation,481,0.665,0.031169744405038502,272,0.603,-0.031169744405038613,80,0.463,-0.1716109208756268,177,0.768,0.13425066104527716,8.0,,
Pneumonia,673,0.707,0.040614165428429994,441,0.633,-0.0340136054421768,128,0.562,-0.10416666666666663,307,0.697,0.030401737242128135,4.0,0.667,0.0
Atelectasis,2081,0.277,-0.011491245194617972,1280,0.288,0.0,293,0.249,-0.039134492320819114,865,0.316,0.02732568641618499,7.0,0.375,0.08671875000000001
Pneumothorax,447,0.591,0.0,305,0.489,-0.10207943668170322,102,0.451,-0.13962363468877487,98,0.724,0.13388576907272975,29.0,1.0,0.4093959731543624
Pleural Effusion,2602,0.256,0.0,1249,0.235,-0.021369286051439146,370,0.262,0.006205205974614103,1174,0.192,-0.06430448600015451,46.0,0.714,0.45832875809816626
Pleural Other,115,0.8,0.0046511627906977715,44,0.818,0.02283298097251596,6,0.5,-0.2953488372093023,43,0.791,-0.0046511627906976605,,,
Fracture,165,0.721,-0.028928823114869662,133,0.699,-0.05089282402623896,35,0.829,0.07843048424443777,86,0.779,0.028928823114869662,,,
Support Devices,3007,0.101,0.004556396458512996,1937,0.097,0.0,696,0.078,-0.018954835953215954,945,0.129,0.032559486250761424,,0.069,-0.02757552560838837
No Finding,2436,0.304,0.1400377485570183,2516,0.164,0.0,1137,0.114,-0.049813471705447504,681,0.419,0.25435275908196353,,0.022,-0.14241031312642566
