diseases,diseases_abbr,Distance,#Medicare,Gap_C_mean,CI_C,#Other,Gap_O_mean,CI_O,#Medicaid,Gap_A_mean,CI_A
Atelectasis,Atelectasis,0.0005048064516249354,2277.0,0.031078904991948403,0.006272939454766366,1926.0,-0.03662166839736931,0.006777745906391301,324.0,0.0,0.0
Pleural Effusion,Effusion,0.0005628192360094186,2683.0,0.00240182425948154,0.0047075755485838176,2338.0,-0.0094943875764706,0.004144756312574399,381.0,0.015057184195620679,0.013246539181602379
Pneumothorax,Pneumothorax,0.0008541110686289231,332.0,0.15196201472556886,0.022498559701842055,576.0,-0.020138888888888862,0.02164444863321313,48.0,-0.00868055555555554,0.014596290540094894
Support Devices,Sup. Devices,0.0010083928201858046,3046.0,-0.0021663003035580003,0.0030676452029084725,3016.0,0.008970364557607,0.004076038023094277,552.0,-0.0024969786938440998,0.0037876244446045895
Cardiomegaly,Cardiomegaly,0.0011447371491049461,2353.0,-0.037424273829841745,0.00826069856068504,1809.0,0.0036305925569286197,0.007115961411580094,279.0,0.024126678435778058,0.01441091350813477
Lung Lesion,Lung Lesion,0.0014208436094027485,243.0,0.05711131185385924,0.028488141693622612,350.0,-0.0709686411149825,0.027067298084219864,41.0,0.0,0.0
Pneumonia,Pneumonia,0.0050043622080303204,779.0,0.00392111098144474,0.00768537752363169,663.0,-0.02789056698291764,0.01268973973166201,110.0,0.016587699848290283,0.01352949394436129
Enlarged Cardiomediastinum,Enlarged Card.,0.007209124330982369,336.0,0.01265492498369207,0.009021453802972501,365.0,-0.01890410958904106,0.01623057813395487,60.0,-0.0030593607305936,0.004954003818460678
Fracture,Fracture,0.00854354070425197,175.0,0.01689285714285714,0.015338068652865,212.0,-0.09118261455525603,0.02388160935711697,32.0,0.009642857142857139,0.01820807513165519
Edema,Edema,0.012188321456274272,1591.0,-0.042157441590973024,0.015054188226153403,1011.0,0.00146217692340772,0.002865866769879131,184.0,0.04002494301810512,0.022973591192652326
Lung Opacity,Air. Opacity,0.012297131029826422,2477.0,0.0,0.0,2029.0,0.019879132474158963,0.012297131029826422,398.0,-0.027331043590986738,0.010347776223884405
Pleural Other,Pleural Other,0.025057523568436404,105.0,0.06528735632183905,0.025057523568436404,87.0,0.0,0.0,16.0,-0.16221264367816085,0.03744819978930064
Consolidation,Consolidation,0.02944390290575306,495.0,0.0,0.0,423.0,-0.05290350311626903,0.02944390290575306,92.0,0.04124286341677645,0.025097181141294056
