diseases,diseases_abbr,Distance,#White,Gap_W_mean,CI_W,#Black,Gap_B_mean,CI_B,#Hisp,Gap_H_mean,CI_H,#Other,Gap_Ot_mean,CI_Ot,#Asian,Gap_As_mean,CI_As,#American,Gap_Am_mean,CI_Am
Cardiomegaly,Cardiomegaly,0.10900194847369554,2972.0,-0.00948783684072688,0.008284994496493213,2972.0,-0.0322265977140231,0.008913561058670123,311.0,0.006015056184420921,0.008189488188644293,222.0,-0.011658244125535275,0.011285984472278332,160.0,0.03657373785644665,0.019176245179164983,31.0,0.07677535075967244,0.036287253361474384
Lung Opacity,Air. Opacity,0.13485628485628479,3445.0,-0.0339482653755798,0.010585036297816907,3445.0,0.0117094799487995,0.012632824662417838,252.0,0.04147344080084324,0.014422977639959646,259.0,-0.09338284405544155,0.012657353023785393,132.0,0.01369566302306548,0.009094839117387012,44.0,-0.0060013066739041405,0.00968708043616776
Support Devices,Sup. Devices,0.13546511627906965,4622.0,0.00538154656829982,0.003857451045257797,4622.0,0.0170578335580431,0.0029689787066083085,380.0,-0.007114069364652381,0.004783828262957394,329.0,-0.00819709608037786,0.003079964626491983,258.0,0.062298415335469905,0.008012207543215992,,-0.07316670094359976,0.0040963578102480285
Pleural Effusion,Effusion,0.14518044769301042,3943.0,-0.01147688297963224,0.005098098898132465,3943.0,0.0061205218299489605,0.005934455599518738,303.0,-0.00674091356732204,0.005851944747102278,221.0,0.0643699984288549,0.012292301194331438,199.0,-0.0794941185360601,0.018541832990332005,1.0,0.0656863291569503,0.033227128372730924
Edema,Edema,0.22316968130921608,1965.0,-0.04308329438645685,0.00888297717937705,1965.0,0.0430832943864568,0.00888297717937707,161.0,-0.058646962933862526,0.00937160361773017,172.0,-0.0850372561593428,0.023097325842843842,69.0,0.13555593561686205,0.015224471234906417,9.0,0.13813242514987328,0.03399029704693784
Atelectasis,Atelectasis,0.2709717951261448,3260.0,-0.00404528080564376,0.006584842661952317,3260.0,0.1005341168707236,0.009927878725953727,263.0,-0.00419597244762284,0.008175804246846063,220.0,0.09430385472140582,0.012693470579823934,140.0,-0.00881302839547724,0.013239186563001888,1.0,-0.1704376782554212,0.02282301098149072
Lung Lesion,Lung Lesion,0.2796354494028912,451.0,0.014249037227214361,0.016933715690862928,451.0,0.08315896711275397,0.02093495872039767,38.0,0.0080522814797526,0.01147402433894658,43.0,-0.1964764822901372,0.06498915253410623,28.0,-0.05660937265558572,0.023385034708857604,27.0,,
Pleural Other,Pleural Other,0.2833333333333333,133.0,-0.04671129042117484,0.06044060915236179,133.0,-0.0278959594107219,0.05307341225923189,12.0,-0.10147319518307965,0.06610560186886769,10.0,0.16186013815025363,0.05815228200751405,12.0,0.18186013815025365,0.06502664786887198,112.0,,
Pneumonia,Pneumonia,0.2909090909090908,1096.0,0.00624262832486164,0.010396525436585523,1096.0,-0.08016866082510776,0.015228443087352307,74.0,0.0031305746653627195,0.02527654026260795,77.0,-0.11712214558735752,0.03489331487736426,47.0,0.03579302434908897,0.025084861146809672,51.0,0.17378694532173328,0.04473792323986061
Fracture,Fracture,0.3222222222222222,327.0,-0.11013176426020459,0.016543015827006072,327.0,0.10109981761357904,0.02180879999403441,18.0,-0.1302133136995522,0.038540910435286534,26.0,-0.12337570686194536,0.0492609598422113,14.0,0.10629462280838424,0.025886884930918876,55.0,0.19200890852267,0.030701262190994703
Consolidation,Consolidation,0.32596899224806186,700.0,-0.039670527670527644,0.02639813323683594,700.0,-0.12611571039478014,0.010715429302273765,50.0,0.021186615186615118,0.008112376742222939,42.0,0.00937709137709134,0.018195202729118055,37.0,-0.007353925353925381,0.017019137364644405,7.0,0.19985328185328174,0.024783112656759698
Enlarged Cardiomediastinum,Enlarged Card.,0.4597402597402597,543.0,-0.032262891344383024,0.013490391057411627,543.0,0.07184622467771634,0.01699556274532999,54.0,-0.14875562717413543,0.030163228131098896,32.0,0.03642955801104966,0.018891250057943523,22.0,0.08188410346559516,0.02705594498426582,14.0,-0.37785615627466457,0.012353245840802966
Pneumothorax,Pneumothorax,0.6631578947368421,721.0,-0.015578111209179079,0.0053487042995523405,721.0,0.0213150926743159,0.0040474221812056375,38.0,0.1213661912946532,0.03805139995191199,49.0,-0.10097537691157657,0.035751460151507305,44.0,0.01729920564872018,0.006709095642968886,66.0,-0.5417917034421889,0.014824751524900934
