diseases,diseases_abbr,Distance,#M,Gap_M_mean,CI_M,#F,Gap_F_mean,CI_F
Pleural Effusion,Effusion,0.00893960015791172,3107.0,-0.00446980007895586,0.007851377149687398,2295.0,0.00446980007895586,0.007851377149687398
Pneumonia,Pneumonia,0.01033749672491196,959.0,-0.00516874836245598,0.013718634136930285,593.0,0.00516874836245598,0.013718634136930285
Cardiomegaly,Cardiomegaly,0.01707358251458592,2551.0,0.00853679125729296,0.005093501262128577,1890.0,-0.00853679125729296,0.005093501262128577
Fracture,Fracture,0.03238493723849376,239.0,-0.01619246861924688,0.013455052320825818,180.0,0.01619246861924688,0.013455052320825818
Edema,Edema,0.04294667887104296,1545.0,0.02147333943552148,0.012065501057360843,1241.0,-0.02147333943552148,0.012065501057360843
Pneumothorax,Pneumothorax,0.04745800546905517,594.0,-0.023729002734527584,0.013418610965845762,362.0,0.023729002734527584,0.013418610965845762
Support Devices,Sup. Devices,0.048080477111044836,3945.0,-0.024040238555522418,0.002366468613852658,2669.0,0.024040238555522418,0.002366468613852658
Lung Opacity,Air. Opacity,0.0654446045035284,2817.0,-0.0327223022517642,0.013633318299261142,2087.0,0.0327223022517642,0.013633318299261142
Atelectasis,Atelectasis,0.08175058556320525,2702.0,-0.040875292781602623,0.016035465706841216,1825.0,0.040875292781602623,0.016035465706841216
Enlarged Cardiomediastinum,Enlarged Card.,0.08505081854911989,422.0,-0.042525409274559944,0.027912396584294126,339.0,0.042525409274559944,0.027912396584294126
Pleural Other,Pleural Other,0.08834688346883456,126.0,-0.04417344173441728,0.02664684415388549,82.0,0.04417344173441728,0.02664684415388549
Consolidation,Consolidation,0.1782099524359499,621.0,-0.08910497621797495,0.012426665086365939,389.0,0.08910497621797495,0.012426665086365939
Lung Lesion,Lung Lesion,0.2178021560810878,297.0,-0.1089010780405439,0.02358266117320384,337.0,0.1089010780405439,0.02358266117320384
