diseases,#60-80,FPR_60-80,Gap_60-80,#40-60,FPR_40-60,Gap_40-60,#20-40,FPR_20-40,Gap_20-40,#80-,FPR_80-,Gap_80-,#0-20,FPR_0-20,Gap_0-20
Enlarged Cardiomediastinum,8863,0.07,0.024390586764278827,6298,0.055,0.009353997365804397,2234,0.043,-0.002481764679982977,3355,0.046,0.0,80,0.013,-0.033401639344262296
Cardiomegaly,7076,0.32,0.12608753207957132,5451,0.194,0.0,2025,0.114,-0.08014567493562173,2532,0.391,0.19687439410656424,66,0.045,-0.14827137639465654
Lung Opacity,6993,0.339,0.07510900175656621,5235,0.264,0.0,1922,0.188,-0.07545586368863222,2463,0.419,0.1556058898052204,74,0.054,-0.20974728309971863
Lung Lesion,8851,0.034,0.016579834814403293,6376,0.018,0.0,2263,0.012,-0.005506592053386236,3385,0.026,0.00841291845899227,82,0.0,-0.017879548306148057
Edema,7886,0.127,0.046943955657012745,5829,0.08,0.0,2178,0.053,-0.026856786647176396,2832,0.171,0.09114040405802663,80,0.013,-0.06761665808886602
Consolidation,8708,0.083,0.0,6256,0.07,-0.012190263355447026,2225,0.086,0.003160105908037558,3310,0.084,0.0016074394903044381,82,0.012,-0.07048746876995642
Pneumonia,8516,0.124,0.03155654085125319,6087,0.092,0.0,2177,0.076,-0.016535537115741517,3180,0.138,0.04540793711311765,79,0.051,-0.04169500055108106
Atelectasis,7108,0.294,0.06484566942778319,5248,0.23,0.0,2012,0.167,-0.0631102864520196,2622,0.34,0.11058704140388087,74,0.054,-0.17555722643375082
Pneumothorax,8742,0.03,-0.002650663862624584,6223,0.033,0.0,2203,0.036,0.0032392682644129325,3389,0.017,-0.015211657114710765,78,0.051,0.018661128897349367
Pleural Effusion,6587,0.162,0.05757228507487741,5279,0.105,0.0,1935,0.065,-0.03944897950193174,2313,0.197,0.09258130433361858,75,0.0,-0.10456525857169918
Pleural Other,9074,0.017,0.012076673138353127,6484,0.004,-0.0003121411852214798,2299,0.005,0.0,3444,0.018,0.012927273838698742,82,0.0,-0.004784688995215311
Fracture,9024,0.021,0.0036779516632564242,6395,0.017,0.0,2270,0.011,-0.006471878842570427,3401,0.037,0.019709329845726743,82,0.0,-0.01704456606724003
Support Devices,6182,0.164,0.03138193903724451,4591,0.136,0.0033875671982315503,1609,0.13,-0.0030718240581230905,2542,0.133,0.0,53,0.075,-0.05749447025815359
No Finding,6753,0.145,-0.07441628173380052,4012,0.219,0.0,1168,0.228,0.008647004192900737,2806,0.115,-0.10433862347384078,36,0.472,0.2531295003877257
