diseases,#White,FPR_White,Gap_White,#Black,FPR_Black,Gap_Black,#Hisp,FPR_Hisp,Gap_Hisp,#Other,FPR_Other,Gap_Other,#Asian,FPR_Asian,Gap_Asian,#American,FPR_American,Gap_American
Enlarged Cardiomediastinum,13965,0.058,-0.010728079423675464,3589,0.041,-0.0276207269961153,1338,0.077,0.008679985902998039,1030,0.078,0.009369320803661249,738,0.06,-0.008679985902998046,170,0.271,0.2022876531851575
Cardiomegaly,11536,0.281,0.03696370781322239,2940,0.222,-0.021360544217687072,1081,0.217,-0.02641821946169773,840,0.248,0.003809523809523818,600,0.24,-0.003809523809523818,153,0.399,0.15488328664799256
Lung Opacity,11063,0.334,0.035816640192159466,2913,0.238,-0.06019009885402796,1140,0.245,-0.05335232986925911,803,0.319,0.020715311213522547,628,0.296,-0.0019108280254777066,140,0.3,0.0019108280254777066
Lung Lesion,14057,0.027,0.0033680922860070996,3611,0.019,-0.004477659434147501,1354,0.02,-0.003368092286007096,1019,0.041,0.017907871202395675,732,0.031,0.008111756936293152,184,0.005,-0.0178742254823336
Edema,12543,0.119,0.021592732237059584,3293,0.09,-0.007455208017005763,1231,0.089,-0.008493276361274421,890,0.104,0.007455208017005777,691,0.081,-0.015997205843382198,157,0.191,0.09404362854230458
Consolidation,13808,0.082,-0.00410570415210218,3513,0.068,-0.01776445682673991,1342,0.049,-0.03661714916853362,1020,0.115,0.028908405315555094,723,0.09,0.004105704152102166,175,0.097,0.011345380105471065
Pneumonia,13412,0.113,0.010673544321323267,3434,0.116,0.01435339117480039,1318,0.073,-0.029000006916057516,985,0.142,0.04029434000243921,713,0.091,-0.010673544321323267,177,0.085,-0.017091876981127865
Atelectasis,11248,0.29,0.04300329582674112,3092,0.19,-0.056746735916720165,1129,0.237,-0.00953670104860141,842,0.217,-0.029575244396192135,620,0.256,0.009536701048601381,133,0.526,0.27940087761905974
Pneumothorax,13787,0.032,-0.0032774202037953726,3582,0.016,-0.019061048093977646,1354,0.021,-0.014294477674178008,1013,0.043,0.008461394656133554,716,0.047,0.012512087603129864,183,0.038,0.0032774202037953726
Pleural Effusion,10565,0.153,0.017614774427578278,3015,0.082,-0.05323008629797836,1089,0.118,-0.017614774427578292,841,0.115,-0.019814918774517576,561,0.16,0.025274006429117007,118,0.22,0.08518518199333344
Pleural Other,14375,0.015,0.007343973257182935,3644,0.004,-0.0031522039012192036,1380,0.003,-0.004644432539918515,1052,0.011,0.0038638608419076827,748,0.011,0.0031522039012192044,184,0.0,-0.007542983264556196
Fracture,14181,0.026,0.010081351160610607,3652,0.007,-0.008608443500851558,1374,0.016,0.00028381469429504536,1036,0.015,-0.0002838146942950419,746,0.02,0.004379408467587637,183,0.0,-0.015727830138310486
Support Devices,9886,0.165,0.037675824988839784,2772,0.091,-0.03690163073366956,1012,0.122,-0.006269219666475881,733,0.124,-0.003663381942896893,502,0.131,0.003663381942896893,72,0.347,0.21941150057946174
No Finding,10279,0.152,-0.018591927785077456,2287,0.222,0.051961962361511765,850,0.213,0.04277808417534443,732,0.138,-0.0321849502187411,498,0.189,0.018591927785077456,129,0.147,-0.02287627058981745
