diseases,#medicare,FPR_medicare,Gap_medicare,#other,FPR_other,Gap_other,#medicaid,FPR_medicaid,Gap_medicaid
Enlarged Cardiomediastinum,9526,0.036,-0.0008450600331772959,9552,0.037,0.0,1752,0.049,0.011979130813886782
Cardiomegaly,7509,0.286,0.09645151685433487,8108,0.189,0.0,1533,0.124,-0.06513253401326066
Lung Opacity,7385,0.378,0.05432539868746522,7888,0.288,-0.03503737616589825,1414,0.323,0.0
Lung Lesion,9619,0.037,0.0,9567,0.037,-0.00011354526558785688,1771,0.041,0.004417487528359576
Edema,8271,0.15,0.05136205025130759,8906,0.099,0.0,1628,0.085,-0.013541239624778809
Consolidation,9367,0.072,0.0,9494,0.071,-0.0011731884672195741,1720,0.094,0.02164991645584076
Pneumonia,9083,0.095,0.0,9254,0.084,-0.011371119370502433,1702,0.095,0.00027957342864790014
Atelectasis,7585,0.269,0.023300520930476576,7991,0.246,0.0,1488,0.211,-0.0346298524011556
Pneumothorax,9530,0.015,-0.009084233349168773,9341,0.024,0.0,1764,0.04,0.016055021373356824
Pleural Effusion,7179,0.142,0.02957233463663382,7579,0.109,-0.003787267938211325,1431,0.113,0.0
Pleural Other,9757,0.017,0.0018331878911445679,9830,0.015,-0.0009411668747323666,1796,0.016,0.0
Fracture,9687,0.028,0.00034431643010498364,9705,0.023,-0.004138084735656935,1780,0.028,0.0
Support Devices,6816,0.16,0.011823361314581199,6901,0.148,0.0,1260,0.132,-0.016348447314973896
No Finding,7287,0.16,-0.030400526192017746,6356,0.191,0.0,1132,0.223,0.03281226719918523
