diseases,#M,FPR_M,Gap_M,#F,FPR_F,Gap_F
Enlarged Cardiomediastinum,11491,0.045,0.018055033763440375,9339,0.027,-0.018055033763440375
Cardiomegaly,9362,0.238,0.0277665769466377,7788,0.21,-0.0277665769466377
Lung Opacity,9096,0.366,0.07858393792955065,7591,0.288,-0.07858393792955065
Lung Lesion,11616,0.039,0.004011942079454801,9341,0.035,-0.004011942079454801
Edema,10368,0.13,0.020489680138338323,8437,0.109,-0.020489680138338323
Consolidation,11292,0.083,0.022204835348351007,9289,0.061,-0.022204835348351007
Pneumonia,10954,0.097,0.0156455740416043,9085,0.081,-0.0156455740416043
Atelectasis,9211,0.278,0.053484694738847705,7853,0.224,-0.053484694738847705
Pneumothorax,11319,0.025,0.008042139976665613,9316,0.017,-0.008042139976665613
Pleural Effusion,8806,0.136,0.025742425197453025,7383,0.11,-0.025742425197453025
Pleural Other,11787,0.016,0.0010357175986020865,9596,0.015,-0.0010357175986020865
Fracture,11674,0.027,0.003044021097757414,9498,0.024,-0.003044021097757414
Support Devices,7968,0.181,0.06196685371819709,7009,0.119,-0.06196685371819709
No Finding,8446,0.159,-0.04370787814602162,6329,0.203,0.04370787814602162
