diseases,diseases_abbr,Distance,#40-60,Gap_40-60_mean,CI_40-60,#60-80,Gap_60-80_mean,CI_60-80,#20-40,Gap_20-40_mean,CI_20-40,#80-,Gap_80-_mean,CI_80-,#0-20,Gap_0-20_mean,CI_0-20
Pleural Other,Pleural Other,0.020092915214866343,6484.0,-0.00021185081945611998,0.00028779514164466315,9074.0,0.01081552746998574,0.0014595565522627703,2299.0,-0.0007879401472463399,0.0012300854122993447,3444.0,0.01365034261872918,0.0029916221177991604,82.0,-0.006442572596137161,0.0013049608230360674
Lung Lesion,Lung Lesion,0.03340286752771484,6376.0,-0.00016687356641758,0.0003270721901784568,8851.0,0.01861944409441844,0.0022031815320135897,2263.0,-0.0035054953645769203,0.0024096585859894274,3385.0,0.0091975543380765,0.003698035902513451,82.0,-0.0147834234332964,0.0028387138308153454
Enlarged Cardiomediastinum,Enlarged Card.,0.03699142502538636,6298.0,0.00733161493147942,0.0019230628336185536,8863.0,0.014451652214725542,0.005443347338289312,2234.0,-0.00092383726903148,0.0011139587884207527,3355.0,-0.01125065209531062,0.0055817035331394895,80.0,-0.02253977281066082,0.011697980383636137
Pneumothorax,Pneumothorax,0.03968268379599146,6223.0,0.00075779207861788,0.0014852724740910446,8742.0,-0.0038755683532498398,0.0022405801592833194,2203.0,0.00759661039927374,0.0030439137235298563,3389.0,-0.014100110199678722,0.0029329141721160597,78.0,0.025582573596312736,0.025141506914105285
Fracture,Fracture,0.04078355720340496,6395.0,0.0,0.0,9024.0,0.0031613516765646604,0.001357200677603671,2270.0,-0.010049977095266402,0.0027143878800985053,3401.0,0.01854705383758946,0.0026572009713653052,82.0,-0.0222365033658155,0.005532067748971304
Pneumonia,Pneumonia,0.06669453069023157,6087.0,-0.00078918459854688,0.001198657548542633,8516.0,0.018405858962320838,0.009297314304737006,2177.0,-0.0038814920598194795,0.006283328578668121,3180.0,0.03130411042239156,0.012646013336002331,79.0,-0.03539042026784,0.010115053985004036
Consolidation,Consolidation,0.07652397917237588,6256.0,-0.010772849612373899,0.00433836093524597,8708.0,0.0,0.0,2225.0,0.00870072721454628,0.0074387385615387325,3310.0,0.00844084059246136,0.006181461476749727,82.0,-0.06782325195782961,0.01178041582807372
Support Devices,Sup. Devices,0.08547029415893971,4591.0,0.005230172740734959,0.003051994177726371,6182.0,0.03418546420777966,0.0038998431355392986,1609.0,-0.00565236164200286,0.0021956301343971055,2542.0,0.0,0.0,53.0,-0.05128482995116005,0.006240188449374362
Edema,Edema,0.16018361581920898,5829.0,0.0,0.0,7886.0,0.05205045983146257,0.0036716320241275227,2178.0,-0.025866724135567936,0.0023843047692412764,2832.0,0.08743443071027093,0.0036289021087077765,80.0,-0.07274918510893805,0.007845219020844946
Pleural Effusion,Effusion,0.18296584522265444,5279.0,0.0,0.0,6587.0,0.055092218270886784,0.002470193271207272,1935.0,-0.03762602834202894,0.002112234139480849,2313.0,0.07722612179018626,0.008611675017838202,75.0,-0.10573972343246818,0.004033843172852513
Atelectasis,Atelectasis,0.2553610819057043,5248.0,0.0,0.0,7108.0,0.05926545321657488,0.004060751687554957,2012.0,-0.05585647699170824,0.007278311557589889,2622.0,0.09459353081803126,0.008749227427736471,74.0,-0.160767551087673,0.01037004588376535
Cardiomegaly,Cardiomegaly,0.31558236392359607,5451.0,0.0,0.0,7076.0,0.11823421657090105,0.00615211467684179,2025.0,-0.08388185654008433,0.003242533475176805,2532.0,0.1777611134441178,0.015223643323892465,66.0,-0.1378212504794783,0.007433865854130424
Lung Opacity,Air. Opacity,0.3818020212660894,5235.0,0.0,0.0,6993.0,0.08071865561836904,0.0053388431591834705,1922.0,-0.07296603844093474,0.00871114162091031,2463.0,0.16882698319076483,0.020913338632794088,74.0,-0.21297503807532459,0.012645720454309476
