diseases,diseases_abbr,Distance,#Medicare,Gap_C_mean,CI_C,#Other,Gap_O_mean,CI_O,#Medicaid,Gap_A_mean,CI_A
Fracture,Fracture,0.000720316725841973,9687.0,0.00069297088766012,0.0011382535474894373,9705.0,-0.00265878928295996,0.0018585702733314104,1780.0,0.00063923270269548,0.001160366954601987
Enlarged Cardiomediastinum,Enlarged Card.,0.0007885449311521312,9526.0,-0.00197962132026212,0.0007885449311521312,9552.0,0.0,0.0,1752.0,0.0105240815951905,0.0043189651939772545
Lung Lesion,Lung Lesion,0.0009171845272790193,9619.0,-0.00155049868908952,0.0014342099613253707,9567.0,0.00023448417637677996,0.0005170254340463514,1771.0,0.00245153262844504,0.0021844856474262167
Pleural Other,Pleural Other,0.0012254801053044758,9757.0,0.00163402758296078,0.0016621675430352435,9830.0,-0.00105645594812634,0.00043668743773076765,1796.0,0.0009824595122501002,0.0012125598304570228
Pneumothorax,Pneumothorax,0.0015378174685832585,9530.0,-0.010600476995380638,0.0015378174685832585,9341.0,0.0,0.0,1764.0,0.019268465334961682,0.0019287109353834618
Consolidation,Consolidation,0.0018749861027649885,9367.0,-0.00083700832757806,0.0016405363220529975,9494.0,-0.00401088277023424,0.003515522424817986,1720.0,0.02339411230621542,0.0022473594835235636
Pleural Effusion,Effusion,0.002508921026851832,7179.0,0.03268910048905156,0.005026898203241668,7579.0,-0.00462779708062722,0.0025179771763898366,1431.0,0.0,0.0
Support Devices,Sup. Devices,0.0025420232910696103,6816.0,0.010942063407834279,0.0025420232910696103,6901.0,0.0,0.0,1260.0,-0.016771160379333058,0.0017467423704785217
Edema,Edema,0.003511697879910039,8271.0,0.04803850520283812,0.003511697879910039,8906.0,0.0,0.0,1628.0,-0.011814606391296239,0.005744252631781147
Cardiomegaly,Cardiomegaly,0.004018929989680557,7509.0,0.10070996205638579,0.004018929989680557,8108.0,0.0,0.0,1533.0,-0.06726026753633507,0.006473313751384911
Lung Opacity,Air. Opacity,0.004635770614921591,7385.0,0.05096616770681802,0.007313776973677596,7888.0,-0.0345757866137236,0.002678006358756005,1414.0,0.0,0.0
Pneumonia,Pneumonia,0.0059080868457622344,9083.0,0.00990446613801178,0.009483444454706754,9254.0,-0.00505568059228016,0.0035753576089445193,1702.0,-0.00149704542146324,0.0030730326055329964
Atelectasis,Atelectasis,0.008858063924830725,7585.0,0.019473479846765618,0.008858063924830725,7991.0,0.0,0.0,1488.0,-0.0320101713890492,0.004751090630221666
