diseases,diseases_abbr,Distance,#White,Gap_W_mean,CI_W,#Black,Gap_B_mean,CI_B,#Hisp,Gap_H_mean,CI_H,#Other,Gap_Ot_mean,CI_Ot,#Asian,Gap_As_mean,CI_As,#American,Gap_Am_mean,CI_Am
Pleural Other,Pleural Other,0.015191304347825979,14375.0,0.0080800690847671,0.0014253251043703037,14375.0,-0.0034232192271690604,0.000821090403685657,1380.0,-0.0034155830891458598,0.0011355251652477335,1052.0,0.0028284241847836397,0.0009536016172540977,748.0,0.00436865313498798,0.00216263532186389,184.0,-0.007111235263058879,0.00238272471853124
Pneumothorax,Pneumothorax,0.028108107265065137,13787.0,-0.00474439141093594,0.0012497511559464048,13787.0,-0.01848994841510852,0.002448922666046445,1354.0,-0.015901509750424522,0.002287594912059798,1013.0,0.00945905402828088,0.001787741279570971,716.0,0.009618158849956619,0.0032327116288717287,183.0,0.007342309413195,0.004826095235717716
Fracture,Fracture,0.033664762710669136,14181.0,0.012520142335216538,0.003161799264325198,14181.0,-0.0106298339570517,0.001795792155754207,1374.0,0.00025275953721112,0.001553782229964767,1036.0,0.0012492020183697398,0.0035074516673038645,746.0,0.00700551367280466,0.005607617434490115,183.0,-0.0211446203754526,0.0038632447239506868
Lung Lesion,Lung Lesion,0.040870205231044815,14057.0,0.00484462728731814,0.0013579832361128882,14057.0,-0.00619377912805426,0.0017402625990908362,1354.0,-0.0054345284059663605,0.0013974488555547465,1019.0,0.018081300099113497,0.002177568475530146,732.0,0.014137918341577741,0.0049507735457059426,184.0,-0.022788905131931318,0.002894980696450798
Pneumonia,Pneumonia,0.05941104426796475,13412.0,0.007544085936905439,0.002488117427176322,13412.0,0.012459711005842058,0.004683062140845519,1318.0,-0.023087079413626456,0.006248588662137197,985.0,0.036323964854338295,0.0028688244641247537,713.0,-0.0070876583008434805,0.0026374512581457715,177.0,-0.01811292751424116,0.00421630452582863
Consolidation,Consolidation,0.06348645568510553,13808.0,-0.0010307003649309,0.0028527565488210096,13808.0,-0.011988126663344442,0.0058738397504742796,1342.0,-0.0343806622868302,0.00657285144377513,1020.0,0.02910579339827532,0.004486198534347531,723.0,0.0009168746772599799,0.00279553836521483,175.0,0.02421503709575434,0.014796103817673954
Lung Opacity,Air. Opacity,0.10627873894788317,11063.0,0.030052723477855158,0.01025086890596563,11063.0,-0.07622601547002801,0.017121137313546083,1140.0,-0.0610732519959463,0.01304539914179531,803.0,0.017291214587698278,0.0138290786273936,628.0,-0.0023259059237595403,0.00939402202449909,140.0,0.010831509908815519,0.019612525813016635
Edema,Edema,0.1294385502410426,12543.0,0.02717541580383732,0.004719856472859078,12543.0,-0.004154651461399399,0.00301050684643749,1231.0,-0.00398108090839856,0.002949370778472582,890.0,0.0032792993433378797,0.0030303998750954965,691.0,-0.01079962876931426,0.005290840896973202,157.0,0.11863892147172832,0.019387706368830304
Pleural Effusion,Effusion,0.16958709278466422,10565.0,0.015440452665216903,0.0018227425876112607,10565.0,-0.05343642811466652,0.00288442571382929,1089.0,-0.020279896722042882,0.0026024790276649467,841.0,-0.01626635300468336,0.002652404539151497,561.0,0.02145293966319986,0.004096344640137231,118.0,0.11615066466999768,0.017995009362598156
Enlarged Cardiomediastinum,Enlarged Card.,0.19435989051513602,13965.0,-0.0052262369936794,0.003554169500290377,13965.0,-0.025144982629811304,0.0024004211964577054,1338.0,0.01287269386967366,0.003602854792310162,1030.0,0.0049544852696765595,0.0031692212808972667,738.0,-0.00895821502237482,0.004239565776073266,170.0,0.16921490788532473,0.02061101422611163
Cardiomegaly,Cardiomegaly,0.20568093904228346,11536.0,0.035736623595128345,0.002916356447764665,11536.0,-0.016047109315511517,0.003865933465655991,1081.0,-0.01026580326857842,0.009235024097059452,840.0,0.0038168362627196604,0.0019654537447719358,600.0,-0.0065164970706135805,0.0025787359337299696,153.0,0.18963382972677195,0.017370097034558107
Support Devices,Sup. Devices,0.2649350649350648,9886.0,0.032639135161676526,0.002797756906593165,9886.0,-0.04546382151704378,0.005015245425660869,1012.0,-0.013357039410261663,0.00519973217856483,733.0,-0.008935608181190598,0.004135625173997834,502.0,0.00893560818119058,0.004135625173997851,72.0,0.21947124341802104,0.001819513229901464
Atelectasis,Atelectasis,0.3302147671896428,11248.0,0.0378704701459261,0.007903402924698983,11248.0,-0.05554791419470232,0.008162123331833436,1129.0,-0.00252035772450642,0.007856577488725274,842.0,-0.04049397067944728,0.011816244051615086,620.0,0.00252035772450642,0.00785657748872523,133.0,0.2746668529949405,0.025677402303053157
