diseases,diseases_abbr,Distance,#M,Gap_M_mean,CI_M,#F,Gap_F_mean,CI_F
Pleural Other,Pleural Other,0.003439164525616561,11787.0,0.0017195822628082804,0.0021770860975500795,9596.0,-0.0017195822628082804,0.0021770860975500795
Lung Lesion,Lung Lesion,0.004869343599988508,11616.0,0.002434671799994254,0.0017456169653198132,9341.0,-0.002434671799994254,0.0017456169653198132
Fracture,Fracture,0.01367612517398584,11674.0,0.00683806258699292,0.0038088897560517587,9498.0,-0.00683806258699292,0.0038088897560517587
Pneumothorax,Pneumothorax,0.01621075010722832,11319.0,0.00810537505361416,0.0016301948552489187,9316.0,-0.00810537505361416,0.0016301948552489187
Edema,Edema,0.029811460249313276,10368.0,0.014905730124656638,0.004868078145863313,8437.0,-0.014905730124656638,0.004868078145863313
Pneumonia,Pneumonia,0.03239493839701292,10954.0,0.01619746919850646,0.0029227061866656016,9085.0,-0.01619746919850646,0.0029227061866656016
Enlarged Cardiomediastinum,Enlarged Card.,0.03651268619009532,11491.0,0.01825634309504766,0.0025952163238666314,9339.0,-0.01825634309504766,0.0025952163238666314
Consolidation,Consolidation,0.04579998121485428,11292.0,0.02289999060742714,0.004386501777012955,9289.0,-0.02289999060742714,0.004386501777012955
Pleural Effusion,Effusion,0.046621304001135164,8806.0,0.023310652000567582,0.0024141640013590256,7383.0,-0.023310652000567582,0.0024141640013590256
Cardiomegaly,Cardiomegaly,0.052028893865166605,9362.0,0.026014446932583302,0.0041897046643377235,7788.0,-0.026014446932583302,0.0041897046643377235
Atelectasis,Atelectasis,0.09558184567273167,9211.0,0.04779092283636584,0.0058578879767121035,7853.0,-0.04779092283636584,0.0058578879767121035
Support Devices,Sup. Devices,0.120971265573064,7968.0,0.060485632786532,0.0028478217926268907,7009.0,-0.060485632786532,0.0028478217926268907
Lung Opacity,Air. Opacity,0.12371600424378859,9096.0,0.061858002121894295,0.010479855853629398,7591.0,-0.061858002121894295,0.010479855853629398
