,diseases,%60-80,Gap_60-80,%40-60,Gap_40-60,%20-40,Gap_20-40,%80+,Gap_80+,%0-20,Gap_0-20
0,Enlarged Cardiomediastinum,0.4283837056504599,0.04542544678580954,0.30223390275952694,0.0,0.09329829172141918,0.021187997550520504,0.17345597897503284,-0.056916996047430835,0.002628120893561104,-0.14782608695652175
1,Cardiomegaly,0.4757937401486152,0.07706987868792958,0.2425129475343391,0.0,0.06304886286872326,-0.009026396073749776,0.2150416572843954,0.1171890115552704,0.0036027921639270434,-0.005454967502321217
2,Lung Opacity,0.44779771615008157,0.013437676858470415,0.26366231647634586,-0.016342264735399903,0.07809951060358891,0.0,0.20880913539967375,0.08806910900783294,0.0016313213703099511,-0.056462140992167065
3,Lung Lesion,0.5331230283911672,0.02282333051563823,0.23974763406940064,0.059883436401655,0.06624605678233439,-0.02282333051563823,0.1608832807570978,-0.09285134172012,0.0,
4,Edema,0.4676956209619526,0.0,0.250897343862168,-0.04401639443256844,0.04558506819813352,-0.277657253702842,0.23510409188801148,0.010279273315250248,0.0007178750897343862,0.3522640061396777
5,Consolidation,0.4762376237623762,-0.020763268925033607,0.2693069306930693,0.020763268925033607,0.07920792079207921,0.150910327748563,0.17524752475247524,-0.09640605643222794,0.0,
6,Pneumonia,0.4336340206185567,-0.05375463707028133,0.28414948453608246,0.0,0.08247422680412371,0.0943346088435374,0.19780927835051546,-0.0233109530457134,0.0019329896907216496,0.013605442176870708
7,Atelectasis,0.45968632648553126,0.02641495975492547,0.28274795670421915,0.0,0.06472277446432516,0.06125479948805457,0.1910757676165231,-0.006913836705202403,0.0017671747294013696,-0.030468750000000044
8,Pneumothorax,0.4675732217573222,0.0,0.3190376569037657,0.12159753548245128,0.10669456066945607,0.15252006843005655,0.10251046025104603,-0.16100534173400904,0.0041841004184100415,-0.16610738255033558
9,Pleural Effusion,0.481673454276194,0.0017222078969862942,0.23121066271751203,0.0,0.0684931506849315,-0.014759916040940846,0.21732691595705295,0.061385394516635494,0.001295816364309515,-0.34564794692897177
10,Pleural Other,0.5528846153846154,0.044691607684529816,0.21153846153846154,-0.0938459417225848,0.028846153846153848,0.12585102797438488,0.20673076923076922,-0.044691607684529816,0.0,
11,Fracture,0.3937947494033413,0.011980267794221289,0.31742243436754175,0.06985222040301597,0.08353221957040573,-0.09105003523608174,0.2052505966587112,-0.011980267794221289,0.0,
12,Support Devices,0.45464166918657395,0.0,0.29286362261868765,-0.005306324478814628,0.10523132748714847,0.019507643085673654,0.14287874206229212,-0.0342006218294878,0.004384638645297853,0.058300746533949566
13,No Finding,0.3573943661971831,-0.14671031506731302,0.36913145539906106,0.0,0.16681338028169015,0.049475092040667135,0.09991197183098592,-0.268794254217939,0.0067488262910798125,0.1238508329301169
