,diseases,%White,Gap_White,%Black,Gap_Black,%Hisp,Gap_Hisp,%Other,Gap_Other,%Asian,Gap_Asian,%American,Gap_American
0,Enlarged Cardiomediastinum,0.7135348226018396,0.03599792817679556,0.12614980289093297,-0.06724792817679559,0.07095926412614981,0.12951133108246365,0.04204993429697766,-0.03599792817679559,0.02890932982917214,-0.08429338272225013,0.018396846254927726,0.3702520718232044
1,Cardiomegaly,0.6692186444494483,0.00203854594837094,0.16775501013285296,0.03139757473607174,0.07002927268633191,0.007810531424822131,0.04998874127448773,-0.002038545948371051,0.03602792163927043,-0.04922323063305578,0.0069804098176086465,-0.04156194031047511
2,Lung Opacity,0.7024877650897227,0.028196331969916888,0.15742251223491027,-0.019901083372585893,0.05138662316476346,-0.050865800865800836,0.05281402936378467,0.10582660582660586,0.026916802610114192,0.0,0.00897226753670473,0.0
3,Lung Lesion,0.7113564668769716,-0.009802777453611855,0.1167192429022082,-0.09957325746799428,0.05993690851735016,0.0,0.06782334384858044,0.2656058751529988,0.04416403785488959,0.07706766917293234,0.0,
4,Edema,0.7053122756640344,0.03311523082515444,0.1407035175879397,-0.03311523082515455,0.05778894472361809,0.05384129091397594,0.06173725771715721,0.07568875588580892,0.024766690595836326,-0.12628293268850854,0.009691313711414214,-0.1230623207722445
5,Consolidation,0.693069306930693,0.011428571428571399,0.1702970297029703,0.10857142857142854,0.04950495049504951,-0.011428571428571455,0.041584158415841586,-0.03428571428571431,0.03663366336633663,0.013976833976833969,0.00891089108910891,-0.16920634920634925
6,Pneumonia,0.7061855670103093,0.004494098462494156,0.16172680412371135,0.07747589390844756,0.04768041237113402,-0.051360113413615543,0.04961340206185567,0.12150755945405733,0.030283505154639175,-0.0044940984624942115,0.004510309278350515,-0.13823270028620244
7,Atelectasis,0.7201237022310581,-0.006901840490797562,0.13099182681687652,-0.11636966035237284,0.05809586922907002,0.017928456460379216,0.04859730505853766,-0.11127997769102072,0.030925557764523968,0.006901840490797451,0.01126573889993373,0.13043125225550334
8,Pneumothorax,0.75418410041841,0.01293973017273986,0.10774058577405858,-0.027282183835581952,0.0397489539748954,-0.050021069885658576,0.051255230125523014,0.08585433290703748,0.04602510460251046,-0.012939730172739916,0.0010460251046025104,0.5552420880090783
9,Pleural Effusion,0.7299148463532025,0.01848848742229603,0.12402813772676786,0.004317521304369243,0.05609033691225472,-0.004317521304369243,0.040910773787486115,-0.04931251854164953,0.03683820807108478,0.07595181216164071,0.012217697149203998,-0.07632472202444118
10,Pleural Other,0.6394230769230769,0.16478696741854637,0.1971153846153846,0.13617886178861788,0.057692307692307696,0.0,0.04807692307692308,-0.08333333333333333,0.057692307692307696,-0.08333333333333333,0.0,
11,Fracture,0.7804295942720764,0.09065093927479248,0.07875894988066826,-0.11229596091981411,0.04295942720763723,0.09982525120139799,0.06205250596658711,0.18956884094498774,0.03341288782816229,-0.09065093927479248,0.002386634844868735,-0.23350808213193533
12,Support Devices,0.698820683398851,-0.003200959071126719,0.13804052010886,-0.02037274996784766,0.05745388569700635,0.004504750464503715,0.04974296945872392,0.003200959071126719,0.039008164499546416,-0.05593996597776474,0.016933776837012398,0.07348971287051875
13,No Finding,0.6204518779342723,-0.03498923283255018,0.2051056338028169,0.0427101864303836,0.079518779342723,0.06531232232298712,0.04841549295774648,-0.05901955735944597,0.038438967136150234,0.03498923283255029,0.00806924882629108,-0.30144379978368846
