,diseases,%M,Gap_M,%F,Gap_F
0,Enlarged Cardiomediastinum,0.5545335085413929,0.06795146024689286,0.4454664914586071,-0.06795146024689286
1,Cardiomegaly,0.574420175636118,-0.016545643476258975,0.42557982436388203,0.016545643476258975
2,Lung Opacity,0.5744290375203915,0.02576304894014858,0.42557096247960846,-0.02576304894014858
3,Lung Lesion,0.46845425867507884,0.10570592172966059,0.5315457413249212,-0.10570592172966059
4,Edema,0.5545585068198133,-0.038420837147200904,0.44544149318018667,0.038420837147200904
5,Consolidation,0.6148514851485148,0.08821496135679663,0.38514851485148516,-0.08821496135679663
6,Pneumonia,0.6179123711340206,0.015801310738596086,0.38208762886597936,-0.015801310738596086
7,Atelectasis,0.5968632648553126,0.055039899414943805,0.40313673514468745,-0.055039899414943805
8,Pneumothorax,0.6213389121338913,0.02028573023048158,0.3786610878661088,-0.02028573023048158
9,Pleural Effusion,0.5751573491299519,0.004361926439209185,0.42484265087004813,-0.004361926439209185
10,Pleural Other,0.6057692307692307,0.06678281068524972,0.3942307692307692,-0.06678281068524972
11,Fracture,0.5704057279236276,0.01929335192933518,0.4295942720763723,-0.01929335192933518
12,Support Devices,0.5964620501965527,0.023570630451206886,0.40353794980344726,-0.023570630451206886
13,No Finding,0.508656103286385,-0.07682510602246173,0.491343896713615,0.07682510602246173
