,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,Enlarged Cardiomediastinum,0.44152431011826543,-0.023809523809523808,0.47963206307490147,0.022374429223744302,0.07884362680683311,0.0
1,Cardiomegaly,0.5298356226075208,0.041972223220677174,0.40734068903400134,0.0,0.06282368835847782,-0.03634158954332278
2,Lung Opacity,0.5050978792822186,0.0,0.41374388254486133,-0.014581065467157317,0.08115823817292006,0.030435788145410148
3,Lung Lesion,0.3832807570977918,-0.057813911472448076,0.5520504731861199,0.10006968641114983,0.06466876971608833,0.0
4,Edema,0.5710696338837042,0.03231455871025268,0.36288585786073224,0.0,0.06604450825556353,-0.06683008644045929
5,Consolidation,0.4900990099009901,0.0,0.4188118811881188,0.03700838168923276,0.09108910891089109,-0.05015371102327626
6,Pneumonia,0.5019329896907216,0.0,0.4271907216494845,0.03336644226170765,0.07087628865979381,-0.04101995565410202
7,Atelectasis,0.5029821073558648,-0.03792758502903437,0.4254473161033797,0.03983500634590975,0.07157057654075547,0.0
8,Pneumothorax,0.3472803347280335,-0.1147088353413655,0.602510460251046,0.050347222222222154,0.0502092050209205,0.0
9,Pleural Effusion,0.49666790077748985,0.0,0.43280266567937803,0.008800938137568659,0.07052943354313217,-0.0024016286074565185
10,Pleural Other,0.5048076923076923,-0.058128078817734005,0.4182692307692308,0.0,0.07692307692307693,0.1400862068965517
11,Fracture,0.41766109785202865,0.0,0.5059665871121718,0.11005390835579512,0.07637231503579953,-0.04678571428571429
12,Support Devices,0.4605382521923193,0.0,0.4560024191109767,-0.011664861165053608,0.08345932869670396,0.010026216373100416
13,No Finding,0.377787558685446,-0.13236425897601578,0.5224471830985915,0.0,0.09976525821596244,0.009166294993144697
