,diseases,diseases_abbr,Distance,%M,Gap_M_mean,CI_M,%F,Gap_F_mean,CI_F
8,Pleural Effusion,Effusion,0.00893960015791168,0.5751573491299519,0.00446980007895584,0.007851377149687455,0.42484265087004813,-0.00446980007895584,0.007851377149687455
10,Pneumonia,Pneumonia,0.01033749672491188,0.6179123711340206,0.00516874836245594,0.01371863413693025,0.3820876288659793,-0.00516874836245594,0.01371863413693025
2,Cardiomegaly,Cardiomegaly,0.017073582514585958,0.574420175636118,-0.008536791257292979,0.0050935012621285535,0.425579824363882,0.008536791257292979,0.0050935012621285535
6,Fracture,Fracture,0.03238493723849364,0.5704057279236276,0.01619246861924682,0.013455052320825832,0.42959427207637224,-0.01619246861924682,0.013455052320825832
4,Edema,Edema,0.04294667887104288,0.5545585068198133,-0.02147333943552144,0.012065501057360872,0.44544149318018655,0.02147333943552144,0.012065501057360872
11,Pneumothorax,Pneumothorax,0.04745800546905512,0.6213389121338913,0.02372900273452756,0.013418610965845765,0.3786610878661088,-0.02372900273452756,0.013418610965845765
12,Support Devices,Sup. Devices,0.04808047711104492,0.5964620501965527,0.02404023855552246,0.002366468613852641,0.4035379498034472,-0.02404023855552246,0.002366468613852641
0,Lung Opacity,Air. Opacity,0.06544460450352849,0.5744290375203915,0.03272230225176424,0.013633318299261106,0.42557096247960835,-0.03272230225176424,0.013633318299261106
1,Atelectasis,Atelectasis,0.08175058556320532,0.5968632648553126,0.04087529278160266,0.016035465706841185,0.4031367351446874,-0.04087529278160266,0.016035465706841185
5,Enlarged Cardiomediastinum,Enlarged Card.,0.08505081854911993,0.5545335085413929,0.042525409274559965,0.027912396584294112,0.4454664914586071,-0.042525409274559965,0.027912396584294112
9,Pleural Other,Pleural Other,0.08834688346883456,0.6057692307692307,0.04417344173441728,0.026646844153885508,0.3942307692307692,-0.04417344173441728,0.026646844153885508
3,Consolidation,Consolidation,0.1782099524359499,0.6148514851485148,0.08910497621797495,0.012426665086365939,0.3851485148514851,-0.08910497621797495,0.012426665086365939
7,Lung Lesion,Lung Lesion,0.21780215608108772,0.4684542586750788,0.10890107804054386,0.023582661173203835,0.5315457413249212,-0.10890107804054386,0.023582661173203835
